variant,population,matcher,threshold,segment_id,gold_entities,pred_entities,gold_count,pred_count,matches,soft_precision,soft_recall,soft_f1,soft_jaccard,matched_pairs
D,all_gold_rows,M0_exact_canonical,1.0,TB044,case handlers; factual evidence; legal advice; deadline reminders,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB045,extractor; document type; legal sensitivity; deadline; responsible person; case route,,6,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB046,privilege; confidentiality; qualified reviewer,human review,3,1,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB047,client; contract draft; old laptop; evidence collection; privilege review,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB048,blind corpus; case summaries; gold examples; training snippets,benchmark,4,1,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB049,RoboInspect; factory inspection notes; defect type; machine owner; safety class; downtime risk; repair priority,,7,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB050,operators; shift change; cosmetic defect; safety-critical fault; line,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB051,machine ID; station; observed symptom; recurrence; production stop,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB052,calibration rule; minor vibration notes; escalating risk; third occurrence; seven days,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB053,review; route classifier; downtime label; spare part,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB054,fault; machine; planned maintenance,,3,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB055,GreenLedger; supplier notes; carbon evidence; labour-risk concern; certification status; data gap; remediation action,,7,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB056,procurement teams; supplier claim; verified document,,3,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB057,claim; evidence source; verification level; due date; audit; supplier follow-up; internal approval,,7,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB058,marketing brochure; certification; standard; certificate number,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB059,first pass; data-gap detection; supplier; expired certificate,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB060,fresh blind batch; suppliers; pilot sectors; production scoring threshold,evaluation,4,1,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB061,EventMesh; live-event incident notes; crowd flow; medical support; access control; technical fault; steward deployment,controls,7,1,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB062,busy event; radio messages; issue; action,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB063,zone; incident type; urgency; current owner; incident,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB064,Gate C; scanner; queue; technical fault; crowd-flow monitoring,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB065,medical note; medical keywords; priority; review,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB066,model; blind set; venue; venue-specific language; scores,evaluation,5,1,1,1.000000,0.200000,0.333333,0.200000,"[{""gold"": ""scores"", ""pred"": ""evaluation"", ""score"": 1.0}]"
D,all_gold_rows,M0_exact_canonical,1.0,TB067,HeritageVault; museum catalogue notes; provenance gap; conservation risk; digitisation need; loan restriction; research lead,,7,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB068,curators; condition concern; historical claim; display recommendation,,4,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB069,object identifier; material; risk phrase; evidence phrase; workflow route; specialist review,,6,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB070,item; another piece; provenance evidence,,3,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB071,trial; catalogue descriptions; digitisation needs; research lead; provenance gap,,5,0,0,0.000000,0.000000,0.000000,0.000000,[]
D,all_gold_rows,M0_exact_canonical,1.0,TB072,evaluation; catalogue notes; predictions; curator; gold labels,evaluation; gold labels,5,2,2,1.000000,0.400000,0.571429,0.400000,"[{""gold"": ""evaluation"", ""pred"": ""evaluation"", ""score"": 1.0}, {""gold"": ""gold labels"", ""pred"": ""gold labels"", ""score"": 1.0}]"
