id,passage,gold_entities,question,gold_answer
extract_0016,"In the almanac review, Vextan approved the ledger for Galmont without amendment. The ledger remains in force pending the next almanac cycle.",Vextan|Galmont|ledger,Who approved the ledger?,Vextan
extract_0017,"In the almanac review, Eskelund approved the quorum for Korrowind without amendment. The quorum remains in force pending the next almanac cycle.",Eskelund|Korrowind|quorum,Who approved the quorum?,Eskelund
extract_0018,"In the manifest review, Lurewick approved the alloy for Eskelund without amendment. The alloy remains in force pending the next manifest cycle.",Lurewick|Eskelund|alloy,Who approved the alloy?,Lurewick
extract_0019,"In the protocol review, Wendaloo approved the beacon for Quillon without amendment. The beacon remains in force pending the next protocol cycle.",Wendaloo|Quillon|beacon,Who approved the beacon?,Wendaloo
extract_0020,"In the manifest review, Brimhollow approved the beacon for Mirelle without amendment. The beacon remains in force pending the next manifest cycle.",Brimhollow|Mirelle|beacon,Who approved the beacon?,Brimhollow
extract_0021,"In the almanac review, Mirelle approved the protocol for Sabreth without amendment. The protocol remains in force pending the next almanac cycle.",Mirelle|Sabreth|protocol,Who approved the protocol?,Mirelle
extract_0022,"In the syndicate review, Sabreth approved the estuary for Dravaile without amendment. The estuary remains in force pending the next syndicate cycle.",Sabreth|Dravaile|estuary,Who approved the estuary?,Sabreth
extract_0023,"In the rampart review, Galmont approved the syndicate for Eskelund without amendment. The syndicate remains in force pending the next rampart cycle.",Galmont|Eskelund|syndicate,Who approved the syndicate?,Galmont
extract_0024,"In the foundry review, Thornby approved the beacon for Dravaile without amendment. The beacon remains in force pending the next foundry cycle.",Thornby|Dravaile|beacon,Who approved the beacon?,Thornby
extract_0025,"In the turbine review, Thornby approved the lattice for Quillon without amendment. The lattice remains in force pending the next turbine cycle.",Thornby|Quillon|lattice,Who approved the lattice?,Thornby
extract_0026,"In the almanac review, Lurewick approved the cipher for Mirelle without amendment. The cipher remains in force pending the next almanac cycle.",Lurewick|Mirelle|cipher,Who approved the cipher?,Lurewick
extract_0027,"In the cipher review, Ashvane approved the quorum for Wendaloo without amendment. The quorum remains in force pending the next cipher cycle.",Ashvane|Wendaloo|quorum,Who approved the quorum?,Ashvane
extract_0028,"In the estuary review, Lurewick approved the manifest for Korrowind without amendment. The manifest remains in force pending the next estuary cycle.",Lurewick|Korrowind|manifest,Who approved the manifest?,Lurewick
extract_0029,"In the turbine review, Crestfall approved the quorum for Ashvane without amendment. The quorum remains in force pending the next turbine cycle.",Crestfall|Ashvane|quorum,Who approved the quorum?,Crestfall
extract_0030,"In the rampart review, Crestfall approved the cipher for Galmont without amendment. The cipher remains in force pending the next rampart cycle.",Crestfall|Galmont|cipher,Who approved the cipher?,Crestfall
extract_0031,"In the syndicate review, Thornby approved the turbine for Quillon without amendment. The turbine remains in force pending the next syndicate cycle.",Thornby|Quillon|turbine,Who approved the turbine?,Thornby
extract_0032,"In the protocol review, Galmont approved the reservoir for Mirelle without amendment. The reservoir remains in force pending the next protocol cycle.",Galmont|Mirelle|reservoir,Who approved the reservoir?,Galmont
extract_0033,"In the quorum review, Eskelund approved the alloy for Sabreth without amendment. The alloy remains in force pending the next quorum cycle.",Eskelund|Sabreth|alloy,Who approved the alloy?,Eskelund
extract_0034,"In the manifest review, Mirelle approved the quorum for Ashvane without amendment. The quorum remains in force pending the next manifest cycle.",Mirelle|Ashvane|quorum,Who approved the quorum?,Mirelle
extract_0035,"In the estuary review, Mirelle approved the lattice for Brimhollow without amendment. The lattice remains in force pending the next estuary cycle.",Mirelle|Brimhollow|lattice,Who approved the lattice?,Mirelle
extract_0036,"In the syndicate review, Brimhollow approved the turbine for Vextan without amendment. The turbine remains in force pending the next syndicate cycle.",Brimhollow|Vextan|turbine,Who approved the turbine?,Brimhollow
extract_0037,"In the turbine review, Korrowind approved the ledger for Ashvane without amendment. The ledger remains in force pending the next turbine cycle.",Korrowind|Ashvane|ledger,Who approved the ledger?,Korrowind
extract_0038,"In the alloy review, Quillon approved the beacon for Ashvane without amendment. The beacon remains in force pending the next alloy cycle.",Quillon|Ashvane|beacon,Who approved the beacon?,Quillon
extract_0039,"In the manifest review, Korrowind approved the almanac for Dravaile without amendment. The almanac remains in force pending the next manifest cycle.",Korrowind|Dravaile|almanac,Who approved the almanac?,Korrowind
extract_0040,"In the ledger review, Galmont approved the almanac for Eskelund without amendment. The almanac remains in force pending the next ledger cycle.",Galmont|Eskelund|almanac,Who approved the almanac?,Galmont
extract_0041,"In the quorum review, Lurewick approved the syndicate for Vextan without amendment. The syndicate remains in force pending the next quorum cycle.",Lurewick|Vextan|syndicate,Who approved the syndicate?,Lurewick
extract_0042,"In the estuary review, Thornby approved the quorum for Quillon without amendment. The quorum remains in force pending the next estuary cycle.",Thornby|Quillon|quorum,Who approved the quorum?,Thornby
extract_0043,"In the alloy review, Pravich approved the ledger for Quillon without amendment. The ledger remains in force pending the next alloy cycle.",Pravich|Quillon|ledger,Who approved the ledger?,Pravich
extract_0044,"In the beacon review, Pravich approved the ledger for Mirelle without amendment. The ledger remains in force pending the next beacon cycle.",Pravich|Mirelle|ledger,Who approved the ledger?,Pravich
extract_0045,"In the protocol review, Sabreth approved the quorum for Galmont without amendment. The quorum remains in force pending the next protocol cycle.",Sabreth|Galmont|quorum,Who approved the quorum?,Sabreth
extract_0046,"In the beacon review, Korrowind approved the estuary for Crestfall without amendment. The estuary remains in force pending the next beacon cycle.",Korrowind|Crestfall|estuary,Who approved the estuary?,Korrowind
extract_0047,"In the reservoir review, Mirelle approved the turbine for Dravaile without amendment. The turbine remains in force pending the next reservoir cycle.",Mirelle|Dravaile|turbine,Who approved the turbine?,Mirelle
extract_0048,"In the syndicate review, Ashvane approved the almanac for Galmont without amendment. The almanac remains in force pending the next syndicate cycle.",Ashvane|Galmont|almanac,Who approved the almanac?,Ashvane
extract_0049,"In the protocol review, Thornby approved the ledger for Pravich without amendment. The ledger remains in force pending the next protocol cycle.",Thornby|Pravich|ledger,Who approved the ledger?,Thornby
extract_0050,"In the syndicate review, Dravaile approved the ledger for Thornby without amendment. The ledger remains in force pending the next syndicate cycle.",Dravaile|Thornby|ledger,Who approved the ledger?,Dravaile
extract_0051,"In the foundry review, Brimhollow approved the ledger for Galmont without amendment. The ledger remains in force pending the next foundry cycle.",Brimhollow|Galmont|ledger,Who approved the ledger?,Brimhollow
extract_0052,"In the ledger review, Vextan approved the alloy for Mirelle without amendment. The alloy remains in force pending the next ledger cycle.",Vextan|Mirelle|alloy,Who approved the alloy?,Vextan
extract_0053,"In the estuary review, Ashvane approved the manifest for Korrowind without amendment. The manifest remains in force pending the next estuary cycle.",Ashvane|Korrowind|manifest,Who approved the manifest?,Ashvane
extract_0054,"In the rampart review, Quillon approved the foundry for Crestfall without amendment. The foundry remains in force pending the next rampart cycle.",Quillon|Crestfall|foundry,Who approved the foundry?,Quillon
extract_0055,"In the protocol review, Lurewick approved the beacon for Sabreth without amendment. The beacon remains in force pending the next protocol cycle.",Lurewick|Sabreth|beacon,Who approved the beacon?,Lurewick
extract_0056,"In the manifest review, Vextan approved the protocol for Pravich without amendment. The protocol remains in force pending the next manifest cycle.",Vextan|Pravich|protocol,Who approved the protocol?,Vextan
extract_0057,"In the ledger review, Quillon approved the reservoir for Thornby without amendment. The reservoir remains in force pending the next ledger cycle.",Quillon|Thornby|reservoir,Who approved the reservoir?,Quillon
extract_0058,"In the reservoir review, Brimhollow approved the almanac for Galmont without amendment. The almanac remains in force pending the next reservoir cycle.",Brimhollow|Galmont|almanac,Who approved the almanac?,Brimhollow
extract_0059,"In the syndicate review, Brimhollow approved the estuary for Thornby without amendment. The estuary remains in force pending the next syndicate cycle.",Brimhollow|Thornby|estuary,Who approved the estuary?,Brimhollow
extract_0060,"In the cipher review, Vextan approved the foundry for Dravaile without amendment. The foundry remains in force pending the next cipher cycle.",Vextan|Dravaile|foundry,Who approved the foundry?,Vextan
extract_0061,"In the turbine review, Sabreth approved the cipher for Dravaile without amendment. The cipher remains in force pending the next turbine cycle.",Sabreth|Dravaile|cipher,Who approved the cipher?,Sabreth
extract_0062,"In the beacon review, Ashvane approved the lattice for Wendaloo without amendment. The lattice remains in force pending the next beacon cycle.",Ashvane|Wendaloo|lattice,Who approved the lattice?,Ashvane
extract_0063,"In the protocol review, Pravich approved the alloy for Mirelle without amendment. The alloy remains in force pending the next protocol cycle.",Pravich|Mirelle|alloy,Who approved the alloy?,Pravich
extract_0064,"In the reservoir review, Eskelund approved the turbine for Pravich without amendment. The turbine remains in force pending the next reservoir cycle.",Eskelund|Pravich|turbine,Who approved the turbine?,Eskelund
extract_0065,"In the lattice review, Dravaile approved the protocol for Korrowind without amendment. The protocol remains in force pending the next lattice cycle.",Dravaile|Korrowind|protocol,Who approved the protocol?,Dravaile
extract_0066,"In the alloy review, Korrowind approved the protocol for Lurewick without amendment. The protocol remains in force pending the next alloy cycle.",Korrowind|Lurewick|protocol,Who approved the protocol?,Korrowind
extract_0067,"In the almanac review, Mirelle approved the quorum for Thornby without amendment. The quorum remains in force pending the next almanac cycle.",Mirelle|Thornby|quorum,Who approved the quorum?,Mirelle
extract_0068,"In the reservoir review, Galmont approved the foundry for Eskelund without amendment. The foundry remains in force pending the next reservoir cycle.",Galmont|Eskelund|foundry,Who approved the foundry?,Galmont
extract_0069,"In the protocol review, Crestfall approved the rampart for Pravich without amendment. The rampart remains in force pending the next protocol cycle.",Crestfall|Pravich|rampart,Who approved the rampart?,Crestfall
extract_0070,"In the lattice review, Mirelle approved the alloy for Galmont without amendment. The alloy remains in force pending the next lattice cycle.",Mirelle|Galmont|alloy,Who approved the alloy?,Mirelle
extract_0071,"In the syndicate review, Wendaloo approved the quorum for Dravaile without amendment. The quorum remains in force pending the next syndicate cycle.",Wendaloo|Dravaile|quorum,Who approved the quorum?,Wendaloo
extract_0072,"In the syndicate review, Dravaile approved the cipher for Vextan without amendment. The cipher remains in force pending the next syndicate cycle.",Dravaile|Vextan|cipher,Who approved the cipher?,Dravaile
extract_0073,"In the manifest review, Quillon approved the reservoir for Sabreth without amendment. The reservoir remains in force pending the next manifest cycle.",Quillon|Sabreth|reservoir,Who approved the reservoir?,Quillon
extract_0074,"In the alloy review, Quillon approved the rampart for Korrowind without amendment. The rampart remains in force pending the next alloy cycle.",Quillon|Korrowind|rampart,Who approved the rampart?,Quillon
extract_0075,"In the manifest review, Crestfall approved the syndicate for Dravaile without amendment. The syndicate remains in force pending the next manifest cycle.",Crestfall|Dravaile|syndicate,Who approved the syndicate?,Crestfall
extract_0076,"In the beacon review, Lurewick approved the lattice for Mirelle without amendment. The lattice remains in force pending the next beacon cycle.",Lurewick|Mirelle|lattice,Who approved the lattice?,Lurewick
extract_0077,"In the syndicate review, Mirelle approved the ledger for Lurewick without amendment. The ledger remains in force pending the next syndicate cycle.",Mirelle|Lurewick|ledger,Who approved the ledger?,Mirelle
extract_0078,"In the ledger review, Ashvane approved the turbine for Quillon without amendment. The turbine remains in force pending the next ledger cycle.",Ashvane|Quillon|turbine,Who approved the turbine?,Ashvane
extract_0079,"In the protocol review, Galmont approved the alloy for Korrowind without amendment. The alloy remains in force pending the next protocol cycle.",Galmont|Korrowind|alloy,Who approved the alloy?,Galmont
extract_0080,"In the rampart review, Wendaloo approved the manifest for Ashvane without amendment. The manifest remains in force pending the next rampart cycle.",Wendaloo|Ashvane|manifest,Who approved the manifest?,Wendaloo
extract_0081,"In the manifest review, Galmont approved the cipher for Mirelle without amendment. The cipher remains in force pending the next manifest cycle.",Galmont|Mirelle|cipher,Who approved the cipher?,Galmont
extract_0082,"In the cipher review, Mirelle approved the syndicate for Korrowind without amendment. The syndicate remains in force pending the next cipher cycle.",Mirelle|Korrowind|syndicate,Who approved the syndicate?,Mirelle
extract_0083,"In the reservoir review, Mirelle approved the manifest for Galmont without amendment. The manifest remains in force pending the next reservoir cycle.",Mirelle|Galmont|manifest,Who approved the manifest?,Mirelle
extract_0084,"In the reservoir review, Korrowind approved the cipher for Galmont without amendment. The cipher remains in force pending the next reservoir cycle.",Korrowind|Galmont|cipher,Who approved the cipher?,Korrowind
extract_0085,"In the quorum review, Wendaloo approved the manifest for Brimhollow without amendment. The manifest remains in force pending the next quorum cycle.",Wendaloo|Brimhollow|manifest,Who approved the manifest?,Wendaloo
extract_0086,"In the turbine review, Sabreth approved the syndicate for Pravich without amendment. The syndicate remains in force pending the next turbine cycle.",Sabreth|Pravich|syndicate,Who approved the syndicate?,Sabreth
extract_0087,"In the beacon review, Brimhollow approved the syndicate for Quillon without amendment. The syndicate remains in force pending the next beacon cycle.",Brimhollow|Quillon|syndicate,Who approved the syndicate?,Brimhollow
extract_0088,"In the estuary review, Dravaile approved the rampart for Thornby without amendment. The rampart remains in force pending the next estuary cycle.",Dravaile|Thornby|rampart,Who approved the rampart?,Dravaile
extract_0089,"In the turbine review, Vextan approved the almanac for Eskelund without amendment. The almanac remains in force pending the next turbine cycle.",Vextan|Eskelund|almanac,Who approved the almanac?,Vextan
extract_0090,"In the beacon review, Quillon approved the quorum for Mirelle without amendment. The quorum remains in force pending the next beacon cycle.",Quillon|Mirelle|quorum,Who approved the quorum?,Quillon
extract_0091,"In the almanac review, Pravich approved the turbine for Vextan without amendment. The turbine remains in force pending the next almanac cycle.",Pravich|Vextan|turbine,Who approved the turbine?,Pravich
extract_0092,"In the quorum review, Mirelle approved the beacon for Brimhollow without amendment. The beacon remains in force pending the next quorum cycle.",Mirelle|Brimhollow|beacon,Who approved the beacon?,Mirelle
extract_0093,"In the beacon review, Thornby approved the foundry for Galmont without amendment. The foundry remains in force pending the next beacon cycle.",Thornby|Galmont|foundry,Who approved the foundry?,Thornby
extract_0094,"In the reservoir review, Pravich approved the turbine for Quillon without amendment. The turbine remains in force pending the next reservoir cycle.",Pravich|Quillon|turbine,Who approved the turbine?,Pravich
extract_0095,"In the ledger review, Dravaile approved the quorum for Thornby without amendment. The quorum remains in force pending the next ledger cycle.",Dravaile|Thornby|quorum,Who approved the quorum?,Dravaile
extract_0096,"In the reservoir review, Lurewick approved the almanac for Sabreth without amendment. The almanac remains in force pending the next reservoir cycle.",Lurewick|Sabreth|almanac,Who approved the almanac?,Lurewick
extract_0097,"In the ledger review, Sabreth approved the manifest for Ashvane without amendment. The manifest remains in force pending the next ledger cycle.",Sabreth|Ashvane|manifest,Who approved the manifest?,Sabreth
extract_0098,"In the foundry review, Dravaile approved the manifest for Vextan without amendment. The manifest remains in force pending the next foundry cycle.",Dravaile|Vextan|manifest,Who approved the manifest?,Dravaile
extract_0099,"In the almanac review, Eskelund approved the protocol for Lurewick without amendment. The protocol remains in force pending the next almanac cycle.",Eskelund|Lurewick|protocol,Who approved the protocol?,Eskelund
