segment_id,gold_role,combined_role,D_role,combined_role_correct,D_role_correct,gold_entities,combined_entities,D_entities,combined_entity_jaccard,D_entity_jaccard,combined_entity_correct,D_entity_correct,gold_status,combined_status,D_status,combined_status_correct,D_status_correct,gold_relation,combined_relation,D_relation,combined_relation_correct,D_relation_correct,gold_answer,combined_answer,D_answer,combined_answer_correct,D_answer_correct,combined_strict_correct,D_strict_correct,combined_relaxed_1_correct,D_relaxed_1_correct,combined_relaxed_2_correct,D_relaxed_2_correct,combined_relaxed_3_correct,D_relaxed_3_correct,outcome_bucket
HELDOUT2_S0027,DEFINE,DEFINE,BACKGROUND,YES,NO,answer support; evidence selection; retrieval trace,answer support,answer support,0.333333,0.333333,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,defines,defines,sets_context,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0028,DEFINE,CLAIM,DEFINE,NO,YES,audit trail; human review; model release governance,audit trail; human review; retrieval,audit trail; human review; retrieval,0.500000,0.500000,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,defines,asserts,defines,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,D_relaxed1_only
HELDOUT2_S0029,DEFINE,CLAIM,BACKGROUND,NO,NO,controls; tool-use security; permission boundary,controls,controls,0.333333,0.333333,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,defines,asserts,sets_context,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0030,DEFINE,DEFINE,BACKGROUND,YES,NO,human review; evidence selection; controls,human review,human review,0.333333,0.333333,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,defines,defines,sets_context,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0031,METHOD,METHOD,METHOD,YES,YES,answer support; retrieval trace; human review,evaluation; retrieval; retrieval trace,evaluation; retrieval; retrieval trace,0.200000,0.200000,NO,NO,ACTIVE,ACTIVE,ACTIVE,YES,YES,recommends,recommends,asserts,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_D
HELDOUT2_S0032,METHOD,EXAMPLE,BACKGROUND,NO,NO,model release governance; evidence selection; human review,human review,human review,0.333333,0.333333,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,recommends,gives_example,sets_context,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0033,METHOD,METHOD,BACKGROUND,YES,NO,consent boundary; permission boundary; evidence selection,consent boundary; permission boundary; privacy,consent boundary; permission boundary; privacy,0.500000,0.500000,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,YES,NO,maps_to,recommends,sets_context,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,combined_relaxed2_or_3_only
HELDOUT2_S0034,METHOD,CLAIM,METHOD,NO,YES,agent memory; route provenance; source context,,,0.000000,0.000000,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,YES,NO,recommends,asserts,recommends,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,D_role_gain_but_other_fields_fail
HELDOUT2_S0035,METHOD,METHOD,BACKGROUND,YES,NO,tool-use security; permission boundary; route segment,permission boundary; RouteMap; RouteMap segment,permission boundary; RouteMap; RouteMap segment,0.500000,0.500000,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,YES,NO,requires,recommends,sets_context,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,combined_relaxed2_or_3_only
HELDOUT2_S0036,METHOD,EXAMPLE,METHOD,NO,YES,incident response; retrieval trace; controls,controls; retrieval; retrieval trace,controls; retrieval; retrieval trace,0.500000,0.500000,NO,NO,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,maps_to,gives_example,proposes_next_test,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,D_relaxed1_only
HELDOUT2_S0037,METHOD,RESULT,BACKGROUND,NO,NO,benchmark; policy context; route segment,benchmark; policy context,benchmark; policy context,0.666667,0.666667,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,recommends,reports_usefulness,sets_context,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,combined_relaxed2_or_3_only
HELDOUT2_S0038,METHOD,CLAIM,METHOD,NO,YES,human review; evidence selection; answer support,evidence selection; human review,evidence selection; human review,0.666667,0.666667,NO,NO,ACTIVE,ACTIVE,ACTIVE,YES,YES,recommends,asserts,proposes_next_test,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,D_relaxed1_only
HELDOUT2_S0039,METHOD,METHOD,BACKGROUND,YES,NO,audit trail; answer support; human review,answer support; audit trail; human review,answer support; audit trail; human review,1.000000,1.000000,YES,YES,ACTIVE,ACTIVE,DESCRIPTIVE,YES,NO,recommends,recommends,sets_context,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,combined_strict_only
HELDOUT2_S0040,METHOD,METHOD,BACKGROUND,YES,NO,route segment; evidence selection; human review,RouteMap; RouteMap segment,RouteMap; RouteMap segment,0.250000,0.250000,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,YES,NO,recommends,recommends,sets_context,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0041,RESULT,RESULT,RESULT,YES,YES,evaluation; route provenance; answer support,answer support; evaluation; route provenance; RouteMap; RouteMap segment,answer support; evaluation; route provenance; RouteMap; RouteMap segment,0.600000,0.600000,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,supports_retrieval,reports_usefulness,reports_usefulness,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,both_strict_wrong
HELDOUT2_S0042,RESULT,METHOD,RESULT,NO,YES,model release governance; evidence selection; human review,human review,human review,0.333333,0.333333,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,reports_usefulness,recommends,reports_usefulness,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,D_role_gain_but_other_fields_fail
HELDOUT2_S0043,RESULT,RESULT,RESULT,YES,YES,consent boundary; permission boundary; privacy,consent boundary; permission boundary; privacy,consent boundary; permission boundary; privacy,1.000000,1.000000,YES,YES,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,reports_usefulness,reports_usefulness,reports_usefulness,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,both_strict_correct
HELDOUT2_S0044,RESULT,CLAIM,RESULT,NO,YES,agent memory; source context; route provenance,agent memory,agent memory,0.333333,0.333333,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,supports_retrieval,asserts,reports_usefulness,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,D_role_gain_but_other_fields_fail
HELDOUT2_S0045,RESULT,CLAIM,RESULT,NO,YES,tool-use security; permission boundary; human review,LLM application security; permission boundary; secure AI development; tool-use security,LLM application security; permission boundary; secure AI development; tool-use security,0.400000,0.400000,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,reports_usefulness,asserts,reports_usefulness,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,D_role_gain_but_other_fields_fail
HELDOUT2_S0046,RESULT,RESULT,BACKGROUND,YES,NO,benchmark; route segment; evaluation,benchmark,benchmark,0.333333,0.333333,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,reports_usefulness,reports_usefulness,sets_context,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0047,RESULT,METHOD,RESULT,NO,YES,human review; retrieval trace; evidence selection,human review; retrieval; retrieval trace,human review; retrieval; retrieval trace,0.500000,0.500000,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,reports_usefulness,recommends,reports_usefulness,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,D_relaxed1_only
HELDOUT2_S0048,RESULT,CLAIM,RESULT,NO,YES,audit trail; answer support; model release governance,answer support; audit trail,answer support; audit trail,0.666667,0.666667,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,reports_usefulness,asserts,reports_usefulness,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,D_relaxed1_only
HELDOUT2_S0049,RESULT,RESULT,RESULT,YES,YES,evidence selection; source context; route segment,evidence selection; RouteMap; RouteMap segment; source context,evidence selection; RouteMap; RouteMap segment; source context,0.750000,0.750000,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,supports_retrieval,reports_usefulness,reports_usefulness,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,both_strict_wrong
HELDOUT2_S0050,RESULT,RESULT,RESULT,YES,YES,mismatch review; policy context; claims,mismatch review; policy context,mismatch review; policy context,0.666667,0.666667,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,reports_usefulness,reports_usefulness,reports_usefulness,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,both_strict_wrong
HELDOUT2_S0051,LIMITATION,LIMITATION,LIMITATION,YES,YES,benchmark; policy context; evaluation,benchmark; evaluation,benchmark; evaluation,0.666667,0.666667,NO,NO,LIMITED,LIMITED,DESCRIPTIVE,YES,NO,warns_about,limits,limits,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,both_strict_wrong
HELDOUT2_S0052,LIMITATION,LIMITATION,LIMITATION,YES,YES,model release governance; AI safety evaluation; risk management,,,0.000000,0.000000,NO,NO,NEGATED,NEGATED,ACTIVE,YES,NO,limits,limits,limits,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_D
HELDOUT2_S0053,LIMITATION,EXAMPLE,LIMITATION,NO,YES,consent boundary; permission boundary; privacy,consent boundary,consent boundary,0.333333,0.333333,NO,NO,NEGATED,DESCRIPTIVE,NEGATED,NO,YES,limits,gives_example,limits,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,D_role_gain_but_other_fields_fail
HELDOUT2_S0054,LIMITATION,EXAMPLE,LIMITATION,NO,YES,retrieval trace; answer support; route segment,retrieval; retrieval trace,retrieval; retrieval trace,0.250000,0.250000,NO,NO,LIMITED,DESCRIPTIVE,ACTIVE,NO,NO,warns_about,gives_example,limits,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,D_role_gain_but_other_fields_fail
HELDOUT2_S0055,LIMITATION,BACKGROUND,LIMITATION,NO,YES,agent memory; source context; human review,agent memory; source context,agent memory; source context,0.666667,0.666667,NO,NO,LIMITED,DESCRIPTIVE,ACTIVE,NO,NO,warns_about,sets_context,limits,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,D_role_gain_but_other_fields_fail
HELDOUT2_S0056,LIMITATION,METHOD,LIMITATION,NO,YES,permission boundary; tool-use security; privacy,permission boundary; privacy,permission boundary; privacy,0.666667,0.666667,NO,NO,NEGATED,ACTIVE,ACTIVE,NO,NO,limits,recommends,limits,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,D_relaxed1_only
HELDOUT2_S0057,LIMITATION,METHOD,LIMITATION,NO,YES,human review; audit trail; evidence selection,audit trail; human review,audit trail; human review,0.666667,0.666667,NO,NO,LIMITED,ACTIVE,ACTIVE,NO,NO,warns_about,recommends,limits,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,D_relaxed1_only
HELDOUT2_S0058,LIMITATION,LIMITATION,LIMITATION,YES,YES,benchmark; incident response; route segment,benchmark,benchmark,0.333333,0.333333,NO,NO,LIMITED,LIMITED,LIMITED,YES,YES,warns_about,limits,limits,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_D
HELDOUT2_S0059,LIMITATION,DEFINE,LIMITATION,NO,YES,policy context; controls; risk management,controls; policy context,controls; policy context,0.666667,0.666667,NO,NO,LIMITED,DESCRIPTIVE,DESCRIPTIVE,NO,NO,warns_about,defines,limits,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,D_relaxed1_only
HELDOUT2_S0060,LIMITATION,LIMITATION,LIMITATION,YES,YES,answer support; route segment; evidence selection,answer support; RouteMap; RouteMap segment,answer support; RouteMap; RouteMap segment,0.500000,0.500000,NO,NO,LIMITED,LIMITED,NEGATED,YES,NO,warns_about,limits,limits,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,both_strict_wrong
HELDOUT2_S0061,NEXT_STEP,NEXT_STEP,BACKGROUND,YES,NO,benchmark; incident response; model release governance,evaluation; governance,evaluation; governance,0.000000,0.000000,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,YES,NO,proposes_next_test,proposes_next_test,sets_context,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
HELDOUT2_S0062,NEXT_STEP,BACKGROUND,NEXT_STEP,NO,YES,evaluation; model release governance; source context,evaluation; governance; model release governance,evaluation; governance; model release governance,0.500000,0.500000,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,proposes_next_test,sets_context,proposes_next_test,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,D_role_gain_but_other_fields_fail
HELDOUT2_S0063,NEXT_STEP,EXAMPLE,BACKGROUND,NO,NO,consent boundary; permission boundary; privacy,consent boundary; permission boundary; privacy,consent boundary; permission boundary; privacy,1.000000,1.000000,YES,YES,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,proposes_next_test,gives_example,sets_context,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,combined_relaxed2_or_3_only
HELDOUT2_S0064,NEXT_STEP,NEXT_STEP,NEXT_STEP,YES,YES,retrieval trace; route provenance; route extraction,retrieval; route provenance,retrieval; route provenance,0.250000,0.250000,NO,NO,ACTIVE,ACTIVE,ACTIVE,YES,YES,proposes_next_test,proposes_next_test,proposes_next_test,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_D
HELDOUT2_S0065,NEXT_STEP,RESULT,NEXT_STEP,NO,YES,agent memory; evidence selection; benchmark,agent memory; benchmark,agent memory; benchmark,0.666667,0.666667,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,proposes_next_test,reports_usefulness,proposes_next_test,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,D_relaxed1_only
HELDOUT2_S0066,NEXT_STEP,EXAMPLE,NEXT_STEP,NO,YES,tool-use security; permission boundary; agent memory,LLM application security; tool-use security,LLM application security; tool-use security,0.250000,0.250000,NO,NO,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,proposes_next_test,gives_example,proposes_next_test,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,D_role_gain_but_other_fields_fail
HELDOUT2_S0068,NEXT_STEP,NEXT_STEP,BACKGROUND,YES,NO,benchmark; gold labels; mismatch review,benchmark,benchmark,0.333333,0.333333,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,YES,NO,proposes_next_test,proposes_next_test,sets_context,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,both_strict_wrong
