segment_id,gold_role,combined_role,D_role,R6_role,combined_role_correct,D_role_correct,R6_role_correct,combined_coarse3_correct,D_coarse3_correct,R6_coarse3_correct,gold_entities,combined_entities,D_entities,R6_entities,combined_entity_jaccard,D_entity_jaccard,R6_entity_jaccard,combined_entity_exact,D_entity_exact,R6_entity_exact,gold_status,combined_status,D_status,R6_status,combined_status_correct,D_status_correct,R6_status_correct,gold_relation,combined_relation,D_relation,R6_relation,combined_relation_correct,D_relation_correct,R6_relation_correct,gold_answer,combined_answer,D_answer,R6_answer,combined_answer_correct,D_answer_correct,R6_answer_correct,combined_strict_correct,D_strict_correct,R6_strict_correct,combined_relaxed_1_correct,D_relaxed_1_correct,R6_relaxed_1_correct,combined_relaxed_2_correct,D_relaxed_2_correct,R6_relaxed_2_correct,combined_relaxed_3_correct,D_relaxed_3_correct,R6_relaxed_3_correct,outcome_bucket,strict_blockers_for_R6
DOC0001_S0010,EXAMPLE,EXAMPLE,LIMITATION,EXAMPLE,YES,NO,YES,YES,NO,YES,NIST AI RMF; AI risk; measurement,evaluation; RouteMap; RouteMap segment,evaluation; RouteMap; RouteMap segment,evaluation; RouteMap; RouteMap segment,0.200000,0.200000,0.200000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,gives_example,limits,gives_example,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
DOC0009_S0007,RESULT,RESULT,BACKGROUND,RESULT,YES,NO,YES,YES,NO,YES,retrieval; benchmark,benchmark; retrieval,benchmark; retrieval,benchmark; retrieval,1.000000,1.000000,1.000000,YES,YES,YES,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,supports_retrieval,reports_usefulness,sets_context,reports_usefulness,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,relation
DOC0007_S0006,LIMITATION,LIMITATION,BACKGROUND,LIMITATION,YES,NO,YES,YES,NO,YES,CISA AI roadmap,,,,0.000000,0.000000,0.000000,NO,NO,NO,NEGATED,NEGATED,DESCRIPTIVE,NEGATED,YES,NO,YES,limits,limits,sets_context,limits,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
DOC0001_S0006,METHOD,METHOD,BACKGROUND,METHOD,YES,NO,YES,YES,NO,YES,NIST AI RMF; AI risk; AI systems,controls; governance,controls; governance,controls; governance,0.000000,0.000000,0.000000,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,maps_to,recommends,sets_context,recommends,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity; relation; multiple
DOC0001_S0007,LIMITATION,LIMITATION,BACKGROUND,LIMITATION,YES,NO,YES,YES,NO,YES,NIST AI RMF; AI risk; AI systems; measurement,evaluation,evaluation,evaluation,0.250000,0.250000,0.250000,NO,NO,NO,LIMITED,LIMITED,DESCRIPTIVE,LIMITED,YES,NO,YES,warns_about,limits,sets_context,limits,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity; relation; multiple
DOC0004_S0001,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,ICO AI guidance; data protection; data,data protection,data protection,data protection,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,NO,MAYBE,MAYBE,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; answer; multiple
DOC0008_S0009,NEXT_STEP,NEXT_STEP,BACKGROUND,NEXT_STEP,YES,NO,YES,YES,NO,YES,RouteMap; AI risk,retrieval; RouteMap; RouteMap segment,retrieval; RouteMap; RouteMap segment,retrieval; RouteMap; RouteMap segment,0.250000,0.250000,0.250000,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,proposes_next_test,proposes_next_test,sets_context,proposes_next_test,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
DOC0003_S0005,CLAIM,CLAIM,BACKGROUND,CLAIM,YES,NO,YES,YES,NO,YES,OWASP LLM Top 10; tool risk; retrieval; model behavior,LLM application security; retrieval,LLM application security; retrieval,LLM application security; retrieval,0.500000,0.500000,0.500000,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,asserts,asserts,sets_context,asserts,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,entity
DOC0010_S0005,CLAIM,CLAIM,CLAIM,CLAIM,YES,YES,YES,YES,YES,YES,agent memory,RouteMap; RouteMap segment,RouteMap; RouteMap segment,RouteMap; RouteMap segment,0.000000,0.000000,0.000000,NO,NO,NO,ACTIVE,ACTIVE,ACTIVE,ACTIVE,YES,YES,YES,asserts,asserts,asserts,asserts,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
DOC0010_S0003,BACKGROUND,BACKGROUND,LIMITATION,BACKGROUND,YES,NO,YES,YES,NO,YES,agent memory; long-context systems,,,,0.000000,0.000000,0.000000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,warns_about,sets_context,YES,NO,YES,MAYBE,MAYBE,MAYBE,MAYBE,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
DOC0009_S0009,NEXT_STEP,NEXT_STEP,NEXT_STEP,NEXT_STEP,YES,YES,YES,YES,YES,YES,benchmark,benchmark; RouteMap; RouteMap segment,benchmark; RouteMap; RouteMap segment,benchmark; RouteMap; RouteMap segment,0.333333,0.333333,0.333333,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,proposes_next_test,proposes_next_test,proposes_next_test,proposes_next_test,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
DOC0009_S0006,CLAIM,CLAIM,BACKGROUND,CLAIM,YES,NO,YES,YES,NO,YES,RouteMap; retrieval; benchmark,benchmark; retrieval,benchmark; retrieval,benchmark; retrieval,0.666667,0.666667,0.666667,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,asserts,asserts,sets_context,asserts,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,entity
DOC0005_S0002,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,Google SAIF; RouteMap; benchmark; data,benchmark; RouteMap; secure AI development,benchmark; RouteMap; secure AI development,benchmark; RouteMap; secure AI development,0.400000,0.400000,0.400000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
DOC0006_S0004,DEFINE,DEFINE,BACKGROUND,DEFINE,YES,NO,YES,YES,NO,YES,Microsoft Responsible AI Standard; responsible AI; governance,governance,governance,governance,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,defines,defines,sets_context,defines,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
DOC0009_S0002,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,RouteMap; benchmark; data,benchmark; RouteMap,benchmark; RouteMap,benchmark; RouteMap,0.666667,0.666667,0.666667,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,entity_blocks_R6,entity
DOC0006_S0005,CLAIM,CLAIM,LIMITATION,CLAIM,YES,NO,YES,YES,NO,YES,Microsoft Responsible AI Standard,governance,governance,governance,0.000000,0.000000,0.000000,NO,NO,NO,NEGATED,ACTIVE,DESCRIPTIVE,ACTIVE,NO,NO,NO,asserts,asserts,limits,asserts,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity; status; multiple
DOC0003_S0002,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,OWASP LLM Top 10; RouteMap; benchmark; model behavior; data,benchmark; RouteMap,benchmark; RouteMap,benchmark; RouteMap,0.400000,0.400000,0.400000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
DOC0001_S0001,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,NIST AI RMF; risk management; AI risk,AI risk management; risk management,AI risk management; risk management,AI risk management; risk management,0.250000,0.250000,0.250000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,NO,MAYBE,MAYBE,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; answer; multiple
DOC0010_S0010,EXAMPLE,EXAMPLE,BACKGROUND,EXAMPLE,YES,NO,YES,YES,NO,YES,agent memory; data,permission boundary,permission boundary,permission boundary,0.000000,0.000000,0.000000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,gives_example,sets_context,gives_example,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
DOC0006_S0010,NEXT_STEP,NEXT_STEP,BACKGROUND,NEXT_STEP,YES,NO,YES,YES,NO,YES,Microsoft Responsible AI Standard; RouteMap,RouteMap,RouteMap,RouteMap,0.500000,0.500000,0.500000,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,proposes_next_test,proposes_next_test,sets_context,proposes_next_test,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,entity
DOC0007_S0005,METHOD,METHOD,BACKGROUND,METHOD,YES,NO,YES,YES,NO,YES,CISA AI roadmap; AI risk,,,,0.000000,0.000000,0.000000,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,maps_to,recommends,sets_context,recommends,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity; relation; multiple
DOC0002_S0004,DEFINE,DEFINE,BACKGROUND,DEFINE,YES,NO,YES,YES,NO,YES,NCSC secure AI guidance; secure AI development; AI systems,controls; secure AI development,controls; secure AI development,controls; secure AI development,0.250000,0.250000,0.250000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,defines,defines,sets_context,defines,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
DOC0008_S0008,EXAMPLE,EXAMPLE,LIMITATION,EXAMPLE,YES,NO,YES,YES,NO,YES,AI risk; model behavior,,,,0.000000,0.000000,0.000000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,gives_example,limits,gives_example,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
DOC0008_S0004,DEFINE,DEFINE,BACKGROUND,DEFINE,YES,NO,YES,YES,NO,YES,high-risk AI; risk management; AI risk,risk management,risk management,risk management,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,defines,defines,sets_context,defines,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
DOC0006_S0008,LIMITATION,LIMITATION,BACKGROUND,LIMITATION,YES,NO,YES,YES,NO,YES,Microsoft Responsible AI Standard; AI risk,,,,0.000000,0.000000,0.000000,NO,NO,NO,LIMITED,LIMITED,DESCRIPTIVE,LIMITED,YES,NO,YES,warns_about,limits,sets_context,limits,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity; relation; multiple
DOC0010_S0002,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,RouteMap; benchmark; agent memory; long-context systems; data,agent memory; benchmark; RouteMap,agent memory; benchmark; RouteMap,agent memory; benchmark; RouteMap,0.600000,0.600000,0.600000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,entity_blocks_R6,entity
DOC0001_S0009,NEXT_STEP,NEXT_STEP,BACKGROUND,NEXT_STEP,YES,NO,YES,YES,NO,YES,NIST AI RMF; RouteMap; AI risk; benchmark; measurement,benchmark; evaluation; RouteMap,benchmark; evaluation; RouteMap,benchmark; evaluation; RouteMap,0.600000,0.600000,0.600000,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,proposes_next_test,proposes_next_test,sets_context,proposes_next_test,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,entity
DOC0002_S0001,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,NCSC secure AI guidance; secure AI development; AI systems,secure AI development,secure AI development,secure AI development,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,NO,MAYBE,MAYBE,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; answer; multiple
DOC0009_S0008,LIMITATION,LIMITATION,LIMITATION,LIMITATION,YES,YES,YES,YES,YES,YES,benchmark,benchmark; RouteMap; RouteMap segment,benchmark; RouteMap; RouteMap segment,benchmark; RouteMap; RouteMap segment,0.333333,0.333333,0.333333,NO,NO,NO,LIMITED,LIMITED,NEGATED,LIMITED,YES,NO,YES,warns_about,limits,limits,limits,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; relation; multiple
DOC0002_S0008,LIMITATION,LIMITATION,LIMITATION,LIMITATION,YES,YES,YES,YES,YES,YES,NCSC secure AI guidance; model behavior,controls,controls,controls,0.000000,0.000000,0.000000,NO,NO,NO,NEGATED,NEGATED,DESCRIPTIVE,NEGATED,YES,NO,YES,limits,limits,limits,limits,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
DOC0001_S0002,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,NIST AI RMF; RouteMap; AI risk; benchmark; data,AI risk management; benchmark; risk management; RouteMap,AI risk management; benchmark; risk management; RouteMap,AI risk management; benchmark; risk management; RouteMap,0.285714,0.285714,0.285714,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
DOC0004_S0005,CLAIM,CLAIM,LIMITATION,CLAIM,YES,NO,YES,YES,NO,YES,ICO AI guidance; data protection; AI risk; AI systems; data,data protection,data protection,data protection,0.200000,0.200000,0.200000,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,asserts,asserts,warns_about,asserts,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
DOC0004_S0010,RESULT,RESULT,BACKGROUND,RESULT,YES,NO,YES,YES,NO,YES,ICO AI guidance; AI risk; data,,,,0.000000,0.000000,0.000000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,reports_usefulness,reports_usefulness,sets_context,reports_usefulness,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
DOC0006_S0003,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,Microsoft Responsible AI Standard; responsible AI; AI systems,,,,0.000000,0.000000,0.000000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,MAYBE,MAYBE,MAYBE,MAYBE,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
