segment_id,gold_role,pred_role,gold_coarse_5,pred_coarse_5,gold_coarse_4,pred_coarse_4,gold_coarse_3,pred_coarse_3,gold_entities,pred_entities,entity_jaccard,entity_exact,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,failure_pattern
TB028,EXAMPLE,BACKGROUND,INSTANCE,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,basic algebra; linear equations; pupil; transfer practice; wording,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,gives_example,sets_context,YES,MAYBE,role+entity+relation+answer
TB029,LIMITATION,BACKGROUND,CAVEAT,CONTEXT,CAVEAT,CONTEXT,CAVEAT,CONTEXT,frustration note; special educational need; support plan; tutor,,0.000000,NO,ACTIVE,DESCRIPTIVE,limits,sets_context,YES,YES,role+entity+status+relation
TB030,NEXT_STEP,CLAIM,ACTION,ASSERTION,ACTION,CONTENT,SUBSTANTIVE,SUBSTANTIVE,borderline cases; gold set; reviewer column; senior tutors,human review,0.000000,NO,ACTIVE,ACTIVE,proposes_next_test,asserts,YES,YES,role+entity+relation
TB031,DEFINE,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,approval bypasses; bank-detail changes; duplicate invoice patterns; fraudsieve; invoice-control router; vendor identity changes,controls,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB032,BACKGROUND,CLAIM,CONTEXT,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,alerts; approver; finance reviewers; invoice; vendor,controls; human review,0.000000,NO,DESCRIPTIVE,ACTIVE,sets_context,asserts,YES,YES,role+entity+status+relation
TB033,METHOD,RESULT,ACTION,ASSERTION,ACTION,CONTENT,SUBSTANTIVE,SUBSTANTIVE,controls; approval gate; evidence field; payment risk,controls,0.250000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,reports_usefulness,YES,YES,role+entity+status+relation
TB034,METHOD,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,duplicate check; gross amount; invoice number; purchase-order reference; supplier name,controls,0.000000,NO,ACTIVE,DESCRIPTIVE,maps_to,sets_context,YES,YES,role+entity+status+relation
TB035,RESULT,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,duplicate invoices; historic alerts; precision; recall; supplier names,controls,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,sets_context,YES,YES,role+entity+relation
TB036,LIMITATION,METHOD,CAVEAT,ACTION,CAVEAT,ACTION,CAVEAT,SUBSTANTIVE,approver; case; evidence; payment; tool,controls,0.000000,NO,ACTIVE,DESCRIPTIVE,limits,sets_context,YES,YES,role+entity+status+relation
TB037,DEFINE,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,blocked culverts; field notes; flood-response routes; pump status; riverwatch; road closures; water levels,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB038,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,duty officer; field deployment; photos; resident calls; sensor messages,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,YES,YES,entity
TB039,METHOD,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,agency notification; confidence; hazard type; immediate action; location,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB040,LIMITATION,BACKGROUND,CAVEAT,CONTEXT,CAVEAT,CONTEXT,CAVEAT,CONTEXT,public-road closure route; scheduled drill; standing water; test basin,,0.000000,NO,ACTIVE,DESCRIPTIVE,limits,sets_context,YES,YES,role+entity+status+relation
TB041,RESULT,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,blocked culvert reports; bridge-depth notes; severity rule; trial,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,sets_context,YES,YES,role+entity+relation
TB042,NEXT_STEP,NEXT_STEP,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,blind review set; false alarms; missed deployments; storm event,evaluation,0.000000,NO,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity
TB043,DEFINE,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,client instruction; counsel review; disclosure deadline; evidence request; lawbrief disclosure tracker; litigation notes; privilege issue,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB044,BACKGROUND,LIMITATION,CONTEXT,CAVEAT,CONTEXT,CAVEAT,CONTEXT,CAVEAT,case handlers; deadline reminders; factual evidence; legal advice,,0.000000,NO,DESCRIPTIVE,NEGATED,sets_context,limits,YES,YES,role+entity+status+relation
TB045,METHOD,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,case route; deadline; document type; extractor; legal sensitivity; responsible person,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,MAYBE,role+entity+status+relation+answer
TB046,LIMITATION,LIMITATION,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,confidentiality; privilege; qualified reviewer,human review,0.000000,NO,ACTIVE,DESCRIPTIVE,limits,limits,YES,YES,entity+status
TB047,EXAMPLE,CLAIM,INSTANCE,ASSERTION,ACTION,CONTENT,SUBSTANTIVE,SUBSTANTIVE,client; contract draft; evidence collection; old laptop; privilege review,,0.000000,NO,DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,role+entity+status+relation
TB048,NEXT_STEP,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,blind corpus; case summaries; gold examples; training snippets,benchmark,0.000000,NO,ACTIVE,DESCRIPTIVE,proposes_next_test,sets_context,YES,MAYBE,role+entity+status+relation+answer
TB049,DEFINE,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,defect type; downtime risk; factory inspection notes; machine owner; repair priority; roboinspect; safety class,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,MAYBE,role+entity+status+relation+answer
TB050,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,cosmetic defect; line; operators; safety-critical fault; shift change,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,YES,MAYBE,entity+answer
TB051,METHOD,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,machine id; observed symptom; production stop; recurrence; station,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB052,METHOD,LIMITATION,ACTION,CAVEAT,ACTION,CAVEAT,SUBSTANTIVE,CAVEAT,calibration rule; escalating risk; minor vibration notes; seven days; third occurrence,,0.000000,NO,ACTIVE,LIMITED,maps_to,limits,YES,YES,role+entity+status+relation
TB053,RESULT,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,downtime label; review; route classifier; spare part,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,sets_context,YES,YES,role+entity+relation
TB054,LIMITATION,LIMITATION,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,fault; machine; planned maintenance,,0.000000,NO,ACTIVE,ACTIVE,limits,limits,YES,MAYBE,entity+answer
TB055,DEFINE,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,carbon evidence; certification status; data gap; greenledger; labour-risk concern; remediation action; supplier notes,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB056,BACKGROUND,LIMITATION,CONTEXT,CAVEAT,CONTEXT,CAVEAT,CONTEXT,CAVEAT,procurement teams; supplier claim; verified document,,0.000000,NO,DESCRIPTIVE,LIMITED,sets_context,limits,YES,YES,role+entity+status+relation
TB057,METHOD,CLAIM,ACTION,ASSERTION,ACTION,CONTENT,SUBSTANTIVE,SUBSTANTIVE,audit; claim; due date; evidence source; internal approval; supplier follow-up; verification level,,0.000000,NO,ACTIVE,ACTIVE,supports_retrieval,asserts,YES,YES,role+entity+relation
TB058,LIMITATION,LIMITATION,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,certificate number; certification; marketing brochure; standard,,0.000000,NO,ACTIVE,LIMITED,limits,limits,YES,YES,entity+status
TB059,RESULT,LIMITATION,ASSERTION,CAVEAT,CONTENT,CAVEAT,SUBSTANTIVE,CAVEAT,data-gap detection; expired certificate; first pass; supplier,,0.000000,NO,DESCRIPTIVE,LIMITED,reports_usefulness,limits,YES,YES,role+entity+status+relation
TB060,NEXT_STEP,NEXT_STEP,ACTION,ACTION,ACTION,ACTION,SUBSTANTIVE,SUBSTANTIVE,fresh blind batch; pilot sectors; production scoring threshold; suppliers,evaluation,0.000000,NO,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,entity
TB061,DEFINE,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,access control; crowd flow; eventmesh; live-event incident notes; medical support; steward deployment; technical fault,controls,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB062,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,action; busy event; issue; radio messages,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,YES,YES,entity
TB063,METHOD,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,current owner; incident; incident type; urgency; zone,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB064,EXAMPLE,BACKGROUND,INSTANCE,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,crowd-flow monitoring; gate c; queue; scanner; technical fault,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,gives_example,sets_context,YES,MAYBE,role+entity+relation+answer
TB065,LIMITATION,LIMITATION,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,CAVEAT,medical keywords; medical note; priority; review,,0.000000,NO,ACTIVE,DESCRIPTIVE,limits,limits,YES,YES,entity+status
TB066,NEXT_STEP,CLAIM,ACTION,ASSERTION,ACTION,CONTENT,SUBSTANTIVE,SUBSTANTIVE,evaluation; blind set; model; venue; venue-specific language,evaluation,0.200000,NO,ACTIVE,ACTIVE,proposes_next_test,asserts,YES,YES,role+entity+relation
TB067,DEFINE,BACKGROUND,ASSERTION,CONTEXT,CONTENT,CONTEXT,SUBSTANTIVE,CONTEXT,conservation risk; digitisation need; heritagevault; loan restriction; museum catalogue notes; provenance gap; research lead,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,MAYBE,role+entity+status+relation+answer
TB068,BACKGROUND,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,CONTEXT,condition concern; curators; display recommendation; historical claim,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,sets_context,sets_context,YES,MAYBE,entity+answer
TB069,METHOD,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,evidence phrase; material; object identifier; risk phrase; specialist review; workflow route,,0.000000,NO,ACTIVE,DESCRIPTIVE,supports_retrieval,sets_context,YES,YES,role+entity+status+relation
TB070,LIMITATION,BACKGROUND,CAVEAT,CONTEXT,CAVEAT,CONTEXT,CAVEAT,CONTEXT,another piece; item; provenance evidence,,0.000000,NO,ACTIVE,DESCRIPTIVE,limits,sets_context,YES,MAYBE,role+entity+status+relation+answer
TB071,RESULT,RESULT,ASSERTION,ASSERTION,CONTENT,CONTENT,SUBSTANTIVE,SUBSTANTIVE,catalogue descriptions; digitisation needs; provenance gap; research lead; trial,,0.000000,NO,DESCRIPTIVE,DESCRIPTIVE,reports_usefulness,reports_usefulness,YES,YES,entity
TB072,NEXT_STEP,BACKGROUND,ACTION,CONTEXT,ACTION,CONTEXT,SUBSTANTIVE,CONTEXT,evaluation; gold labels; catalogue notes; curator; predictions,evaluation; gold labels,0.400000,NO,ACTIVE,DESCRIPTIVE,proposes_next_test,sets_context,YES,YES,role+entity+status+relation
