gold_entity,mapped_canonical,confidence,support_count,example_rows,reason,approved
false alarms,evaluation,low,1,TB042,cooccurs_without_string_match,
fault,,none,0,,no_candidate,
field deployment,,none,0,,no_candidate,
field notes,,none,0,,no_candidate,
finance reviewers,controls,low,1,TB032,cooccurs_without_string_match,
financial exposure,,none,0,,no_candidate,
first pass,,none,0,,no_candidate,
flood-response routes,,none,0,,no_candidate,
fluency-based issue,,none,0,,no_candidate,
forty-eight hours,,none,0,,no_candidate,
fraudsieve,controls,low,1,TB031,cooccurs_without_string_match,
fresh blind batch,evaluation,low,1,TB060,cooccurs_without_string_match,
frustration note,,none,0,,no_candidate,
gate c,,none,0,,no_candidate,
gate-out confirmation,,none,0,,no_candidate,
gold examples,benchmark,low,1,TB048,cooccurs_without_string_match,
gold labels,gold labels,high,1,TB072,punctuation_or_singular_match; matches_existing_ontology_synonym_or_canonical_form,yes
gold set,human review,low,1,TB030,cooccurs_without_string_match,
greenledger,,none,0,,no_candidate,
gridlens,,none,0,,no_candidate,
gross amount,controls,low,1,TB034,cooccurs_without_string_match,
harborflow,,none,0,,no_candidate,
hazard type,,none,0,,no_candidate,
heritagevault,,none,0,,no_candidate,
historic alerts,controls,low,1,TB035,cooccurs_without_string_match,
historical claim,,none,0,,no_candidate,
homework completion,,none,0,,no_candidate,
human officer,incident response,low,1,TB001,cooccurs_without_string_match,
immediate action,,none,0,,no_candidate,
incident,,none,0,,no_candidate,
incident type,,none,0,,no_candidate,
inspection seal,,none,0,,no_candidate,
internal approval,,none,0,,no_candidate,
inverter faults,,none,0,,no_candidate,
inverter trips,,none,0,,no_candidate,
invoice,controls,low,1,TB032,cooccurs_without_string_match,
invoice number,controls,low,1,TB034,cooccurs_without_string_match,
invoice-control router,controls,low,1,TB031,cooccurs_without_string_match,
issue,,none,0,,no_candidate,
item,,none,0,,no_candidate,
labour-risk concern,,none,0,,no_candidate,
last verified timestamp,,none,0,,no_candidate,
lawbrief disclosure tracker,,none,0,,no_candidate,
learning routes,,none,0,,no_candidate,
legal advice,,none,0,,no_candidate,
legal evidence,permission boundary,low,1,TB004,cooccurs_without_string_match,
legal sensitivity,,none,0,,no_candidate,
lesson plan,,none,0,,no_candidate,
line,,none,0,,no_candidate,
linear equations,,none,0,,no_candidate,
litigation notes,,none,0,,no_candidate,
live-event incident notes,controls,low,1,TB061,cooccurs_without_string_match,
loan restriction,,none,0,,no_candidate,
location,,none,0,,no_candidate,
logistics exception tracker,,none,0,,no_candidate,
machine,,none,0,,no_candidate,
machine id,,none,0,,no_candidate,
machine owner,,none,0,,no_candidate,
maintenance team,,none,0,,no_candidate,
manual triage spreadsheet,,none,0,,no_candidate,
marketing brochure,,none,0,,no_candidate,
material,,none,0,,no_candidate,
medical keywords,,none,0,,no_candidate,
medical note,,none,0,,no_candidate,
medical support,controls,low,1,TB061,cooccurs_without_string_match,
minor vibration notes,,none,0,,no_candidate,
misconception,,none,0,,no_candidate,
missed deployments,evaluation,low,1,TB042,cooccurs_without_string_match,
missing attachments,,none,0,,no_candidate,
missing-document evidence,,none,0,,no_candidate,
model,evaluation,low,1,TB066,cooccurs_without_string_match,
model prompt,evaluation,low,1,TB018,cooccurs_without_string_match,
museum catalogue notes,,none,0,,no_candidate,
new decision,,none,0,,no_candidate,
object identifier,,none,0,,no_candidate,
observed symptom,,none,0,,no_candidate,
old laptop,,none,0,,no_candidate,
operational incident,,none,0,,no_candidate,
operations lead,,none,0,,no_candidate,
operators,,none,0,,no_candidate,
parent follow-up,,none,0,,no_candidate,
partial screenshot,permission boundary,low,1,TB004,cooccurs_without_string_match,
pathway,,none,0,,no_candidate,
pathway name,,none,0,,no_candidate,
patient identifiers,evaluation,low,1,TB018,cooccurs_without_string_match,
patient-contact status,,none,0,,no_candidate,
patients,,none,0,,no_candidate,
payment,controls,low,1,TB036,cooccurs_without_string_match,
payment risk,controls,low,1,TB033,cooccurs_without_string_match,
payment status,incident response,low,1,TB001,cooccurs_without_string_match,
permit evidence,incident response,low,1,TB001,cooccurs_without_string_match,
permit query,,none,0,,no_candidate,
photos,,none,0,,no_candidate,
pilot review,,none,0,,no_candidate,
pilot sectors,evaluation,low,1,TB060,cooccurs_without_string_match,
planned firmware test,,none,0,,no_candidate,
planned maintenance,,none,0,,no_candidate,
planning permission,permission boundary,low,1,TB004,cooccurs_without_string_match,
planning questions,incident response,low,1,TB001,cooccurs_without_string_match,
port team,,none,0,,no_candidate,
practice need,,none,0,,no_candidate,
precision,controls,low,1,TB035,cooccurs_without_string_match,
predictions,evaluation,low,1,TB072,cooccurs_without_string_match,
priority,,none,0,,no_candidate,
privilege,human review,low,1,TB046,cooccurs_without_string_match,
privilege issue,,none,0,,no_candidate,
privilege review,,none,0,,no_candidate,
procurement teams,,none,0,,no_candidate,
production alert rules,,none,0,,no_candidate,
production scoring threshold,evaluation,low,1,TB060,cooccurs_without_string_match,
production stop,,none,0,,no_candidate,
provenance evidence,,none,0,,no_candidate,
provenance gap,,none,0,,no_candidate,
public-road closure route,,none,0,,no_candidate,
pump status,,none,0,,no_candidate,
pupil,,none,0,,no_candidate,
purchase-order reference,controls,low,1,TB034,cooccurs_without_string_match,
qualified reviewer,human review,low,1,TB046,cooccurs_without_string_match,
queue,,none,0,,no_candidate,
radio messages,,none,0,,no_candidate,
re-identification key,evaluation,low,1,TB018,cooccurs_without_string_match,
recall,controls,low,1,TB035,cooccurs_without_string_match,
recommended intervention,,none,0,,no_candidate,
recurrence,,none,0,,no_candidate,
recurrence count,,none,0,,no_candidate,
refrigerated container,,none,0,,no_candidate,
remediation action,,none,0,,no_candidate,
repair priority,,none,0,,no_candidate,
repeated faults,,none,0,,no_candidate,
request type,,none,0,,no_candidate,
required evidence,,none,0,,no_candidate,
research lead,,none,0,,no_candidate,
resident calls,,none,0,,no_candidate,
resident intent,,none,0,,no_candidate,
residents,,none,0,,no_candidate,
responsible person,,none,0,,no_candidate,
responsible role,,none,0,,no_candidate,
review,,none,0,,no_candidate,
reviewer column,human review,low,1,TB030,cooccurs_without_string_match,
risk phrase,,none,0,,no_candidate,
riverwatch,,none,0,,no_candidate,
road closures,,none,0,,no_candidate,
roboinspect,,none,0,,no_candidate,
route classifier,,none,0,,no_candidate,
route map,,none,0,,no_candidate,
routing errors,,none,0,,no_candidate,
safety class,,none,0,,no_candidate,
safety implication,,none,0,,no_candidate,
safety-critical fault,,none,0,,no_candidate,
sample,,none,0,,no_candidate,
scanner,,none,0,,no_candidate,
scheduled drill,,none,0,,no_candidate,
scheduled work,,none,0,,no_candidate,
scores,evaluation,high,1,TB066,cooccurs_without_string_match; matches_existing_ontology_synonym_or_canonical_form,yes
senior tutors,human review,low,1,TB030,cooccurs_without_string_match,
sensor messages,,none,0,,no_candidate,
seven days,,none,0,,no_candidate,
severity,,none,0,,no_candidate,
severity rule,,none,0,,no_candidate,
shift change,,none,0,,no_candidate,
spare part,,none,0,,no_candidate,
special educational need,,none,0,,no_candidate,
specialist review,,none,0,,no_candidate,
standard,,none,0,,no_candidate,
standing water,,none,0,,no_candidate,
state-of-charge anomalies,,none,0,,no_candidate,
station,,none,0,,no_candidate,
status,,none,0,,no_candidate,
steward deployment,controls,low,1,TB061,cooccurs_without_string_match,
storm event,evaluation,low,1,TB042,cooccurs_without_string_match,
supplier,,none,0,,no_candidate,
supplier claim,,none,0,,no_candidate,
supplier follow-up,,none,0,,no_candidate,
supplier name,controls,low,1,TB034,cooccurs_without_string_match,
supplier names,controls,low,1,TB035,cooccurs_without_string_match,
supplier notes,,none,0,,no_candidate,
suppliers,evaluation,low,1,TB060,cooccurs_without_string_match,
support plan,,none,0,,no_candidate,
symptom,,none,0,,no_candidate,
synthetic ids,evaluation,low,1,TB018,cooccurs_without_string_match,
technical fault,controls,low,1,TB061,cooccurs_without_string_match,
technician dispatch,,none,0,,no_candidate,
telemetry summaries,,none,0,,no_candidate,
temperature alarm,,none,0,,no_candidate,
test basin,,none,0,,no_candidate,
thermal alerts,,none,0,,no_candidate,
thermal warnings,,none,0,,no_candidate,
third occurrence,,none,0,,no_candidate,
tool,controls,low,1,TB036,cooccurs_without_string_match,
topic,,none,0,,no_candidate,
training snippets,benchmark,low,1,TB048,cooccurs_without_string_match,
transfer practice,,none,0,,no_candidate,
trial,,none,0,,no_candidate,
tutor,,none,0,,no_candidate,
tutoring notes,,none,0,,no_candidate,
tutors,,none,0,,no_candidate,
tutortrail,,none,0,,no_candidate,
urgency,,none,0,,no_candidate,
urgent flag,,none,0,,no_candidate,
vendor,controls,low,1,TB032,cooccurs_without_string_match,
vendor identity changes,controls,low,1,TB031,cooccurs_without_string_match,
venue,evaluation,low,1,TB066,cooccurs_without_string_match,
venue-specific language,evaluation,low,1,TB066,cooccurs_without_string_match,
verification level,,none,0,,no_candidate,
verified document,,none,0,,no_candidate,
verified shipment record,,none,0,,no_candidate,
water levels,,none,0,,no_candidate,
wording,,none,0,,no_candidate,
workflow route,,none,0,,no_candidate,
zone,,none,0,,no_candidate,
