segment_id,gold_role,combined_role,D_role,R6_role,combined_role_correct,D_role_correct,R6_role_correct,combined_coarse5_correct,D_coarse5_correct,R6_coarse5_correct,combined_coarse4_correct,D_coarse4_correct,R6_coarse4_correct,combined_coarse3_correct,D_coarse3_correct,R6_coarse3_correct,gold_entities,combined_entities,D_entities,R6_entities,combined_entity_jaccard,D_entity_jaccard,R6_entity_jaccard,combined_entity_exact,D_entity_exact,R6_entity_exact,gold_status,combined_status,D_status,R6_status,combined_status_correct,D_status_correct,R6_status_correct,gold_relation,combined_relation,D_relation,R6_relation,combined_relation_correct,D_relation_correct,R6_relation_correct,gold_answer,combined_answer,D_answer,R6_answer,combined_answer_correct,D_answer_correct,R6_answer_correct,combined_strict_correct,D_strict_correct,R6_strict_correct,combined_relaxed_1_correct,D_relaxed_1_correct,R6_relaxed_1_correct,combined_relaxed_2_correct,D_relaxed_2_correct,R6_relaxed_2_correct,combined_relaxed_3_correct,D_relaxed_3_correct,R6_relaxed_3_correct,outcome_bucket,strict_blockers_for_R6
HELDOUT2_S0011,CLAIM,CLAIM,CLAIM,CLAIM,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,AI safety evaluation; evaluation; audit trail,AI safety evaluation; audit trail; evaluation,AI safety evaluation; audit trail; evaluation,AI safety evaluation; audit trail; evaluation,1.000000,1.000000,1.000000,YES,YES,YES,ACTIVE,ACTIVE,ACTIVE,ACTIVE,YES,YES,YES,asserts,asserts,asserts,asserts,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,all_strict_correct,none
HELDOUT2_S0012,CLAIM,METHOD,CLAIM,CLAIM,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,model release governance; evidence selection; risk management,governance; model release governance,governance; model release governance,governance; model release governance,0.250000,0.250000,0.250000,NO,NO,NO,ACTIVE,ACTIVE,ACTIVE,ACTIVE,YES,YES,YES,asserts,recommends,asserts,recommends,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; relation; multiple
HELDOUT2_S0013,CLAIM,LIMITATION,LIMITATION,LIMITATION,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,consent boundary; permission boundary; answer support,consent boundary; permission boundary,consent boundary; permission boundary,consent boundary; permission boundary,0.666667,0.666667,0.666667,NO,NO,NO,ACTIVE,LIMITED,LIMITED,LIMITED,NO,NO,NO,asserts,limits,limits,limits,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,role; entity; status; relation; multiple
HELDOUT2_S0014,CLAIM,CLAIM,CLAIM,CLAIM,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,retrieval trace; answer support; evidence selection,answer support; retrieval; retrieval trace; RouteMap; RouteMap segment,answer support; retrieval; retrieval trace; RouteMap; RouteMap segment,answer support; retrieval; retrieval trace; RouteMap; RouteMap segment,0.333333,0.333333,0.333333,NO,NO,NO,ACTIVE,ACTIVE,ACTIVE,ACTIVE,YES,YES,YES,asserts,asserts,asserts,asserts,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
HELDOUT2_S0015,CLAIM,CLAIM,LIMITATION,CLAIM,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,agent memory; route provenance; source context,agent memory; route provenance,agent memory; route provenance,agent memory; route provenance,0.666667,0.666667,0.666667,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,asserts,asserts,warns_about,asserts,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,entity
HELDOUT2_S0016,CLAIM,CLAIM,LIMITATION,CLAIM,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,controls; evidence selection; human review,controls; retrieval,controls; retrieval,controls; retrieval,0.250000,0.250000,0.250000,NO,NO,NO,ACTIVE,ACTIVE,LIMITED,ACTIVE,YES,NO,YES,asserts,asserts,limits,asserts,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
HELDOUT2_S0017,CLAIM,BACKGROUND,LIMITATION,BACKGROUND,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,benchmark; source context; route segment,benchmark; RouteMap; RouteMap segment; source context,benchmark; RouteMap; RouteMap segment; source context,benchmark; RouteMap; RouteMap segment; source context,0.750000,0.750000,0.750000,NO,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,NO,asserts,sets_context,warns_about,sets_context,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,role; entity; status; relation; answer; multiple
HELDOUT2_S0018,CLAIM,CLAIM,CLAIM,CLAIM,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,human review; evidence selection; retrieval trace,evidence selection; human review,evidence selection; human review,evidence selection; human review,0.666667,0.666667,0.666667,NO,NO,NO,ACTIVE,ACTIVE,ACTIVE,ACTIVE,YES,YES,YES,asserts,asserts,asserts,asserts,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,entity_blocks_R6,entity
HELDOUT2_S0019,CLAIM,EXAMPLE,CLAIM,CLAIM,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,tool-use security; permission boundary; controls,LLM application security; permission boundary; tool-use security,LLM application security; permission boundary; tool-use security,LLM application security; permission boundary; tool-use security,0.500000,0.500000,0.500000,NO,NO,NO,ACTIVE,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,NO,asserts,gives_example,asserts,gives_example,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,multi_field_blocks_R6,entity; status; relation; multiple
HELDOUT2_S0020,CLAIM,DEFINE,CLAIM,CLAIM,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,audit trail; answer support; evaluation,answer support; audit trail,answer support; audit trail,answer support; audit trail,0.666667,0.666667,0.666667,NO,NO,NO,ACTIVE,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,NO,asserts,defines,asserts,defines,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,multi_field_blocks_R6,entity; status; relation; multiple
HELDOUT2_S0021,DEFINE,DEFINE,BACKGROUND,DEFINE,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,route provenance; source context; evidence selection; answer support,answer support; evidence selection; route provenance; source context,answer support; evidence selection; route provenance; source context,answer support; evidence selection; route provenance; source context,1.000000,1.000000,1.000000,YES,YES,YES,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,defines,defines,sets_context,defines,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,none
HELDOUT2_S0022,DEFINE,CLAIM,BACKGROUND,CLAIM,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,retrieval trace; evidence selection; answer support,evidence selection; retrieval; retrieval trace,evidence selection; retrieval; retrieval trace,evidence selection; retrieval; retrieval trace,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,defines,asserts,sets_context,asserts,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,role; entity; status; relation; multiple
HELDOUT2_S0023,DEFINE,DEFINE,DEFINE,DEFINE,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,consent boundary; permission boundary; privacy,consent boundary; permission boundary,consent boundary; permission boundary,consent boundary; permission boundary,0.666667,0.666667,0.666667,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,defines,defines,defines,defines,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,entity_blocks_R6,entity
HELDOUT2_S0024,DEFINE,DEFINE,DEFINE,DEFINE,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,model release governance; evaluation; risk management,evaluation; governance; model release governance,evaluation; governance; model release governance,evaluation; governance; model release governance,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,defines,defines,defines,defines,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,entity_blocks_R6,entity
HELDOUT2_S0025,DEFINE,DEFINE,BACKGROUND,DEFINE,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,agent memory; route extraction; source context,agent memory,agent memory,agent memory,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,defines,defines,sets_context,defines,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
HELDOUT2_S0026,DEFINE,METHOD,BACKGROUND,METHOD,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,route segment; route extraction; RouteMap,retrieval; RouteMap; RouteMap segment,retrieval; RouteMap; RouteMap segment,retrieval; RouteMap; RouteMap segment,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,defines,recommends,sets_context,recommends,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,R6_preserves_combined_relaxed3,role; entity; status; relation; multiple
HELDOUT2_S0027,DEFINE,DEFINE,BACKGROUND,DEFINE,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,answer support; evidence selection; retrieval trace,answer support,answer support,answer support,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,defines,defines,sets_context,defines,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
HELDOUT2_S0028,DEFINE,CLAIM,DEFINE,DEFINE,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,audit trail; human review; model release governance,audit trail; human review; retrieval,audit trail; human review; retrieval,audit trail; human review; retrieval,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,defines,asserts,defines,asserts,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,multi_field_blocks_R6,entity; status; relation; multiple
HELDOUT2_S0029,DEFINE,CLAIM,BACKGROUND,CLAIM,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,controls; tool-use security; permission boundary,controls,controls,controls,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,defines,asserts,sets_context,asserts,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_coarse_guard_saved_row,role; entity; status; relation; multiple
HELDOUT2_S0030,DEFINE,DEFINE,BACKGROUND,DEFINE,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,human review; evidence selection; controls,human review,human review,human review,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,defines,defines,sets_context,defines,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
HELDOUT2_S0031,METHOD,METHOD,METHOD,METHOD,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,answer support; retrieval trace; human review,evaluation; retrieval; retrieval trace,evaluation; retrieval; retrieval trace,evaluation; retrieval; retrieval trace,0.200000,0.200000,0.200000,NO,NO,NO,ACTIVE,ACTIVE,ACTIVE,ACTIVE,YES,YES,YES,recommends,recommends,asserts,recommends,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
HELDOUT2_S0032,METHOD,EXAMPLE,BACKGROUND,EXAMPLE,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,model release governance; evidence selection; human review,human review,human review,human review,0.333333,0.333333,0.333333,NO,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,NO,recommends,gives_example,sets_context,gives_example,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_coarse_guard_saved_row,role; entity; status; relation; multiple
HELDOUT2_S0033,METHOD,METHOD,BACKGROUND,METHOD,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,consent boundary; permission boundary; evidence selection,consent boundary; permission boundary; privacy,consent boundary; permission boundary; privacy,consent boundary; permission boundary; privacy,0.500000,0.500000,0.500000,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,maps_to,recommends,sets_context,recommends,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,entity; relation; multiple
HELDOUT2_S0034,METHOD,CLAIM,METHOD,METHOD,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,agent memory; route provenance; source context,,,,0.000000,0.000000,0.000000,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,recommends,asserts,recommends,asserts,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; relation; multiple
HELDOUT2_S0035,METHOD,METHOD,BACKGROUND,METHOD,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,tool-use security; permission boundary; route segment,permission boundary; RouteMap; RouteMap segment,permission boundary; RouteMap; RouteMap segment,permission boundary; RouteMap; RouteMap segment,0.500000,0.500000,0.500000,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,requires,recommends,sets_context,recommends,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,entity; relation; multiple
HELDOUT2_S0036,METHOD,EXAMPLE,METHOD,METHOD,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,incident response; retrieval trace; controls,controls; retrieval; retrieval trace,controls; retrieval; retrieval trace,controls; retrieval; retrieval trace,0.500000,0.500000,0.500000,NO,NO,NO,ACTIVE,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,NO,maps_to,gives_example,proposes_next_test,gives_example,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,multi_field_blocks_R6,entity; status; relation; multiple
HELDOUT2_S0037,METHOD,RESULT,BACKGROUND,RESULT,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,benchmark; policy context; route segment,benchmark; policy context,benchmark; policy context,benchmark; policy context,0.666667,0.666667,0.666667,NO,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,NO,recommends,reports_usefulness,sets_context,reports_usefulness,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,R6_preserves_combined_relaxed3,role; entity; status; relation; multiple
HELDOUT2_S0038,METHOD,CLAIM,METHOD,METHOD,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,human review; evidence selection; answer support,evidence selection; human review,evidence selection; human review,evidence selection; human review,0.666667,0.666667,0.666667,NO,NO,NO,ACTIVE,ACTIVE,ACTIVE,ACTIVE,YES,YES,YES,recommends,asserts,proposes_next_test,asserts,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,multi_field_blocks_R6,entity; relation; multiple
HELDOUT2_S0039,METHOD,METHOD,BACKGROUND,METHOD,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,audit trail; answer support; human review,answer support; audit trail; human review,answer support; audit trail; human review,answer support; audit trail; human review,1.000000,1.000000,1.000000,YES,YES,YES,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,recommends,recommends,sets_context,recommends,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,none
HELDOUT2_S0040,METHOD,METHOD,BACKGROUND,METHOD,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,route segment; evidence selection; human review,RouteMap; RouteMap segment,RouteMap; RouteMap segment,RouteMap; RouteMap segment,0.250000,0.250000,0.250000,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,recommends,recommends,sets_context,recommends,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
HELDOUT2_S0041,RESULT,RESULT,RESULT,RESULT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,evaluation; route provenance; answer support,answer support; evaluation; route provenance; RouteMap; RouteMap segment,answer support; evaluation; route provenance; RouteMap; RouteMap segment,answer support; evaluation; route provenance; RouteMap; RouteMap segment,0.600000,0.600000,0.600000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,supports_retrieval,reports_usefulness,reports_usefulness,reports_usefulness,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,multi_field_blocks_R6,entity; relation; multiple
HELDOUT2_S0042,RESULT,METHOD,RESULT,RESULT,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,model release governance; evidence selection; human review,human review,human review,human review,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,reports_usefulness,recommends,reports_usefulness,recommends,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; status; relation; multiple
