task_id,domain,raw_response,extracted_content,extraction_ok,extraction_note,verdict,checker_reason,actually_valid_checkable_property,difference,raw_input_verdict
json_020,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_021,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_022,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_023,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_024,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_025,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_026,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_027,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_028,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_029,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_030,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_031,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_032,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_033,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_034,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_035,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_036,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_037,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_038,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_039,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_040,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_041,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_042,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_043,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_044,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_045,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_046,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_047,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_048,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
json_049,json_schema,,,0,no parseable JSON object found,UNCHECKABLE,json extraction failed,0,,RULED_OUT_WRONG
