model,segment_id,title,text,gold_entities,pred_entities,exact,jaccard,precision,recall,f1,zero_overlap,missing_entities,extra_entities
pred_entities_current,HELDOUT2_S0016,fresh_controls_claims.md,Controls that never travel with retrieved evidence rarely change practical review behaviour.,controls; evidence selection; human review,controls; retrieval,NO,0.250000,0.500000,0.333333,0.400000,NO,evidence selection; human review,retrieval
pred_entities_current,HELDOUT2_S0017,fresh_benchmark_claims.md,Benchmark design is weaker when easy source context outnumbers adversarial route segments.,benchmark; RouteMap segment; source context,benchmark; RouteMap segment; source context,YES,1.000000,1.000000,1.000000,1.000000,NO,,
pred_entities_current,HELDOUT2_S0018,fresh_human_review_claims.md,Human review adds value only if reviewers can inspect the evidence selection path.,evidence selection; human review; retrieval trace,human review; retrieval,NO,0.250000,0.500000,0.333333,0.400000,NO,evidence selection; retrieval trace,retrieval
pred_entities_current,HELDOUT2_S0019,fresh_tool_claims.md,Tool-use security depends on permission boundaries being checked at the moment of action.,controls; permission boundary; tool-use security,permission boundary,NO,0.333333,1.000000,0.333333,0.500000,NO,controls; tool-use security,
pred_entities_current,HELDOUT2_S0020,fresh_audit_claims.md,An audit trail without answer support is evidence of activity rather than evidence of reliability.,answer support; audit trail; evaluation,answer support; audit,NO,0.250000,0.500000,0.333333,0.400000,NO,audit trail; evaluation,audit
pred_entities_current,HELDOUT2_S0021,fresh_route_terms.md,"Route provenance: the documented lineage connecting source context, selected evidence, and answer support.",answer support; evidence selection; route provenance; source context,answer support; route provenance; source context,NO,0.750000,1.000000,0.750000,0.857143,NO,evidence selection,
pred_entities_current,HELDOUT2_S0022,fresh_trace_terms.md,Retrieval trace names the visible sequence from question intent through evidence selection to final response.,answer support; evidence selection; retrieval trace,retrieval; retrieval trace,NO,0.250000,0.500000,0.333333,0.400000,NO,answer support; evidence selection,retrieval
pred_entities_current,HELDOUT2_S0023,fresh_consent_terms.md,Consent boundary covers the point at which a permission grant stops applying to a new use.,consent boundary; permission boundary; privacy,permission boundary; privacy,NO,0.666667,1.000000,0.666667,0.800000,NO,consent boundary,
pred_entities_current,HELDOUT2_S0024,fresh_release_terms.md,Model release governance denotes the approval practice linking evaluation findings to launch decisions.,evaluation; model release governance; risk management,evaluation; governance,NO,0.250000,0.500000,0.333333,0.400000,NO,model release governance; risk management,governance
pred_entities_current,HELDOUT2_S0025,fresh_memory_terms.md,Agent memory routing describes choosing stored context by dependency rather than by freshness alone.,agent memory; route extraction; source context,agent memory,NO,0.333333,1.000000,0.333333,0.500000,NO,route extraction; source context,
pred_entities_current,HELDOUT2_S0026,fresh_segment_terms.md,A route segment label marks the job a passage performs inside a larger retrieval chain.,route extraction; RouteMap; RouteMap segment,retrieval; RouteMap segment,NO,0.250000,0.500000,0.333333,0.400000,NO,route extraction; RouteMap,retrieval
pred_entities_current,HELDOUT2_S0027,fresh_support_terms.md,Answer support refers to evidence that directly justifies a response rather than merely sharing keywords.,answer support; evidence selection; retrieval trace,answer support,NO,0.333333,1.000000,0.333333,0.500000,NO,evidence selection; retrieval trace,
pred_entities_current,HELDOUT2_S0028,fresh_audit_terms.md,"Audit trail, in this setting, names records that let reviewers reconstruct a release or retrieval decision.",audit trail; human review; model release governance,human review; retrieval; audit,NO,0.200000,0.333333,0.333333,0.333333,NO,audit trail; model release governance,retrieval; audit
pred_entities_current,HELDOUT2_S0029,fresh_control_terms.md,"Control surface labels the places where safeguards can change model, tool, or data behaviour.",controls; permission boundary; tool-use security,controls,NO,0.333333,1.000000,0.333333,0.500000,NO,permission boundary; tool-use security,
pred_entities_current,HELDOUT2_S0030,fresh_review_terms.md,Human-review checkpoint names a decision point where automated evidence must be inspected before action.,controls; evidence selection; human review,RouteMap segment,NO,0.000000,0.000000,0.000000,0.000000,YES,controls; evidence selection; human review,RouteMap segment
pred_entities_current,HELDOUT2_S0031,fresh_eval_methods.md,"Compare each generated answer against its retrieval trace, then flag unsupported assertions for review.",answer support; human review; retrieval trace,retrieval; retrieval trace,NO,0.250000,0.500000,0.333333,0.400000,NO,answer support; human review,retrieval
pred_entities_current,HELDOUT2_S0032,fresh_release_methods.md,"Before launch, collect release evidence, unresolved limitations, and reviewer sign-off in one packet.",evidence selection; human review; model release governance,human review; release evidence,NO,0.250000,0.500000,0.333333,0.400000,NO,evidence selection; model release governance,release evidence
pred_entities_current,HELDOUT2_S0033,fresh_privacy_methods.md,Map consent records to permission checks before selecting evidence for a privacy-sensitive answer.,consent boundary; evidence selection; permission boundary,permission boundary; privacy,NO,0.250000,0.500000,0.333333,0.400000,NO,consent boundary; evidence selection,privacy
pred_entities_current,HELDOUT2_S0034,fresh_memory_methods.md,"Rank memory candidates by route dependency, source age, and whether the task needs hidden state.",agent memory; route provenance; source context,RouteMap segment,NO,0.000000,0.000000,0.000000,0.000000,YES,agent memory; route provenance; source context,RouteMap segment
pred_entities_current,HELDOUT2_S0035,fresh_tool_methods.md,"Log tool calls with permission scope, selected route segment, and the reason the action was allowed.",permission boundary; RouteMap segment; tool-use security,permission boundary; RouteMap segment,NO,0.666667,1.000000,0.666667,0.800000,NO,tool-use security,
pred_entities_current,HELDOUT2_S0036,fresh_incident_methods.md,"During an incident review, connect symptoms to retrieval traces and then to the control that failed.",controls; incident response; retrieval trace,controls; retrieval,NO,0.250000,0.500000,0.333333,0.400000,NO,incident response; retrieval trace,retrieval
pred_entities_current,HELDOUT2_S0037,fresh_benchmark_methods.md,"Sample benchmark rows from policy context, operational procedures, examples, and caveats in equal measure.",benchmark; policy context; RouteMap segment,benchmark; source context,NO,0.250000,0.500000,0.333333,0.400000,NO,policy context; RouteMap segment,source context
pred_entities_current,HELDOUT2_S0038,fresh_human_review_methods.md,Route uncertain answers to human review when evidence selection conflicts with the final answer.,answer support; evidence selection; human review,human review; retrieval,NO,0.250000,0.500000,0.333333,0.400000,NO,answer support; evidence selection,retrieval
pred_entities_current,HELDOUT2_S0039,fresh_audit_methods.md,Store audit trail entries beside answer support so later reviewers can reproduce the decision.,answer support; audit trail; human review,answer support; human review; audit,NO,0.500000,0.666667,0.666667,0.666667,NO,audit trail,audit
pred_entities_current,HELDOUT2_S0040,fresh_annotation_methods.md,"Label the passage role first, record relation evidence second, and adjudicate entity boundaries last.",evidence selection; human review; RouteMap segment,RouteMap segment,NO,0.333333,1.000000,0.333333,0.500000,NO,evidence selection; human review,
pred_entities_current,HELDOUT2_S0041,fresh_trace_results.md,The evaluation run recovered more answer-support passages after route provenance was kept with the snippets.,answer support; evaluation; route provenance,evaluation; route provenance; RouteMap segment,NO,0.500000,0.666667,0.666667,0.666667,NO,answer support,RouteMap segment
pred_entities_current,HELDOUT2_S0042,fresh_release_results.md,Release reviewers resolved blocked decisions faster when caveats appeared beside the evidence packet.,evidence selection; human review; model release governance,human review,NO,0.333333,1.000000,0.333333,0.500000,NO,evidence selection; model release governance,
pred_entities_current,HELDOUT2_S0043,fresh_privacy_results.md,The consent-boundary cases produced fewer false positives once permission checks were separated from general privacy text.,consent boundary; permission boundary; privacy,permission boundary; privacy,NO,0.666667,1.000000,0.666667,0.800000,NO,consent boundary,
pred_entities_current,HELDOUT2_S0044,fresh_memory_results.md,Memory routing returned older but more relevant context for tasks with hidden state dependencies.,agent memory; route provenance; source context,agent memory,NO,0.333333,1.000000,0.333333,0.500000,NO,route provenance; source context,
pred_entities_current,HELDOUT2_S0045,fresh_tool_results.md,Tool-use security review found that missing permission logs explained most rejected actions.,human review; permission boundary; tool-use security,permission boundary; secure AI development,NO,0.250000,0.500000,0.333333,0.400000,NO,human review; tool-use security,secure AI development
pred_entities_current,HELDOUT2_S0046,fresh_benchmark_results.md,A mixed benchmark split exposed brittle behaviour on examples that looked like procedures.,benchmark; evaluation; RouteMap segment,benchmark,NO,0.333333,1.000000,0.333333,0.500000,NO,evaluation; RouteMap segment,
pred_entities_current,HELDOUT2_S0047,fresh_human_review_results.md,Human reviewers agreed more often when the retrieval trace displayed rejected evidence as well as accepted evidence.,evidence selection; human review; retrieval trace,human review; retrieval; retrieval trace,NO,0.500000,0.666667,0.666667,0.666667,NO,evidence selection,retrieval
pred_entities_current,HELDOUT2_S0048,fresh_audit_results.md,Audit trail inspection showed that answer support was present in seven of nine release decisions.,answer support; audit trail; model release governance,answer support; audit,NO,0.250000,0.500000,0.333333,0.400000,NO,audit trail; model release governance,audit
pred_entities_current,HELDOUT2_S0049,fresh_selection_results.md,Evidence selection improved after source context was grouped by route segment instead of document order.,evidence selection; RouteMap segment; source context,retrieval; RouteMap segment; source context,NO,0.500000,0.666667,0.666667,0.666667,NO,evidence selection,retrieval
pred_entities_current,HELDOUT2_S0050,fresh_error_results.md,The mismatch review revealed that policy-context rows were often confused with broad claims.,mismatch review; policy context; claims,mismatch review,NO,0.333333,1.000000,0.333333,0.500000,NO,policy context; claims,
pred_entities_current,HELDOUT2_S0051,fresh_eval_limits.md,Future benchmark rounds may still overstate generalisation if they reuse the same policy vocabulary.,benchmark; evaluation; policy context,benchmark,NO,0.333333,1.000000,0.333333,0.500000,NO,evaluation; policy context,
pred_entities_current,HELDOUT2_S0052,fresh_release_limits.md,A complete release packet does not prove that the deployed model will behave safely after integration.,AI safety evaluation; model release governance; risk management,RouteMap segment,NO,0.000000,0.000000,0.000000,0.000000,YES,AI safety evaluation; model release governance; risk management,RouteMap segment
pred_entities_current,HELDOUT2_S0053,fresh_consent_limits.md,Consent records can be too stale to justify a fresh tool action even when the interface looks authorized.,consent boundary; permission boundary; privacy,privacy,NO,0.333333,1.000000,0.333333,0.500000,NO,consent boundary; permission boundary,
pred_entities_current,HELDOUT2_S0054,fresh_trace_limits.md,Retrieval traces may miss reasoning steps that occur after evidence enters the prompt.,answer support; retrieval trace; RouteMap segment,retrieval,NO,0.000000,0.000000,0.000000,0.000000,YES,answer support; retrieval trace; RouteMap segment,retrieval
pred_entities_current,HELDOUT2_S0055,fresh_memory_limits.md,Agent memory can preserve obsolete source context unless review processes remove or downgrade it.,agent memory; human review; source context,agent memory; source context,NO,0.666667,1.000000,0.666667,0.800000,NO,human review,
pred_entities_current,HELDOUT2_S0056,fresh_tool_limits.md,Permission checks are not enough when the tool output can leak private data through a later route.,permission boundary; privacy; tool-use security,permission boundary; privacy,NO,0.666667,1.000000,0.666667,0.800000,NO,tool-use security,
pred_entities_current,HELDOUT2_S0057,fresh_review_limits.md,Human review is constrained when audit trails omit rejected evidence and reviewer rationale.,audit trail; evidence selection; human review,human review; audit,NO,0.250000,0.500000,0.333333,0.400000,NO,audit trail; evidence selection,audit
pred_entities_current,HELDOUT2_S0058,fresh_benchmark_limits.md,"A route benchmark remains incomplete without operational incidents, adversarial examples, and noisy documentation.",benchmark; incident response; RouteMap segment,benchmark; documentation,NO,0.250000,0.500000,0.333333,0.400000,NO,incident response; RouteMap segment,documentation
pred_entities_current,HELDOUT2_S0059,fresh_policy_limits.md,Policy context can warn about risk without specifying the control step needed for a particular system.,controls; policy context; risk management,controls; source context,NO,0.250000,0.500000,0.333333,0.400000,NO,policy context; risk management,source context
pred_entities_current,HELDOUT2_S0060,fresh_support_limits.md,Answer support is fragile if relation labels are right but entity boundaries drift across passages.,answer support; evidence selection; RouteMap segment,answer support; RouteMap segment,NO,0.666667,1.000000,0.666667,0.800000,NO,evidence selection,
pred_entities_current,HELDOUT2_S0061,fresh_eval_steps.md,"Next, assemble a second fresh split from incident reports and release-board minutes.",benchmark; incident response; model release governance,monitoring,NO,0.000000,0.000000,0.000000,0.000000,YES,benchmark; incident response; model release governance,monitoring
pred_entities_current,HELDOUT2_S0062,fresh_release_steps.md,Future evaluation should compare model release governance rows with ordinary project-management notes.,evaluation; model release governance; source context,evaluation; governance,NO,0.250000,0.500000,0.333333,0.400000,NO,model release governance; source context,governance
pred_entities_current,HELDOUT2_S0063,fresh_privacy_steps.md,Add consent-boundary examples that mix permission checks with unrelated privacy background.,consent boundary; permission boundary; privacy,permission boundary; privacy,NO,0.666667,1.000000,0.666667,0.800000,NO,consent boundary,
pred_entities_current,HELDOUT2_S0064,fresh_trace_steps.md,The next retrieval test should hide titles and require the extractor to infer route provenance from text alone.,retrieval trace; route extraction; route provenance,retrieval; route provenance,NO,0.250000,0.500000,0.333333,0.400000,NO,retrieval trace; route extraction,retrieval
pred_entities_current,HELDOUT2_S0065,fresh_memory_steps.md,Run an agent-memory benchmark where old context competes with newer but less relevant evidence.,agent memory; benchmark; evidence selection,benchmark,NO,0.333333,1.000000,0.333333,0.500000,NO,agent memory; evidence selection,
pred_entities_current,HELDOUT2_S0066,fresh_tool_steps.md,"A follow-up tool-use security set should include plugins, command execution, and delegated agents.",agent memory; permission boundary; tool-use security,RouteMap segment,NO,0.000000,0.000000,0.000000,0.000000,YES,agent memory; permission boundary; tool-use security,RouteMap segment
pred_entities_current,HELDOUT2_S0068,fresh_benchmark_steps.md,"Build noisy benchmark rows that contain definitions, caveats, and examples in a single paragraph.",benchmark; gold labels; mismatch review,benchmark,NO,0.333333,1.000000,0.333333,0.500000,NO,gold labels; mismatch review,
pred_entities_current,HELDOUT2_S0069,fresh_audit_steps.md,The next audit-trail test should measure whether reviewers can reconstruct the release decision.,audit trail; human review; model release governance,human review; audit,NO,0.250000,0.500000,0.333333,0.400000,NO,audit trail; model release governance,audit
pred_entities_current,HELDOUT2_S0070,fresh_support_steps.md,Create answer-support cases where the cited passage is relevant but the relation path is wrong.,answer support; evidence selection; RouteMap segment,RouteMap segment,NO,0.333333,1.000000,0.333333,0.500000,NO,answer support; evidence selection,
pred_entities_current,HELDOUT2_S0071,fresh_hospital_examples.md,"In a hospital triage review, consent evidence and safety evaluation notes can point to different routes.",AI safety evaluation; consent boundary; privacy,evaluation; privacy,NO,0.250000,0.500000,0.333333,0.400000,NO,AI safety evaluation; consent boundary,evaluation
pred_entities_current,HELDOUT2_S0072,fresh_release_examples.md,Suppose a release board blocks launch because the audit trail lacks reviewer rationale.,audit trail; human review; model release governance,human review; audit,NO,0.250000,0.500000,0.333333,0.400000,NO,audit trail; model release governance,audit
pred_entities_current,HELDOUT2_S0073,fresh_chatbot_examples.md,"When a support chatbot requests a refund-tool call, the permission boundary may depend on account history.",permission boundary; privacy; tool-use security,permission boundary,NO,0.333333,1.000000,0.333333,0.500000,NO,privacy; tool-use security,
pred_entities_current,HELDOUT2_S0074,fresh_memory_examples.md,One coding task may need last week's migration note rather than the newest design comment.,agent memory; route provenance; source context,RouteMap segment,NO,0.000000,0.000000,0.000000,0.000000,YES,agent memory; route provenance; source context,RouteMap segment
pred_entities_current,HELDOUT2_S0075,fresh_trace_examples.md,"For instance, a cited paragraph can mention privacy while failing to support the answer's consent claim.",answer support; evidence selection; privacy,privacy,NO,0.333333,1.000000,0.333333,0.500000,NO,answer support; evidence selection,
pred_entities_current,HELDOUT2_S0076,fresh_tool_examples.md,A plugin that reads calendars and sends email illustrates why tool-use security needs separate route checks.,permission boundary; RouteMap segment; tool-use security,RouteMap segment,NO,0.333333,1.000000,0.333333,0.500000,NO,permission boundary; tool-use security,
pred_entities_current,HELDOUT2_S0077,fresh_incident_examples.md,"During an incident, an operator might trace a harmful answer through retrieval logs and a stale memory entry.",agent memory; incident response; retrieval trace,retrieval,NO,0.000000,0.000000,0.000000,0.000000,YES,agent memory; incident response; retrieval trace,retrieval
pred_entities_current,HELDOUT2_S0078,fresh_benchmark_examples.md,A synthetic benchmark row could look procedural while actually describing a concrete reviewer scenario.,benchmark; human review; RouteMap segment,benchmark; human review,NO,0.666667,1.000000,0.666667,0.800000,NO,RouteMap segment,
pred_entities_current,HELDOUT2_S0079,fresh_audit_examples.md,An auditor comparing two release packets may follow evidence selection differences before reading conclusions.,audit trail; evidence selection; model release governance,human review; retrieval,NO,0.000000,0.000000,0.000000,0.000000,YES,audit trail; evidence selection; model release governance,human review; retrieval
pred_entities_current,HELDOUT2_S0080,fresh_answer_examples.md,A final answer that cites policy context but omits the controlling route segment shows a support failure.,answer support; policy context; RouteMap segment,RouteMap segment; source context,NO,0.250000,0.500000,0.333333,0.400000,NO,answer support; policy context,source context
pred_entities_ontology_v1,HELDOUT2_S0001,fresh_policy_context_notes.md,A policy overview frames AI safety evaluation as part of institutional risk governance rather than a standalone metric exercise.,AI safety evaluation; policy context; risk management,AI safety evaluation; evaluation; governance; policy context; risk management,NO,0.600000,0.600000,1.000000,0.750000,NO,,evaluation; governance
pred_entities_ontology_v1,HELDOUT2_S0002,fresh_release_archive_notes.md,"The release archive describes why model approval packets include evidence logs, reviewer notes, and unresolved caveats.",audit trail; evidence selection; human review; model release governance,evidence selection; human review; model release governance,NO,0.750000,1.000000,0.750000,0.857143,NO,audit trail,
pred_entities_ontology_v1,HELDOUT2_S0003,fresh_privacy_handbook_notes.md,The privacy handbook gives consent examples before turning to any RouteMap annotation task.,consent boundary; privacy; RouteMap,consent boundary; privacy; RouteMap,YES,1.000000,1.000000,1.000000,1.000000,NO,,
pred_entities_ontology_v1,HELDOUT2_S0004,fresh_trace_manual_notes.md,A documentation page introduces retrieval trace diagrams for teams that have never used route labels.,retrieval trace; RouteMap; RouteMap segment,retrieval; retrieval trace; RouteMap; RouteMap segment,NO,0.750000,0.750000,1.000000,0.857143,NO,,retrieval
pred_entities_ontology_v1,HELDOUT2_S0005,fresh_memory_brief_notes.md,"An agent memory briefing mentions risk, benchmark drift, and long-context failures while setting document scope.",agent memory; benchmark; risk management; source context,agent memory; benchmark; source context,NO,0.750000,1.000000,0.750000,0.857143,NO,risk management,
pred_entities_ontology_v1,HELDOUT2_S0006,fresh_tool_security_notes.md,The tool-use security note records common permission-check vocabulary used by incident responders.,incident response; permission boundary; tool-use security,incident response; LLM application security; permission boundary; tool-use security,NO,0.750000,0.750000,1.000000,0.857143,NO,,LLM application security
pred_entities_ontology_v1,HELDOUT2_S0007,fresh_benchmark_package_notes.md,"A benchmark design appendix lists source context, gold labels, and mismatch review artifacts for auditors.",benchmark; gold labels; mismatch review; source context,benchmark; gold labels; human review; mismatch review; source context,NO,0.800000,0.800000,1.000000,0.888889,NO,,human review
pred_entities_ontology_v1,HELDOUT2_S0008,fresh_evidence_selection_notes.md,The evidence selection primer explains how policy context can affect which passages are useful to reviewers.,evidence selection; human review; policy context,evidence selection; human review; policy context; RouteMap; RouteMap segment,NO,0.600000,0.600000,1.000000,0.750000,NO,,RouteMap; RouteMap segment
pred_entities_ontology_v1,HELDOUT2_S0009,fresh_governance_catalog_notes.md,"A model release governance catalog summarizes approval roles, audit trails, and release-board terminology.",audit trail; human review; model release governance,audit trail; governance; model release governance,NO,0.500000,0.666667,0.666667,0.666667,NO,human review,governance
pred_entities_ontology_v1,HELDOUT2_S0010,fresh_incident_response_notes.md,An incident response playbook provides background on escalation records without recommending a new classifier.,human review; incident response; source context,incident response,NO,0.333333,1.000000,0.333333,0.500000,NO,human review; source context,
pred_entities_ontology_v1,HELDOUT2_S0011,fresh_eval_claims.md,AI safety evaluation becomes more credible when disagreement remains traceable instead of hidden behind an average.,AI safety evaluation; audit trail; evaluation,AI safety evaluation; audit trail; evaluation,YES,1.000000,1.000000,1.000000,1.000000,NO,,
pred_entities_ontology_v1,HELDOUT2_S0012,fresh_release_claims.md,"Model release governance should treat missing evidence as a decision risk, not as harmless paperwork.",evidence selection; model release governance; risk management,governance; model release governance,NO,0.250000,0.500000,0.333333,0.400000,NO,evidence selection; risk management,governance
pred_entities_ontology_v1,HELDOUT2_S0013,fresh_consent_claims.md,Consent boundaries lose force when downstream permission checks are invisible to the answer composer.,answer support; consent boundary; permission boundary,consent boundary; permission boundary,NO,0.666667,1.000000,0.666667,0.800000,NO,answer support,
pred_entities_ontology_v1,HELDOUT2_S0014,fresh_trace_claims.md,"A retrieval trace matters because answer support depends on the path, not merely on a cited passage.",answer support; evidence selection; retrieval trace,answer support; retrieval; retrieval trace; RouteMap; RouteMap segment,NO,0.333333,0.400000,0.666667,0.500000,NO,evidence selection,retrieval; RouteMap; RouteMap segment
pred_entities_ontology_v1,HELDOUT2_S0015,fresh_memory_claims.md,Agent memory can amplify stale assumptions when route provenance is absent from recall.,agent memory; route provenance; source context,agent memory; route provenance,NO,0.666667,1.000000,0.666667,0.800000,NO,source context,
pred_entities_ontology_v1,HELDOUT2_S0016,fresh_controls_claims.md,Controls that never travel with retrieved evidence rarely change practical review behaviour.,controls; evidence selection; human review,controls; retrieval,NO,0.250000,0.500000,0.333333,0.400000,NO,evidence selection; human review,retrieval
pred_entities_ontology_v1,HELDOUT2_S0017,fresh_benchmark_claims.md,Benchmark design is weaker when easy source context outnumbers adversarial route segments.,benchmark; RouteMap segment; source context,benchmark; RouteMap; RouteMap segment; source context,NO,0.750000,0.750000,1.000000,0.857143,NO,,RouteMap
pred_entities_ontology_v1,HELDOUT2_S0018,fresh_human_review_claims.md,Human review adds value only if reviewers can inspect the evidence selection path.,evidence selection; human review; retrieval trace,evidence selection; human review,NO,0.666667,1.000000,0.666667,0.800000,NO,retrieval trace,
pred_entities_ontology_v1,HELDOUT2_S0019,fresh_tool_claims.md,Tool-use security depends on permission boundaries being checked at the moment of action.,controls; permission boundary; tool-use security,LLM application security; permission boundary; tool-use security,NO,0.500000,0.666667,0.666667,0.666667,NO,controls,LLM application security
pred_entities_ontology_v1,HELDOUT2_S0020,fresh_audit_claims.md,An audit trail without answer support is evidence of activity rather than evidence of reliability.,answer support; audit trail; evaluation,answer support; audit trail,NO,0.666667,1.000000,0.666667,0.800000,NO,evaluation,
pred_entities_ontology_v1,HELDOUT2_S0021,fresh_route_terms.md,"Route provenance: the documented lineage connecting source context, selected evidence, and answer support.",answer support; evidence selection; route provenance; source context,answer support; evidence selection; route provenance; source context,YES,1.000000,1.000000,1.000000,1.000000,NO,,
pred_entities_ontology_v1,HELDOUT2_S0022,fresh_trace_terms.md,Retrieval trace names the visible sequence from question intent through evidence selection to final response.,answer support; evidence selection; retrieval trace,evidence selection; retrieval; retrieval trace,NO,0.500000,0.666667,0.666667,0.666667,NO,answer support,retrieval
pred_entities_ontology_v1,HELDOUT2_S0023,fresh_consent_terms.md,Consent boundary covers the point at which a permission grant stops applying to a new use.,consent boundary; permission boundary; privacy,consent boundary; permission boundary,NO,0.666667,1.000000,0.666667,0.800000,NO,privacy,
pred_entities_ontology_v1,HELDOUT2_S0024,fresh_release_terms.md,Model release governance denotes the approval practice linking evaluation findings to launch decisions.,evaluation; model release governance; risk management,evaluation; governance; model release governance,NO,0.500000,0.666667,0.666667,0.666667,NO,risk management,governance
pred_entities_ontology_v1,HELDOUT2_S0025,fresh_memory_terms.md,Agent memory routing describes choosing stored context by dependency rather than by freshness alone.,agent memory; route extraction; source context,agent memory,NO,0.333333,1.000000,0.333333,0.500000,NO,route extraction; source context,
pred_entities_ontology_v1,HELDOUT2_S0026,fresh_segment_terms.md,A route segment label marks the job a passage performs inside a larger retrieval chain.,route extraction; RouteMap; RouteMap segment,retrieval; RouteMap; RouteMap segment,NO,0.500000,0.666667,0.666667,0.666667,NO,route extraction,retrieval
pred_entities_ontology_v1,HELDOUT2_S0027,fresh_support_terms.md,Answer support refers to evidence that directly justifies a response rather than merely sharing keywords.,answer support; evidence selection; retrieval trace,answer support,NO,0.333333,1.000000,0.333333,0.500000,NO,evidence selection; retrieval trace,
pred_entities_ontology_v1,HELDOUT2_S0028,fresh_audit_terms.md,"Audit trail, in this setting, names records that let reviewers reconstruct a release or retrieval decision.",audit trail; human review; model release governance,audit trail; human review; retrieval,NO,0.500000,0.666667,0.666667,0.666667,NO,model release governance,retrieval
pred_entities_ontology_v1,HELDOUT2_S0029,fresh_control_terms.md,"Control surface labels the places where safeguards can change model, tool, or data behaviour.",controls; permission boundary; tool-use security,controls,NO,0.333333,1.000000,0.333333,0.500000,NO,permission boundary; tool-use security,
