split,segment_id,dataset_family,boundary_pair,title,text,gold_role,contrast_role,gold_entities,gold_operative_status,gold_relation,gold_answer_relevant,difficulty,notes
expanded_train_v2,EXPAND_S0031,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0031.md,"In this benchmark, permission boundary denotes the label used for passages that carry answer support.",DEFINE,CLAIM,permission boundary; answer support,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0032,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0032.md,The phrase retrieval trace marks the identity of the route feature connected to risk management.,DEFINE,CLAIM,retrieval trace; risk management,DESCRIPTIVE,defines,YES,EASY,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0033,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0033.md,route provenance names the boundary where gold labels becomes part of the route record.,DEFINE,CLAIM,route provenance; gold labels,DESCRIPTIVE,defines,YES,MEDIUM,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0035,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0035.md,The phrase route extraction marks the identity of the route feature connected to privacy.,DEFINE,CLAIM,route extraction; privacy,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0036,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0036.md,benchmark names the boundary where retrieval trace becomes part of the route record.,DEFINE,CLAIM,benchmark; retrieval trace,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0037,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0037.md,"In this benchmark, evaluation denotes the label used for passages that carry route extraction.",DEFINE,CLAIM,evaluation; route extraction,DESCRIPTIVE,defines,YES,EASY,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0038,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0038.md,The phrase human review marks the identity of the route feature connected to RouteMap.,DEFINE,CLAIM,human review,DESCRIPTIVE,defines,YES,MEDIUM,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0041,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0041.md,The phrase incident response marks the identity of the route feature connected to risk management.,DEFINE,CLAIM,incident response; risk management,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0042,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0042.md,agent memory names the boundary where gold labels becomes part of the route record.,DEFINE,CLAIM,agent memory; gold labels,DESCRIPTIVE,defines,YES,EASY,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0043,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0043.md,"In this benchmark, audit trail denotes the label used for passages that carry LLM application security.",DEFINE,CLAIM,audit trail; LLM application security,DESCRIPTIVE,defines,YES,MEDIUM,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0044,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0044.md,The phrase answer support marks the identity of the route feature connected to privacy.,DEFINE,CLAIM,answer support; privacy,DESCRIPTIVE,defines,YES,MEDIUM,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0045,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0045.md,policy context names the boundary where retrieval trace becomes part of the route record.,DEFINE,CLAIM,policy context; retrieval trace,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0047,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0047.md,The phrase risk management marks the identity of the route feature connected to human review.,DEFINE,CLAIM,risk management; human review,DESCRIPTIVE,defines,YES,EASY,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0049,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0049.md,"In this benchmark, mismatch review denotes the label used for passages that carry answer support.",DEFINE,CLAIM,mismatch review; answer support,DESCRIPTIVE,defines,YES,MEDIUM,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0050,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0050.md,The phrase gold labels marks the identity of the route feature connected to risk management.,DEFINE,CLAIM,gold labels; risk management,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
expanded_train_v2,EXPAND_S0051,boundary_pair,RESULT vs CLAIM,expanded_boundary_0051.md,The evaluation run recovered RouteMap segment but missed gold labels in several hard boundary rows.,RESULT,CLAIM,RouteMap segment; gold labels; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0052,boundary_pair,RESULT vs CLAIM,expanded_boundary_0052.md,The mismatch review shows secure AI development improved after adding labels while LLM application security remained unstable.,RESULT,CLAIM,secure AI development; LLM application security; evaluation,DESCRIPTIVE,reports_usefulness,YES,EASY,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0055,boundary_pair,RESULT vs CLAIM,expanded_boundary_0055.md,The mismatch review shows model release governance improved after adding labels while route extraction remained unstable.,RESULT,CLAIM,model release governance; route extraction; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0056,boundary_pair,RESULT vs CLAIM,expanded_boundary_0056.md,The benchmark output reports that privacy was selected more consistently than human review.,RESULT,CLAIM,privacy; human review; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0057,boundary_pair,RESULT vs CLAIM,expanded_boundary_0057.md,The evaluation run recovered consent boundary but missed incident response in several hard boundary rows.,RESULT,CLAIM,consent boundary; incident response; evaluation,DESCRIPTIVE,reports_usefulness,YES,EASY,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0058,boundary_pair,RESULT vs CLAIM,expanded_boundary_0058.md,The mismatch review shows permission boundary improved after adding labels while answer support remained unstable.,RESULT,CLAIM,permission boundary; answer support; evaluation,DESCRIPTIVE,reports_usefulness,YES,MEDIUM,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0060,boundary_pair,RESULT vs CLAIM,expanded_boundary_0060.md,The evaluation run recovered route provenance but missed gold labels in several hard boundary rows.,RESULT,CLAIM,route provenance; gold labels; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0061,boundary_pair,RESULT vs CLAIM,expanded_boundary_0061.md,The mismatch review shows RouteMap improved after adding labels while LLM application security remained unstable.,RESULT,CLAIM,RouteMap; LLM application security; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0062,boundary_pair,RESULT vs CLAIM,expanded_boundary_0062.md,The benchmark output reports that route extraction was selected more consistently than privacy.,RESULT,CLAIM,route extraction; privacy; evaluation,DESCRIPTIVE,reports_usefulness,YES,EASY,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0063,boundary_pair,RESULT vs CLAIM,expanded_boundary_0063.md,The evaluation run recovered benchmark but missed retrieval trace in several hard boundary rows.,RESULT,CLAIM,benchmark; retrieval trace; evaluation,DESCRIPTIVE,reports_usefulness,YES,MEDIUM,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0066,boundary_pair,RESULT vs CLAIM,expanded_boundary_0066.md,The evaluation run recovered evidence selection but missed incident response in several hard boundary rows.,RESULT,CLAIM,evidence selection; incident response; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0067,boundary_pair,RESULT vs CLAIM,expanded_boundary_0067.md,The mismatch review shows tool-use security improved after adding labels while answer support remained unstable.,RESULT,CLAIM,tool-use security; answer support; evaluation,DESCRIPTIVE,reports_usefulness,YES,EASY,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0068,boundary_pair,RESULT vs CLAIM,expanded_boundary_0068.md,The benchmark output reports that incident response was selected more consistently than risk management.,RESULT,CLAIM,incident response; risk management; evaluation,DESCRIPTIVE,reports_usefulness,YES,MEDIUM,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0069,boundary_pair,RESULT vs CLAIM,expanded_boundary_0069.md,The evaluation run recovered agent memory but missed gold labels in several hard boundary rows.,RESULT,CLAIM,agent memory; gold labels; evaluation,DESCRIPTIVE,reports_usefulness,YES,MEDIUM,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0070,boundary_pair,RESULT vs CLAIM,expanded_boundary_0070.md,The mismatch review shows audit trail improved after adding labels while LLM application security remained unstable.,RESULT,CLAIM,audit trail; LLM application security; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0072,boundary_pair,RESULT vs CLAIM,expanded_boundary_0072.md,The evaluation run recovered policy context but missed retrieval trace in several hard boundary rows.,RESULT,CLAIM,policy context; retrieval trace; evaluation,DESCRIPTIVE,reports_usefulness,YES,EASY,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0074,boundary_pair,RESULT vs CLAIM,expanded_boundary_0074.md,The benchmark output reports that risk management was selected more consistently than human review.,RESULT,CLAIM,risk management; human review; evaluation,DESCRIPTIVE,reports_usefulness,YES,MEDIUM,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0075,boundary_pair,RESULT vs CLAIM,expanded_boundary_0075.md,The evaluation run recovered source context but missed incident response in several hard boundary rows.,RESULT,CLAIM,source context; incident response; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0076,boundary_pair,RESULT vs CLAIM,expanded_boundary_0076.md,A route-aware system loses answer support when mismatch review is separated from answer support.,CLAIM,RESULT,mismatch review; answer support; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0077,boundary_pair,RESULT vs CLAIM,expanded_boundary_0077.md,gold labels should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,RESULT,gold labels; risk management,ACTIVE,asserts,YES,EASY,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0080,boundary_pair,RESULT vs CLAIM,expanded_boundary_0080.md,LLM application security should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,RESULT,LLM application security; privacy; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0081,boundary_pair,RESULT vs CLAIM,expanded_boundary_0081.md,AI safety evaluation improves RouteMap reliability only when retrieval trace remains visible to downstream reviewers.,CLAIM,RESULT,AI safety evaluation; retrieval trace; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0082,boundary_pair,RESULT vs CLAIM,expanded_boundary_0082.md,A route-aware system loses answer support when model release governance is separated from route extraction.,CLAIM,RESULT,model release governance; route extraction; risk management,ACTIVE,asserts,YES,EASY,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0083,boundary_pair,RESULT vs CLAIM,expanded_boundary_0083.md,privacy should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,RESULT,privacy; human review; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0085,boundary_pair,RESULT vs CLAIM,expanded_boundary_0085.md,A route-aware system loses answer support when permission boundary is separated from answer support.,CLAIM,RESULT,permission boundary; answer support; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0086,boundary_pair,RESULT vs CLAIM,expanded_boundary_0086.md,retrieval trace should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,RESULT,retrieval trace; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0087,boundary_pair,RESULT vs CLAIM,expanded_boundary_0087.md,route provenance improves RouteMap reliability only when gold labels remains visible to downstream reviewers.,CLAIM,RESULT,route provenance; gold labels; risk management,ACTIVE,asserts,YES,EASY,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0088,boundary_pair,RESULT vs CLAIM,expanded_boundary_0088.md,A route-aware system loses answer support when RouteMap is separated from LLM application security.,CLAIM,RESULT,RouteMap; LLM application security; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0091,boundary_pair,RESULT vs CLAIM,expanded_boundary_0091.md,A route-aware system loses answer support when evaluation is separated from route extraction.,CLAIM,RESULT,evaluation; route extraction; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0092,boundary_pair,RESULT vs CLAIM,expanded_boundary_0092.md,human review should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,RESULT,human review; risk management,ACTIVE,asserts,YES,EASY,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0093,boundary_pair,RESULT vs CLAIM,expanded_boundary_0093.md,evidence selection improves RouteMap reliability only when incident response remains visible to downstream reviewers.,CLAIM,RESULT,evidence selection; incident response; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0094,boundary_pair,RESULT vs CLAIM,expanded_boundary_0094.md,A route-aware system loses answer support when tool-use security is separated from answer support.,CLAIM,RESULT,tool-use security; answer support; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0095,boundary_pair,RESULT vs CLAIM,expanded_boundary_0095.md,incident response should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,RESULT,incident response; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0097,boundary_pair,RESULT vs CLAIM,expanded_boundary_0097.md,A route-aware system loses answer support when audit trail is separated from LLM application security.,CLAIM,RESULT,audit trail; LLM application security; risk management,ACTIVE,asserts,YES,EASY,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0099,boundary_pair,RESULT vs CLAIM,expanded_boundary_0099.md,policy context improves RouteMap reliability only when retrieval trace remains visible to downstream reviewers.,CLAIM,RESULT,policy context; retrieval trace; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0100,boundary_pair,RESULT vs CLAIM,expanded_boundary_0100.md,A route-aware system loses answer support when controls is separated from route extraction.,CLAIM,RESULT,controls; route extraction; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
expanded_train_v2,EXPAND_S0101,boundary_pair,BACKGROUND vs CLAIM,expanded_boundary_0101.md,A policy context page introduces risk management vocabulary before any substantive extraction claim is made.,BACKGROUND,CLAIM,risk management; human review; source context,DESCRIPTIVE,sets_context,MAYBE,HARD,Intended as BACKGROUND rather than CLAIM for the BACKGROUND vs CLAIM boundary.
expanded_train_v2,EXPAND_S0102,boundary_pair,BACKGROUND vs CLAIM,expanded_boundary_0102.md,A source packet frames source context alongside incident response so reviewers can place the passage before judging its route label.,BACKGROUND,CLAIM,source context; incident response,DESCRIPTIVE,sets_context,MAYBE,EASY,Intended as BACKGROUND rather than CLAIM for the BACKGROUND vs CLAIM boundary.
expanded_train_v2,EXPAND_S0105,boundary_pair,BACKGROUND vs CLAIM,expanded_boundary_0105.md,A source packet frames RouteMap segment alongside gold labels so reviewers can place the passage before judging its route label.,BACKGROUND,CLAIM,RouteMap segment; gold labels; source context,DESCRIPTIVE,sets_context,MAYBE,HARD,Intended as BACKGROUND rather than CLAIM for the BACKGROUND vs CLAIM boundary.
expanded_train_v2,EXPAND_S0106,boundary_pair,BACKGROUND vs CLAIM,expanded_boundary_0106.md,The project note records why secure AI development and LLM application security appear together in the benchmark context.,BACKGROUND,CLAIM,secure AI development; LLM application security; source context,DESCRIPTIVE,sets_context,MAYBE,HARD,Intended as BACKGROUND rather than CLAIM for the BACKGROUND vs CLAIM boundary.
expanded_train_v2,EXPAND_S0107,boundary_pair,BACKGROUND vs CLAIM,expanded_boundary_0107.md,A policy context page introduces LLM application security vocabulary before any substantive extraction claim is made.,BACKGROUND,CLAIM,LLM application security; privacy; source context,DESCRIPTIVE,sets_context,MAYBE,EASY,Intended as BACKGROUND rather than CLAIM for the BACKGROUND vs CLAIM boundary.
expanded_train_v2,EXPAND_S0108,boundary_pair,BACKGROUND vs CLAIM,expanded_boundary_0108.md,A source packet frames AI safety evaluation alongside retrieval trace so reviewers can place the passage before judging its route label.,BACKGROUND,CLAIM,AI safety evaluation; retrieval trace; source context,DESCRIPTIVE,sets_context,MAYBE,MEDIUM,Intended as BACKGROUND rather than CLAIM for the BACKGROUND vs CLAIM boundary.
expanded_train_v2,EXPAND_S0110,boundary_pair,BACKGROUND vs CLAIM,expanded_boundary_0110.md,A policy context page introduces privacy vocabulary before any substantive extraction claim is made.,BACKGROUND,CLAIM,privacy; human review; source context,DESCRIPTIVE,sets_context,MAYBE,HARD,Intended as BACKGROUND rather than CLAIM for the BACKGROUND vs CLAIM boundary.
expanded_train_v2,EXPAND_S0111,boundary_pair,BACKGROUND vs CLAIM,expanded_boundary_0111.md,A source packet frames consent boundary alongside incident response so reviewers can place the passage before judging its route label.,BACKGROUND,CLAIM,consent boundary; incident response; source context,DESCRIPTIVE,sets_context,MAYBE,HARD,Intended as BACKGROUND rather than CLAIM for the BACKGROUND vs CLAIM boundary.
expanded_train_v2,EXPAND_S0112,boundary_pair,BACKGROUND vs CLAIM,expanded_boundary_0112.md,The project note records why permission boundary and answer support appear together in the benchmark context.,BACKGROUND,CLAIM,permission boundary; answer support; source context,DESCRIPTIVE,sets_context,MAYBE,EASY,Intended as BACKGROUND rather than CLAIM for the BACKGROUND vs CLAIM boundary.
expanded_train_v2,EXPAND_S0113,boundary_pair,BACKGROUND vs CLAIM,expanded_boundary_0113.md,A policy context page introduces retrieval trace vocabulary before any substantive extraction claim is made.,BACKGROUND,CLAIM,retrieval trace; risk management; source context,DESCRIPTIVE,sets_context,MAYBE,MEDIUM,Intended as BACKGROUND rather than CLAIM for the BACKGROUND vs CLAIM boundary.
expanded_train_v2,EXPAND_S0116,boundary_pair,BACKGROUND vs CLAIM,expanded_boundary_0116.md,A policy context page introduces route extraction vocabulary before any substantive extraction claim is made.,BACKGROUND,CLAIM,route extraction; privacy; source context,DESCRIPTIVE,sets_context,MAYBE,HARD,Intended as BACKGROUND rather than CLAIM for the BACKGROUND vs CLAIM boundary.
expanded_train_v2,EXPAND_S0117,boundary_pair,BACKGROUND vs CLAIM,expanded_boundary_0117.md,A source packet frames benchmark alongside retrieval trace so reviewers can place the passage before judging its route label.,BACKGROUND,CLAIM,benchmark; retrieval trace; source context,DESCRIPTIVE,sets_context,MAYBE,EASY,Intended as BACKGROUND rather than CLAIM for the BACKGROUND vs CLAIM boundary.
