segment_id,dataset_family,boundary_pair,title,text,gold_role,contrast_role,gold_entities,gold_operative_status,gold_relation,gold_answer_relevant,difficulty,notes
EXPAND_S0027,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0027.md,AI safety evaluation names the boundary where retrieval trace becomes part of the route record.,DEFINE,CLAIM,AI safety evaluation; retrieval trace,DESCRIPTIVE,defines,YES,EASY,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0028,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0028.md,"In this benchmark, model release governance denotes the label used for passages that carry route extraction.",DEFINE,CLAIM,model release governance; route extraction,DESCRIPTIVE,defines,YES,MEDIUM,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0029,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0029.md,The phrase privacy marks the identity of the route feature connected to human review.,DEFINE,CLAIM,privacy; human review,DESCRIPTIVE,defines,YES,MEDIUM,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0030,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0030.md,consent boundary names the boundary where incident response becomes part of the route record.,DEFINE,CLAIM,consent boundary; incident response,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0031,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0031.md,"In this benchmark, permission boundary denotes the label used for passages that carry answer support.",DEFINE,CLAIM,permission boundary; answer support,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0032,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0032.md,The phrase retrieval trace marks the identity of the route feature connected to risk management.,DEFINE,CLAIM,retrieval trace; risk management,DESCRIPTIVE,defines,YES,EASY,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0033,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0033.md,route provenance names the boundary where gold labels becomes part of the route record.,DEFINE,CLAIM,route provenance; gold labels,DESCRIPTIVE,defines,YES,MEDIUM,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0034,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0034.md,"In this benchmark, RouteMap denotes the label used for passages that carry LLM application security.",DEFINE,CLAIM,RouteMap; LLM application security,DESCRIPTIVE,defines,YES,MEDIUM,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0035,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0035.md,The phrase route extraction marks the identity of the route feature connected to privacy.,DEFINE,CLAIM,route extraction; privacy,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0036,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0036.md,benchmark names the boundary where retrieval trace becomes part of the route record.,DEFINE,CLAIM,benchmark; retrieval trace,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0037,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0037.md,"In this benchmark, evaluation denotes the label used for passages that carry route extraction.",DEFINE,CLAIM,evaluation; route extraction,DESCRIPTIVE,defines,YES,EASY,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0038,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0038.md,The phrase human review marks the identity of the route feature connected to RouteMap.,DEFINE,CLAIM,human review,DESCRIPTIVE,defines,YES,MEDIUM,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0039,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0039.md,evidence selection names the boundary where incident response becomes part of the route record.,DEFINE,CLAIM,evidence selection; incident response,DESCRIPTIVE,defines,YES,MEDIUM,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0040,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0040.md,"In this benchmark, tool-use security denotes the label used for passages that carry answer support.",DEFINE,CLAIM,tool-use security; answer support,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0041,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0041.md,The phrase incident response marks the identity of the route feature connected to risk management.,DEFINE,CLAIM,incident response; risk management,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0042,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0042.md,agent memory names the boundary where gold labels becomes part of the route record.,DEFINE,CLAIM,agent memory; gold labels,DESCRIPTIVE,defines,YES,EASY,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0043,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0043.md,"In this benchmark, audit trail denotes the label used for passages that carry LLM application security.",DEFINE,CLAIM,audit trail; LLM application security,DESCRIPTIVE,defines,YES,MEDIUM,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0044,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0044.md,The phrase answer support marks the identity of the route feature connected to privacy.,DEFINE,CLAIM,answer support; privacy,DESCRIPTIVE,defines,YES,MEDIUM,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0045,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0045.md,policy context names the boundary where retrieval trace becomes part of the route record.,DEFINE,CLAIM,policy context; retrieval trace,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0046,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0046.md,"In this benchmark, controls denotes the label used for passages that carry route extraction.",DEFINE,CLAIM,controls; route extraction,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0047,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0047.md,The phrase risk management marks the identity of the route feature connected to human review.,DEFINE,CLAIM,risk management; human review,DESCRIPTIVE,defines,YES,EASY,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0048,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0048.md,source context names the boundary where incident response becomes part of the route record.,DEFINE,CLAIM,source context; incident response,DESCRIPTIVE,defines,YES,MEDIUM,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0049,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0049.md,"In this benchmark, mismatch review denotes the label used for passages that carry answer support.",DEFINE,CLAIM,mismatch review; answer support,DESCRIPTIVE,defines,YES,MEDIUM,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0050,boundary_pair,CLAIM vs DEFINE,expanded_boundary_0050.md,The phrase gold labels marks the identity of the route feature connected to risk management.,DEFINE,CLAIM,gold labels; risk management,DESCRIPTIVE,defines,YES,HARD,Intended as DEFINE rather than CLAIM for the CLAIM vs DEFINE boundary.
EXPAND_S0051,boundary_pair,RESULT vs CLAIM,expanded_boundary_0051.md,The evaluation run recovered RouteMap segment but missed gold labels in several hard boundary rows.,RESULT,CLAIM,RouteMap segment; gold labels; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0052,boundary_pair,RESULT vs CLAIM,expanded_boundary_0052.md,The mismatch review shows secure AI development improved after adding labels while LLM application security remained unstable.,RESULT,CLAIM,secure AI development; LLM application security; evaluation,DESCRIPTIVE,reports_usefulness,YES,EASY,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0053,boundary_pair,RESULT vs CLAIM,expanded_boundary_0053.md,The benchmark output reports that LLM application security was selected more consistently than privacy.,RESULT,CLAIM,LLM application security; privacy; evaluation,DESCRIPTIVE,reports_usefulness,YES,MEDIUM,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0054,boundary_pair,RESULT vs CLAIM,expanded_boundary_0054.md,The evaluation run recovered AI safety evaluation but missed retrieval trace in several hard boundary rows.,RESULT,CLAIM,AI safety evaluation; retrieval trace; evaluation,DESCRIPTIVE,reports_usefulness,YES,MEDIUM,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0055,boundary_pair,RESULT vs CLAIM,expanded_boundary_0055.md,The mismatch review shows model release governance improved after adding labels while route extraction remained unstable.,RESULT,CLAIM,model release governance; route extraction; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0056,boundary_pair,RESULT vs CLAIM,expanded_boundary_0056.md,The benchmark output reports that privacy was selected more consistently than human review.,RESULT,CLAIM,privacy; human review; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0057,boundary_pair,RESULT vs CLAIM,expanded_boundary_0057.md,The evaluation run recovered consent boundary but missed incident response in several hard boundary rows.,RESULT,CLAIM,consent boundary; incident response; evaluation,DESCRIPTIVE,reports_usefulness,YES,EASY,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0058,boundary_pair,RESULT vs CLAIM,expanded_boundary_0058.md,The mismatch review shows permission boundary improved after adding labels while answer support remained unstable.,RESULT,CLAIM,permission boundary; answer support; evaluation,DESCRIPTIVE,reports_usefulness,YES,MEDIUM,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0059,boundary_pair,RESULT vs CLAIM,expanded_boundary_0059.md,The benchmark output reports that retrieval trace was selected more consistently than risk management.,RESULT,CLAIM,retrieval trace; risk management; evaluation,DESCRIPTIVE,reports_usefulness,YES,MEDIUM,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0060,boundary_pair,RESULT vs CLAIM,expanded_boundary_0060.md,The evaluation run recovered route provenance but missed gold labels in several hard boundary rows.,RESULT,CLAIM,route provenance; gold labels; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0061,boundary_pair,RESULT vs CLAIM,expanded_boundary_0061.md,The mismatch review shows RouteMap improved after adding labels while LLM application security remained unstable.,RESULT,CLAIM,RouteMap; LLM application security; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0062,boundary_pair,RESULT vs CLAIM,expanded_boundary_0062.md,The benchmark output reports that route extraction was selected more consistently than privacy.,RESULT,CLAIM,route extraction; privacy; evaluation,DESCRIPTIVE,reports_usefulness,YES,EASY,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0063,boundary_pair,RESULT vs CLAIM,expanded_boundary_0063.md,The evaluation run recovered benchmark but missed retrieval trace in several hard boundary rows.,RESULT,CLAIM,benchmark; retrieval trace; evaluation,DESCRIPTIVE,reports_usefulness,YES,MEDIUM,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0064,boundary_pair,RESULT vs CLAIM,expanded_boundary_0064.md,The mismatch review shows evaluation improved after adding labels while route extraction remained unstable.,RESULT,CLAIM,evaluation; route extraction,DESCRIPTIVE,reports_usefulness,YES,MEDIUM,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0065,boundary_pair,RESULT vs CLAIM,expanded_boundary_0065.md,The benchmark output reports that human review was selected more consistently than evaluation.,RESULT,CLAIM,human review; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0066,boundary_pair,RESULT vs CLAIM,expanded_boundary_0066.md,The evaluation run recovered evidence selection but missed incident response in several hard boundary rows.,RESULT,CLAIM,evidence selection; incident response; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0067,boundary_pair,RESULT vs CLAIM,expanded_boundary_0067.md,The mismatch review shows tool-use security improved after adding labels while answer support remained unstable.,RESULT,CLAIM,tool-use security; answer support; evaluation,DESCRIPTIVE,reports_usefulness,YES,EASY,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0068,boundary_pair,RESULT vs CLAIM,expanded_boundary_0068.md,The benchmark output reports that incident response was selected more consistently than risk management.,RESULT,CLAIM,incident response; risk management; evaluation,DESCRIPTIVE,reports_usefulness,YES,MEDIUM,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0069,boundary_pair,RESULT vs CLAIM,expanded_boundary_0069.md,The evaluation run recovered agent memory but missed gold labels in several hard boundary rows.,RESULT,CLAIM,agent memory; gold labels; evaluation,DESCRIPTIVE,reports_usefulness,YES,MEDIUM,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0070,boundary_pair,RESULT vs CLAIM,expanded_boundary_0070.md,The mismatch review shows audit trail improved after adding labels while LLM application security remained unstable.,RESULT,CLAIM,audit trail; LLM application security; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0071,boundary_pair,RESULT vs CLAIM,expanded_boundary_0071.md,The benchmark output reports that answer support was selected more consistently than privacy.,RESULT,CLAIM,answer support; privacy; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0072,boundary_pair,RESULT vs CLAIM,expanded_boundary_0072.md,The evaluation run recovered policy context but missed retrieval trace in several hard boundary rows.,RESULT,CLAIM,policy context; retrieval trace; evaluation,DESCRIPTIVE,reports_usefulness,YES,EASY,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0073,boundary_pair,RESULT vs CLAIM,expanded_boundary_0073.md,The mismatch review shows controls improved after adding labels while route extraction remained unstable.,RESULT,CLAIM,controls; route extraction; evaluation,DESCRIPTIVE,reports_usefulness,YES,MEDIUM,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0074,boundary_pair,RESULT vs CLAIM,expanded_boundary_0074.md,The benchmark output reports that risk management was selected more consistently than human review.,RESULT,CLAIM,risk management; human review; evaluation,DESCRIPTIVE,reports_usefulness,YES,MEDIUM,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0075,boundary_pair,RESULT vs CLAIM,expanded_boundary_0075.md,The evaluation run recovered source context but missed incident response in several hard boundary rows.,RESULT,CLAIM,source context; incident response; evaluation,DESCRIPTIVE,reports_usefulness,YES,HARD,Intended as RESULT rather than CLAIM for the RESULT vs CLAIM boundary.
EXPAND_S0076,boundary_pair,RESULT vs CLAIM,expanded_boundary_0076.md,A route-aware system loses answer support when mismatch review is separated from answer support.,CLAIM,RESULT,mismatch review; answer support; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
EXPAND_S0077,boundary_pair,RESULT vs CLAIM,expanded_boundary_0077.md,gold labels should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,RESULT,gold labels; risk management,ACTIVE,asserts,YES,EASY,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
EXPAND_S0078,boundary_pair,RESULT vs CLAIM,expanded_boundary_0078.md,RouteMap segment improves RouteMap reliability only when gold labels remains visible to downstream reviewers.,CLAIM,RESULT,RouteMap segment; gold labels; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
EXPAND_S0079,boundary_pair,RESULT vs CLAIM,expanded_boundary_0079.md,A route-aware system loses answer support when secure AI development is separated from LLM application security.,CLAIM,RESULT,secure AI development; LLM application security; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
EXPAND_S0080,boundary_pair,RESULT vs CLAIM,expanded_boundary_0080.md,LLM application security should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,RESULT,LLM application security; privacy; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
EXPAND_S0081,boundary_pair,RESULT vs CLAIM,expanded_boundary_0081.md,AI safety evaluation improves RouteMap reliability only when retrieval trace remains visible to downstream reviewers.,CLAIM,RESULT,AI safety evaluation; retrieval trace; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
EXPAND_S0082,boundary_pair,RESULT vs CLAIM,expanded_boundary_0082.md,A route-aware system loses answer support when model release governance is separated from route extraction.,CLAIM,RESULT,model release governance; route extraction; risk management,ACTIVE,asserts,YES,EASY,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
EXPAND_S0083,boundary_pair,RESULT vs CLAIM,expanded_boundary_0083.md,privacy should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,RESULT,privacy; human review; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
EXPAND_S0084,boundary_pair,RESULT vs CLAIM,expanded_boundary_0084.md,consent boundary improves RouteMap reliability only when incident response remains visible to downstream reviewers.,CLAIM,RESULT,consent boundary; incident response; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
EXPAND_S0085,boundary_pair,RESULT vs CLAIM,expanded_boundary_0085.md,A route-aware system loses answer support when permission boundary is separated from answer support.,CLAIM,RESULT,permission boundary; answer support; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
EXPAND_S0086,boundary_pair,RESULT vs CLAIM,expanded_boundary_0086.md,retrieval trace should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,RESULT,retrieval trace; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
EXPAND_S0087,boundary_pair,RESULT vs CLAIM,expanded_boundary_0087.md,route provenance improves RouteMap reliability only when gold labels remains visible to downstream reviewers.,CLAIM,RESULT,route provenance; gold labels; risk management,ACTIVE,asserts,YES,EASY,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
EXPAND_S0088,boundary_pair,RESULT vs CLAIM,expanded_boundary_0088.md,A route-aware system loses answer support when RouteMap is separated from LLM application security.,CLAIM,RESULT,RouteMap; LLM application security; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
EXPAND_S0089,boundary_pair,RESULT vs CLAIM,expanded_boundary_0089.md,route extraction should be treated as evidence for route quality rather than as decorative metadata.,CLAIM,RESULT,route extraction; privacy; risk management,ACTIVE,asserts,YES,MEDIUM,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
EXPAND_S0090,boundary_pair,RESULT vs CLAIM,expanded_boundary_0090.md,benchmark improves RouteMap reliability only when retrieval trace remains visible to downstream reviewers.,CLAIM,RESULT,benchmark; retrieval trace; risk management,ACTIVE,asserts,YES,HARD,Intended as CLAIM rather than RESULT for the RESULT vs CLAIM boundary.
