segment_id,title,text,gold_role,pred_rule,pred_nb,pred_hybrid,agreement_pattern,needs_review,likely_ambiguity_type,suggested_review_question,notes,adjudicated_role,adjudication_status,adjudication_reason,rubric_issue,review_priority
HELDOUT2_S0029,fresh_control_terms.md,"Control surface labels the places where safeguards can change model, tool, or data behaviour.",DEFINE,CLAIM,CLAIM,CLAIM,all_wrong_same,YES,claim_vs_define,"Is this sentence defining a term, or asserting a thesis about it?",Definition,DEFINE,ACCEPT_GOLD,Labels identifies what a control surface means.,CLAIM_DEFINE_BOUNDARY,P1
HELDOUT2_S0030,fresh_review_terms.md,Human-review checkpoint names a decision point where automated evidence must be inspected before action.,DEFINE,CLAIM,METHOD,CLAIM,all_wrong_different,YES,claim_vs_define,"Is this sentence defining a term, or asserting a thesis about it?",Definition,DEFINE,ACCEPT_GOLD,Names a decision point and gives term identity.,CLAIM_DEFINE_BOUNDARY,P1
HELDOUT2_S0080,fresh_answer_examples.md,A final answer that cites policy context but omits the controlling route segment shows a support failure.,EXAMPLE,CLAIM,DEFINE,CLAIM,all_wrong_different,YES,claim_vs_define,"Is this sentence defining a term, or asserting a thesis about it?",Concrete scenario,EXAMPLE,ACCEPT_GOLD,Final-answer case is a concrete support-failure scenario.,MULTIWAY_AMBIGUOUS,P1
HELDOUT2_S0039,fresh_audit_methods.md,Store audit trail entries beside answer support so later reviewers can reproduce the decision.,METHOD,CLAIM,DEFINE,CLAIM,all_wrong_different,YES,claim_vs_define,"Is this sentence defining a term, or asserting a thesis about it?",Procedure,METHOD,ACCEPT_GOLD,Imperative store describes a reusable audit procedure.,NONE,P1
HELDOUT2_S0013,fresh_consent_claims.md,Consent boundaries lose force when downstream permission checks are invisible to the answer composer.,CLAIM,METHOD,LIMITATION,METHOD,all_wrong_different,YES,claim_vs_method,"Is this recommending an action, or asserting a broader thesis?",Thesis,CLAIM,ACCEPT_GOLD,Sentence asserts a thesis about consent boundaries losing force.,MULTIWAY_AMBIGUOUS,P1
HELDOUT2_S0057,fresh_review_limits.md,Human review is constrained when audit trails omit rejected evidence and reviewer rationale.,LIMITATION,CLAIM,METHOD,METHOD,all_wrong_different,YES,claim_vs_method,"Is this recommending an action, or asserting a broader thesis?",Caveat,LIMITATION,ACCEPT_GOLD,Constrained signals a caveat about human review evidence.,NONE,P1
HELDOUT2_S0034,fresh_memory_methods.md,"Rank memory candidates by route dependency, source age, and whether the task needs hidden state.",METHOD,CLAIM,CLAIM,CLAIM,all_wrong_same,YES,claim_vs_method,"Is this recommending an action, or asserting a broader thesis?",Procedure,METHOD,ACCEPT_GOLD,Rank memory candidates describes a reusable procedure.,NONE,P1
HELDOUT2_S0067,fresh_review_steps.md,Evaluate whether human review changes final answers when rejected evidence is shown.,NEXT_STEP,CLAIM,METHOD,METHOD,all_wrong_different,YES,claim_vs_method,"Is this recommending an action, or asserting a broader thesis?",Future work,NEXT_STEP,NEEDS_SECOND_REVIEW,"Could read as current instruction, but row proposes a future evaluation question.",NEXT_STEP_METHOD_BOUNDARY,P1
HELDOUT2_S0056,fresh_tool_limits.md,Permission checks are not enough when the tool output can leak private data through a later route.,LIMITATION,METHOD,METHOD,METHOD,all_wrong_same,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Caveat,LIMITATION,ACCEPT_GOLD,Not enough states insufficiency of permission checks.,NONE,P1
HELDOUT2_S0065,fresh_memory_steps.md,Run an agent-memory benchmark where old context competes with newer but less relevant evidence.,NEXT_STEP,CLAIM,CLAIM,CLAIM,all_wrong_same,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Future work,NEXT_STEP,ACCEPT_GOLD,Run a benchmark proposes a future evaluation action.,NEXT_STEP_METHOD_BOUNDARY,P1
HELDOUT2_S0072,fresh_release_examples.md,Suppose a release board blocks launch because the audit trail lacks reviewer rationale.,EXAMPLE,CLAIM,METHOD,CLAIM,all_wrong_different,YES,method_vs_example,"Is this a procedure to perform, or a concrete example of a procedure?",Concrete scenario,EXAMPLE,ACCEPT_GOLD,Suppose introduces a concrete release-board scenario.,METHOD_EXAMPLE_BOUNDARY,P1
HELDOUT2_S0076,fresh_tool_examples.md,A plugin that reads calendars and sends email illustrates why tool-use security needs separate route checks.,EXAMPLE,CLAIM,METHOD,CLAIM,all_wrong_different,YES,method_vs_example,"Is this a procedure to perform, or a concrete example of a procedure?",Concrete scenario,EXAMPLE,ACCEPT_GOLD,Plugin case illustrates a concrete tool-use security scenario.,METHOD_EXAMPLE_BOUNDARY,P1
HELDOUT2_S0032,fresh_release_methods.md,"Before launch, collect release evidence, unresolved limitations, and reviewer sign-off in one packet.",METHOD,CLAIM,EXAMPLE,CLAIM,all_wrong_different,YES,method_vs_example,"Is this a procedure to perform, or a concrete example of a procedure?",Procedure,METHOD,ACCEPT_GOLD,Before launch collect describes an approval procedure.,METHOD_EXAMPLE_BOUNDARY,P1
HELDOUT2_S0035,fresh_tool_methods.md,"Log tool calls with permission scope, selected route segment, and the reason the action was allowed.",METHOD,CLAIM,EXAMPLE,CLAIM,all_wrong_different,YES,method_vs_example,"Is this a procedure to perform, or a concrete example of a procedure?",Procedure,METHOD,ACCEPT_GOLD,Log tool calls describes a reusable security procedure.,METHOD_EXAMPLE_BOUNDARY,P1
HELDOUT2_S0036,fresh_incident_methods.md,"During an incident review, connect symptoms to retrieval traces and then to the control that failed.",METHOD,CLAIM,EXAMPLE,CLAIM,all_wrong_different,YES,method_vs_example,"Is this a procedure to perform, or a concrete example of a procedure?",Procedure,METHOD,ACCEPT_GOLD,Connect symptoms to traces and controls describes incident-review procedure.,METHOD_EXAMPLE_BOUNDARY,P1
HELDOUT2_S0070,fresh_support_steps.md,Create answer-support cases where the cited passage is relevant but the relation path is wrong.,NEXT_STEP,LIMITATION,DEFINE,LIMITATION,all_wrong_different,YES,multiway_ambiguous,Which single role best captures the sentence's main job in the route?,Future work,NEXT_STEP,ACCEPT_GOLD,Create cases proposes future answer-support test data.,NEXT_STEP_METHOD_BOUNDARY,P1
HELDOUT2_S0042,fresh_release_results.md,Release reviewers resolved blocked decisions faster when caveats appeared beside the evidence packet.,RESULT,CLAIM,CLAIM,CLAIM,all_wrong_same,YES,result_vs_claim,"Is this reporting an evaluation outcome, or making a general claim?",Observed outcome,RESULT,ACCEPT_GOLD,Resolved faster reports an observed review outcome.,RESULT_CLAIM_BOUNDARY,P1
HELDOUT2_S0044,fresh_memory_results.md,Memory routing returned older but more relevant context for tasks with hidden state dependencies.,RESULT,CLAIM,CLAIM,CLAIM,all_wrong_same,YES,result_vs_claim,"Is this reporting an evaluation outcome, or making a general claim?",Observed outcome,RESULT,ACCEPT_GOLD,Returned older but relevant context reports observed memory-routing behaviour.,RESULT_CLAIM_BOUNDARY,P1
HELDOUT2_S0047,fresh_human_review_results.md,Human reviewers agreed more often when the retrieval trace displayed rejected evidence as well as accepted evidence.,RESULT,CLAIM,METHOD,METHOD,all_wrong_different,YES,result_vs_claim,"Is this reporting an evaluation outcome, or making a general claim?",Observed outcome,RESULT,ACCEPT_GOLD,Human reviewers agreed more often reports an observed review outcome.,RESULT_CLAIM_BOUNDARY,P1
HELDOUT2_S0049,fresh_selection_results.md,Evidence selection improved after source context was grouped by route segment instead of document order.,RESULT,CLAIM,BACKGROUND,CLAIM,all_wrong_different,YES,result_vs_claim,"Is this reporting an evaluation outcome, or making a general claim?",Observed outcome,RESULT,ACCEPT_GOLD,Improved after grouping reports an observed evidence-selection outcome.,RESULT_CLAIM_BOUNDARY,P1
HELDOUT2_S0043,fresh_privacy_results.md,The consent-boundary cases produced fewer false positives once permission checks were separated from general privacy text.,RESULT,METHOD,NEXT_STEP,METHOD,all_wrong_different,YES,result_vs_method,"Is this reporting what happened, or describing what to do?",Observed outcome,RESULT,ACCEPT_GOLD,Produced fewer false positives reports an observed test outcome.,RESULT_CLAIM_BOUNDARY,P1
HELDOUT2_S0021,fresh_route_terms.md,"Route provenance: the documented lineage connecting source context, selected evidence, and answer support.",DEFINE,CLAIM,DEFINE,CLAIM,nb_only_correct,YES,claim_vs_define,"Is this sentence defining a term, or asserting a thesis about it?",Definition,,,,,P2
HELDOUT2_S0022,fresh_trace_terms.md,Retrieval trace names the visible sequence from question intent through evidence selection to final response.,DEFINE,CLAIM,DEFINE,CLAIM,nb_only_correct,YES,claim_vs_define,"Is this sentence defining a term, or asserting a thesis about it?",Definition,,,,,P2
HELDOUT2_S0023,fresh_consent_terms.md,Consent boundary covers the point at which a permission grant stops applying to a new use.,DEFINE,CLAIM,DEFINE,CLAIM,nb_only_correct,YES,claim_vs_define,"Is this sentence defining a term, or asserting a thesis about it?",Definition,,,,,P2
HELDOUT2_S0025,fresh_memory_terms.md,Agent memory routing describes choosing stored context by dependency rather than by freshness alone.,DEFINE,CLAIM,DEFINE,CLAIM,nb_only_correct,YES,claim_vs_define,"Is this sentence defining a term, or asserting a thesis about it?",Definition,,,,,P2
HELDOUT2_S0018,fresh_human_review_claims.md,Human review adds value only if reviewers can inspect the evidence selection path.,CLAIM,CLAIM,METHOD,METHOD,rule_only_correct,YES,claim_vs_method,"Is this recommending an action, or asserting a broader thesis?",Thesis,,,,,P2
HELDOUT2_S0038,fresh_human_review_methods.md,Route uncertain answers to human review when evidence selection conflicts with the final answer.,METHOD,CLAIM,METHOD,CLAIM,nb_only_correct,YES,claim_vs_method,"Is this recommending an action, or asserting a broader thesis?",Procedure,,,,,P2
HELDOUT2_S0073,fresh_chatbot_examples.md,"When a support chatbot requests a refund-tool call, the permission boundary may depend on account history.",EXAMPLE,CLAIM,EXAMPLE,CLAIM,nb_only_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Concrete scenario,,,,,P2
HELDOUT2_S0074,fresh_memory_examples.md,One coding task may need last week's migration note rather than the newest design comment.,EXAMPLE,CLAIM,EXAMPLE,CLAIM,nb_only_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Concrete scenario,,,,,P2
HELDOUT2_S0077,fresh_incident_examples.md,"During an incident, an operator might trace a harmful answer through retrieval logs and a stale memory entry.",EXAMPLE,CLAIM,EXAMPLE,CLAIM,nb_only_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Concrete scenario,,,,,P2
HELDOUT2_S0051,fresh_eval_limits.md,Future benchmark rounds may still overstate generalisation if they reuse the same policy vocabulary.,LIMITATION,NEXT_STEP,LIMITATION,NEXT_STEP,nb_only_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Caveat,,,,,P2
HELDOUT2_S0053,fresh_consent_limits.md,Consent records can be too stale to justify a fresh tool action even when the interface looks authorized.,LIMITATION,CLAIM,LIMITATION,CLAIM,nb_only_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Caveat,,,,,P2
HELDOUT2_S0060,fresh_support_limits.md,Answer support is fragile if relation labels are right but entity boundaries drift across passages.,LIMITATION,CLAIM,LIMITATION,CLAIM,nb_only_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Caveat,,,,,P2
HELDOUT2_S0063,fresh_privacy_steps.md,Add consent-boundary examples that mix permission checks with unrelated privacy background.,NEXT_STEP,METHOD,NEXT_STEP,METHOD,nb_only_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Future work,,,,,P2
HELDOUT2_S0068,fresh_benchmark_steps.md,"Build noisy benchmark rows that contain definitions, caveats, and examples in a single paragraph.",NEXT_STEP,CLAIM,NEXT_STEP,CLAIM,nb_only_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Future work,,,,,P2
HELDOUT2_S0041,fresh_trace_results.md,The evaluation run recovered more answer-support passages after route provenance was kept with the snippets.,RESULT,METHOD,RESULT,METHOD,nb_only_correct,YES,result_vs_method,"Is this reporting what happened, or describing what to do?",Observed outcome,,,,,P2
HELDOUT2_S0046,fresh_benchmark_results.md,A mixed benchmark split exposed brittle behaviour on examples that looked like procedures.,RESULT,METHOD,RESULT,METHOD,nb_only_correct,YES,result_vs_method,"Is this reporting what happened, or describing what to do?",Observed outcome,,,,,P2
HELDOUT2_S0005,fresh_memory_brief_notes.md,"An agent memory briefing mentions risk, benchmark drift, and long-context failures while setting document scope.",BACKGROUND,CLAIM,BACKGROUND,BACKGROUND,nb_and_hybrid_correct,YES,background_vs_claim,"Is this source context, or a substantive claim?",Briefing context,,,,,P3
HELDOUT2_S0007,fresh_benchmark_package_notes.md,"A benchmark design appendix lists source context, gold labels, and mismatch review artifacts for auditors.",BACKGROUND,CLAIM,BACKGROUND,BACKGROUND,nb_and_hybrid_correct,YES,background_vs_claim,"Is this source context, or a substantive claim?",Dataset context,,,,,P3
HELDOUT2_S0010,fresh_incident_response_notes.md,An incident response playbook provides background on escalation records without recommending a new classifier.,BACKGROUND,BACKGROUND,LIMITATION,BACKGROUND,rule_and_hybrid_correct,YES,background_vs_limitation,"Is this a caveat/constraint, or merely background context?",Playbook context,,,,,P3
HELDOUT2_S0014,fresh_trace_claims.md,"A retrieval trace matters because answer support depends on the path, not merely on a cited passage.",CLAIM,CLAIM,DEFINE,CLAIM,rule_and_hybrid_correct,YES,claim_vs_define,"Is this sentence defining a term, or asserting a thesis about it?",Thesis,,,,,P3
HELDOUT2_S0015,fresh_memory_claims.md,Agent memory can amplify stale assumptions when route provenance is absent from recall.,CLAIM,CLAIM,DEFINE,CLAIM,rule_and_hybrid_correct,YES,claim_vs_define,"Is this sentence defining a term, or asserting a thesis about it?",Thesis,,,,,P3
HELDOUT2_S0016,fresh_controls_claims.md,Controls that never travel with retrieved evidence rarely change practical review behaviour.,CLAIM,CLAIM,METHOD,CLAIM,rule_and_hybrid_correct,YES,claim_vs_method,"Is this recommending an action, or asserting a broader thesis?",Thesis,,,,,P3
HELDOUT2_S0031,fresh_eval_methods.md,"Compare each generated answer against its retrieval trace, then flag unsupported assertions for review.",METHOD,CLAIM,METHOD,METHOD,nb_and_hybrid_correct,YES,claim_vs_method,"Is this recommending an action, or asserting a broader thesis?",Procedure,,,,,P3
HELDOUT2_S0040,fresh_annotation_methods.md,"Label the passage role first, record relation evidence second, and adjudicate entity boundaries last.",METHOD,CLAIM,METHOD,METHOD,nb_and_hybrid_correct,YES,claim_vs_method,"Is this recommending an action, or asserting a broader thesis?",Procedure,,,,,P3
HELDOUT2_S0004,fresh_trace_manual_notes.md,A documentation page introduces retrieval trace diagrams for teams that have never used route labels.,BACKGROUND,BACKGROUND,RESULT,BACKGROUND,rule_and_hybrid_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Document context,,,,,P3
HELDOUT2_S0071,fresh_hospital_examples.md,"In a hospital triage review, consent evidence and safety evaluation notes can point to different routes.",EXAMPLE,CLAIM,EXAMPLE,EXAMPLE,nb_and_hybrid_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Concrete scenario,,,,,P3
HELDOUT2_S0075,fresh_trace_examples.md,"For instance, a cited paragraph can mention privacy while failing to support the answer's consent claim.",EXAMPLE,EXAMPLE,NEXT_STEP,EXAMPLE,rule_and_hybrid_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Concrete scenario,,,,,P3
HELDOUT2_S0078,fresh_benchmark_examples.md,A synthetic benchmark row could look procedural while actually describing a concrete reviewer scenario.,EXAMPLE,CLAIM,EXAMPLE,EXAMPLE,nb_and_hybrid_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Concrete scenario,,,,,P3
HELDOUT2_S0054,fresh_trace_limits.md,Retrieval traces may miss reasoning steps that occur after evidence enters the prompt.,LIMITATION,LIMITATION,EXAMPLE,LIMITATION,rule_and_hybrid_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Caveat,,,,,P3
HELDOUT2_S0055,fresh_memory_limits.md,Agent memory can preserve obsolete source context unless review processes remove or downgrade it.,LIMITATION,LIMITATION,CLAIM,LIMITATION,rule_and_hybrid_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Caveat,,,,,P3
HELDOUT2_S0033,fresh_privacy_methods.md,Map consent records to permission checks before selecting evidence for a privacy-sensitive answer.,METHOD,METHOD,DEFINE,METHOD,rule_and_hybrid_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Procedure,,,,,P3
HELDOUT2_S0061,fresh_eval_steps.md,"Next, assemble a second fresh split from incident reports and release-board minutes.",NEXT_STEP,CLAIM,NEXT_STEP,NEXT_STEP,nb_and_hybrid_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Future work,,,,,P3
HELDOUT2_S0062,fresh_release_steps.md,Future evaluation should compare model release governance rows with ordinary project-management notes.,NEXT_STEP,NEXT_STEP,BACKGROUND,NEXT_STEP,rule_and_hybrid_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Future work,,,,,P3
HELDOUT2_S0066,fresh_tool_steps.md,"A follow-up tool-use security set should include plugins, command execution, and delegated agents.",NEXT_STEP,NEXT_STEP,METHOD,NEXT_STEP,rule_and_hybrid_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Future work,,,,,P3
HELDOUT2_S0048,fresh_audit_results.md,Audit trail inspection showed that answer support was present in seven of nine release decisions.,RESULT,RESULT,CLAIM,RESULT,rule_and_hybrid_correct,YES,result_vs_claim,"Is this reporting an evaluation outcome, or making a general claim?",Observed outcome,,,,,P3
HELDOUT2_S0050,fresh_error_results.md,The mismatch review revealed that policy-context rows were often confused with broad claims.,RESULT,CLAIM,RESULT,RESULT,nb_and_hybrid_correct,YES,result_vs_claim,"Is this reporting an evaluation outcome, or making a general claim?",Observed outcome,,,,,P3
HELDOUT2_S0037,fresh_benchmark_methods.md,"Sample benchmark rows from policy context, operational procedures, examples, and caveats in equal measure.",METHOD,METHOD,RESULT,METHOD,rule_and_hybrid_correct,YES,result_vs_method,"Is this reporting what happened, or describing what to do?",Procedure,,,,,P3
HELDOUT2_S0045,fresh_tool_results.md,Tool-use security review found that missing permission logs explained most rejected actions.,RESULT,RESULT,METHOD,RESULT,rule_and_hybrid_correct,YES,result_vs_method,"Is this reporting what happened, or describing what to do?",Observed outcome,,,,,P3
HELDOUT2_S0011,fresh_eval_claims.md,AI safety evaluation becomes more credible when disagreement remains traceable instead of hidden behind an average.,CLAIM,CLAIM,CLAIM,CLAIM,all_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Thesis,,,,,P4
HELDOUT2_S0012,fresh_release_claims.md,"Model release governance should treat missing evidence as a decision risk, not as harmless paperwork.",CLAIM,CLAIM,CLAIM,CLAIM,all_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Thesis,,,,,P4
HELDOUT2_S0019,fresh_tool_claims.md,Tool-use security depends on permission boundaries being checked at the moment of action.,CLAIM,CLAIM,CLAIM,CLAIM,all_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Thesis,,,,,P4
HELDOUT2_S0026,fresh_segment_terms.md,A route segment label marks the job a passage performs inside a larger retrieval chain.,DEFINE,DEFINE,DEFINE,DEFINE,all_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Definition,,,,,P4
HELDOUT2_S0027,fresh_support_terms.md,Answer support refers to evidence that directly justifies a response rather than merely sharing keywords.,DEFINE,DEFINE,DEFINE,DEFINE,all_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Definition,,,,,P4
HELDOUT2_S0079,fresh_audit_examples.md,An auditor comparing two release packets may follow evidence selection differences before reading conclusions.,EXAMPLE,EXAMPLE,EXAMPLE,EXAMPLE,all_correct,YES,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Concrete scenario,,,,,P4
HELDOUT2_S0052,fresh_release_limits.md,A complete release packet does not prove that the deployed model will behave safely after integration.,LIMITATION,LIMITATION,LIMITATION,LIMITATION,all_correct,NO,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Caveat,,,,,P4
HELDOUT2_S0058,fresh_benchmark_limits.md,"A route benchmark remains incomplete without operational incidents, adversarial examples, and noisy documentation.",LIMITATION,LIMITATION,LIMITATION,LIMITATION,all_correct,NO,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Caveat,,,,,P4
HELDOUT2_S0059,fresh_policy_limits.md,Policy context can warn about risk without specifying the control step needed for a particular system.,LIMITATION,LIMITATION,LIMITATION,LIMITATION,all_correct,NO,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Caveat,,,,,P4
HELDOUT2_S0064,fresh_trace_steps.md,The next retrieval test should hide titles and require the extractor to infer route provenance from text alone.,NEXT_STEP,NEXT_STEP,NEXT_STEP,NEXT_STEP,all_correct,NO,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Future work,,,,,P4
HELDOUT2_S0069,fresh_audit_steps.md,The next audit-trail test should measure whether reviewers can reconstruct the release decision.,NEXT_STEP,NEXT_STEP,NEXT_STEP,NEXT_STEP,all_correct,NO,low_ambiguity,Do the label and predictions reflect the sentence's main route role?,Future work,,,,,P4
