segment_id,title,text,gold_role,pred_role,pred_role_boundary_augmented,gold_relation,pred_relation,pred_relation_boundary_augmented,gold_entities,pred_entities,entity_jaccard,gold_operative_status,pred_operative_status,gold_answer_relevant,pred_answer_relevant
HELDOUT2_S0013,fresh_consent_claims.md,Consent boundaries lose force when downstream permission checks are invisible to the answer composer.,CLAIM,METHOD,LIMITATION,asserts,recommends,limits,consent boundary; permission boundary; answer support,privacy; permission boundary,0.250000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0014,fresh_trace_claims.md,"A retrieval trace matters because answer support depends on the path, not merely on a cited passage.",CLAIM,CLAIM,CLAIM,asserts,asserts,asserts,retrieval trace; answer support; evidence selection,retrieval trace; answer support; retrieval; RouteMap segment,0.400000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0015,fresh_memory_claims.md,Agent memory can amplify stale assumptions when route provenance is absent from recall.,CLAIM,CLAIM,CLAIM,asserts,asserts,asserts,agent memory; route provenance; source context,route provenance; agent memory; evaluation,0.500000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0016,fresh_controls_claims.md,Controls that never travel with retrieved evidence rarely change practical review behaviour.,CLAIM,CLAIM,CLAIM,asserts,asserts,asserts,controls; evidence selection; human review,controls; retrieval,0.250000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0017,fresh_benchmark_claims.md,Benchmark design is weaker when easy source context outnumbers adversarial route segments.,CLAIM,LIMITATION,BACKGROUND,asserts,warns_about,sets_context,benchmark; source context; route segment,benchmark; source context; RouteMap segment,0.500000,ACTIVE,LIMITED,YES,YES
HELDOUT2_S0018,fresh_human_review_claims.md,Human review adds value only if reviewers can inspect the evidence selection path.,CLAIM,CLAIM,CLAIM,asserts,asserts,asserts,human review; evidence selection; retrieval trace,human review; retrieval,0.250000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0019,fresh_tool_claims.md,Tool-use security depends on permission boundaries being checked at the moment of action.,CLAIM,CLAIM,EXAMPLE,asserts,asserts,gives_example,tool-use security; permission boundary; controls,permission boundary,0.333333,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0020,fresh_audit_claims.md,An audit trail without answer support is evidence of activity rather than evidence of reliability.,CLAIM,LIMITATION,DEFINE,asserts,warns_about,defines,audit trail; answer support; evaluation,answer support; audit,0.250000,ACTIVE,LIMITED,YES,YES
HELDOUT2_S0021,fresh_route_terms.md,"Route provenance: the documented lineage connecting source context, selected evidence, and answer support.",DEFINE,CLAIM,DEFINE,defines,asserts,defines,route provenance; source context; evidence selection; answer support,answer support; source context; route provenance,0.750000,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0022,fresh_trace_terms.md,Retrieval trace names the visible sequence from question intent through evidence selection to final response.,DEFINE,CLAIM,CLAIM,defines,asserts,asserts,retrieval trace; evidence selection; answer support,retrieval trace; retrieval,0.250000,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0023,fresh_consent_terms.md,Consent boundary covers the point at which a permission grant stops applying to a new use.,DEFINE,CLAIM,DEFINE,defines,asserts,defines,consent boundary; permission boundary; privacy,privacy; permission boundary,0.666667,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0024,fresh_release_terms.md,Model release governance denotes the approval practice linking evaluation findings to launch decisions.,DEFINE,CLAIM,DEFINE,defines,asserts,defines,model release governance; evaluation; risk management,governance; evaluation,0.250000,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0025,fresh_memory_terms.md,Agent memory routing describes choosing stored context by dependency rather than by freshness alone.,DEFINE,CLAIM,DEFINE,defines,asserts,defines,agent memory; route extraction; source context,agent memory,0.333333,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0026,fresh_segment_terms.md,A route segment label marks the job a passage performs inside a larger retrieval chain.,DEFINE,DEFINE,METHOD,defines,defines,recommends,route segment; route extraction; RouteMap,retrieval; RouteMap segment,0.000000,DESCRIPTIVE,DESCRIPTIVE,YES,YES
HELDOUT2_S0027,fresh_support_terms.md,Answer support refers to evidence that directly justifies a response rather than merely sharing keywords.,DEFINE,DEFINE,DEFINE,defines,defines,defines,answer support; evidence selection; retrieval trace,answer support,0.333333,DESCRIPTIVE,DESCRIPTIVE,YES,YES
HELDOUT2_S0028,fresh_audit_terms.md,"Audit trail, in this setting, names records that let reviewers reconstruct a release or retrieval decision.",DEFINE,CLAIM,CLAIM,defines,asserts,asserts,audit trail; human review; model release governance,human review; retrieval; audit,0.200000,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0029,fresh_control_terms.md,"Control surface labels the places where safeguards can change model, tool, or data behaviour.",DEFINE,CLAIM,CLAIM,defines,asserts,asserts,controls; tool-use security; permission boundary,controls,0.333333,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0030,fresh_review_terms.md,Human-review checkpoint names a decision point where automated evidence must be inspected before action.,DEFINE,CLAIM,DEFINE,defines,asserts,defines,human review; evidence selection; controls,RouteMap segment,0.000000,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0031,fresh_eval_methods.md,"Compare each generated answer against its retrieval trace, then flag unsupported assertions for review.",METHOD,CLAIM,METHOD,recommends,asserts,recommends,answer support; retrieval trace; human review,retrieval trace; retrieval,0.250000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0032,fresh_release_methods.md,"Before launch, collect release evidence, unresolved limitations, and reviewer sign-off in one packet.",METHOD,CLAIM,EXAMPLE,recommends,asserts,gives_example,model release governance; evidence selection; human review,release evidence; human review,0.250000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0033,fresh_privacy_methods.md,Map consent records to permission checks before selecting evidence for a privacy-sensitive answer.,METHOD,METHOD,METHOD,maps_to,recommends,recommends,consent boundary; permission boundary; evidence selection,privacy; permission boundary,0.250000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0034,fresh_memory_methods.md,"Rank memory candidates by route dependency, source age, and whether the task needs hidden state.",METHOD,CLAIM,CLAIM,recommends,asserts,asserts,agent memory; route provenance; source context,RouteMap segment,0.000000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0035,fresh_tool_methods.md,"Log tool calls with permission scope, selected route segment, and the reason the action was allowed.",METHOD,CLAIM,METHOD,requires,asserts,recommends,tool-use security; permission boundary; route segment,permission boundary; RouteMap segment,0.250000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0036,fresh_incident_methods.md,"During an incident review, connect symptoms to retrieval traces and then to the control that failed.",METHOD,CLAIM,EXAMPLE,maps_to,asserts,gives_example,incident response; retrieval trace; controls,controls; retrieval,0.250000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0037,fresh_benchmark_methods.md,"Sample benchmark rows from policy context, operational procedures, examples, and caveats in equal measure.",METHOD,METHOD,RESULT,recommends,recommends,reports_usefulness,benchmark; policy context; route segment,benchmark; source context,0.250000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0038,fresh_human_review_methods.md,Route uncertain answers to human review when evidence selection conflicts with the final answer.,METHOD,CLAIM,CLAIM,recommends,asserts,asserts,human review; evidence selection; answer support,human review; retrieval,0.250000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0039,fresh_audit_methods.md,Store audit trail entries beside answer support so later reviewers can reproduce the decision.,METHOD,CLAIM,METHOD,recommends,asserts,recommends,audit trail; answer support; human review,human review; answer support; audit,0.500000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0040,fresh_annotation_methods.md,"Label the passage role first, record relation evidence second, and adjudicate entity boundaries last.",METHOD,CLAIM,METHOD,recommends,asserts,recommends,route segment; evidence selection; human review,RouteMap segment,0.000000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0041,fresh_trace_results.md,The evaluation run recovered more answer-support passages after route provenance was kept with the snippets.,RESULT,METHOD,RESULT,supports_retrieval,recommends,reports_usefulness,evaluation; route provenance; answer support,route provenance; RouteMap segment; evaluation,0.500000,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0042,fresh_release_results.md,Release reviewers resolved blocked decisions faster when caveats appeared beside the evidence packet.,RESULT,CLAIM,METHOD,reports_usefulness,asserts,recommends,model release governance; evidence selection; human review,human review,0.333333,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0043,fresh_privacy_results.md,The consent-boundary cases produced fewer false positives once permission checks were separated from general privacy text.,RESULT,METHOD,RESULT,reports_usefulness,recommends,reports_usefulness,consent boundary; permission boundary; privacy,privacy; permission boundary,0.666667,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0044,fresh_memory_results.md,Memory routing returned older but more relevant context for tasks with hidden state dependencies.,RESULT,CLAIM,CLAIM,supports_retrieval,asserts,asserts,agent memory; source context; route provenance,agent memory,0.333333,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0045,fresh_tool_results.md,Tool-use security review found that missing permission logs explained most rejected actions.,RESULT,RESULT,CLAIM,reports_usefulness,reports_usefulness,asserts,tool-use security; permission boundary; human review,secure AI development; permission boundary,0.250000,DESCRIPTIVE,DESCRIPTIVE,YES,YES
HELDOUT2_S0046,fresh_benchmark_results.md,A mixed benchmark split exposed brittle behaviour on examples that looked like procedures.,RESULT,METHOD,RESULT,reports_usefulness,recommends,reports_usefulness,benchmark; route segment; evaluation,benchmark,0.333333,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0047,fresh_human_review_results.md,Human reviewers agreed more often when the retrieval trace displayed rejected evidence as well as accepted evidence.,RESULT,CLAIM,METHOD,reports_usefulness,asserts,recommends,human review; retrieval trace; evidence selection,human review; retrieval trace; retrieval,0.500000,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0048,fresh_audit_results.md,Audit trail inspection showed that answer support was present in seven of nine release decisions.,RESULT,RESULT,CLAIM,reports_usefulness,reports_usefulness,asserts,audit trail; answer support; model release governance,answer support; audit,0.250000,DESCRIPTIVE,DESCRIPTIVE,YES,YES
HELDOUT2_S0049,fresh_selection_results.md,Evidence selection improved after source context was grouped by route segment instead of document order.,RESULT,CLAIM,RESULT,supports_retrieval,asserts,reports_usefulness,evidence selection; source context; route segment,retrieval; source context; RouteMap segment,0.200000,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0050,fresh_error_results.md,The mismatch review revealed that policy-context rows were often confused with broad claims.,RESULT,CLAIM,RESULT,reports_usefulness,asserts,reports_usefulness,mismatch review; policy context; claims,mismatch review,0.333333,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0051,fresh_eval_limits.md,Future benchmark rounds may still overstate generalisation if they reuse the same policy vocabulary.,LIMITATION,NEXT_STEP,LIMITATION,warns_about,proposes_next_test,limits,benchmark; policy context; evaluation,benchmark,0.333333,LIMITED,ACTIVE,YES,YES
HELDOUT2_S0052,fresh_release_limits.md,A complete release packet does not prove that the deployed model will behave safely after integration.,LIMITATION,LIMITATION,LIMITATION,limits,limits,limits,model release governance; AI safety evaluation; risk management,RouteMap segment,0.000000,NEGATED,NEGATED,YES,YES
HELDOUT2_S0053,fresh_consent_limits.md,Consent records can be too stale to justify a fresh tool action even when the interface looks authorized.,LIMITATION,CLAIM,EXAMPLE,limits,asserts,gives_example,consent boundary; permission boundary; privacy,privacy,0.333333,NEGATED,ACTIVE,YES,YES
HELDOUT2_S0054,fresh_trace_limits.md,Retrieval traces may miss reasoning steps that occur after evidence enters the prompt.,LIMITATION,LIMITATION,EXAMPLE,warns_about,warns_about,gives_example,retrieval trace; answer support; route segment,retrieval,0.000000,LIMITED,LIMITED,YES,YES
HELDOUT2_S0055,fresh_memory_limits.md,Agent memory can preserve obsolete source context unless review processes remove or downgrade it.,LIMITATION,LIMITATION,BACKGROUND,warns_about,warns_about,sets_context,agent memory; source context; human review,source context; agent memory,0.666667,LIMITED,LIMITED,YES,YES
HELDOUT2_S0056,fresh_tool_limits.md,Permission checks are not enough when the tool output can leak private data through a later route.,LIMITATION,METHOD,METHOD,limits,recommends,recommends,permission boundary; tool-use security; privacy,privacy; permission boundary,0.666667,NEGATED,ACTIVE,YES,YES
HELDOUT2_S0057,fresh_review_limits.md,Human review is constrained when audit trails omit rejected evidence and reviewer rationale.,LIMITATION,CLAIM,METHOD,warns_about,asserts,recommends,human review; audit trail; evidence selection,human review; audit,0.250000,LIMITED,ACTIVE,YES,YES
HELDOUT2_S0058,fresh_benchmark_limits.md,"A route benchmark remains incomplete without operational incidents, adversarial examples, and noisy documentation.",LIMITATION,LIMITATION,LIMITATION,warns_about,warns_about,limits,benchmark; incident response; route segment,benchmark; documentation,0.250000,LIMITED,LIMITED,YES,YES
HELDOUT2_S0059,fresh_policy_limits.md,Policy context can warn about risk without specifying the control step needed for a particular system.,LIMITATION,LIMITATION,DEFINE,warns_about,warns_about,defines,policy context; controls; risk management,controls; source context,0.250000,LIMITED,LIMITED,YES,YES
HELDOUT2_S0060,fresh_support_limits.md,Answer support is fragile if relation labels are right but entity boundaries drift across passages.,LIMITATION,CLAIM,LIMITATION,warns_about,asserts,limits,answer support; route segment; evidence selection,answer support; RouteMap segment,0.250000,LIMITED,ACTIVE,YES,YES
HELDOUT2_S0061,fresh_eval_steps.md,"Next, assemble a second fresh split from incident reports and release-board minutes.",NEXT_STEP,CLAIM,NEXT_STEP,proposes_next_test,asserts,proposes_next_test,benchmark; incident response; model release governance,monitoring,0.000000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0062,fresh_release_steps.md,Future evaluation should compare model release governance rows with ordinary project-management notes.,NEXT_STEP,NEXT_STEP,BACKGROUND,proposes_next_test,proposes_next_test,sets_context,evaluation; model release governance; source context,governance; evaluation,0.250000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0063,fresh_privacy_steps.md,Add consent-boundary examples that mix permission checks with unrelated privacy background.,NEXT_STEP,METHOD,EXAMPLE,proposes_next_test,recommends,gives_example,consent boundary; permission boundary; privacy,privacy; permission boundary,0.666667,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0064,fresh_trace_steps.md,The next retrieval test should hide titles and require the extractor to infer route provenance from text alone.,NEXT_STEP,NEXT_STEP,NEXT_STEP,proposes_next_test,proposes_next_test,proposes_next_test,retrieval trace; route provenance; route extraction,retrieval; route provenance,0.250000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0065,fresh_memory_steps.md,Run an agent-memory benchmark where old context competes with newer but less relevant evidence.,NEXT_STEP,CLAIM,RESULT,proposes_next_test,asserts,reports_usefulness,agent memory; evidence selection; benchmark,benchmark,0.333333,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0066,fresh_tool_steps.md,"A follow-up tool-use security set should include plugins, command execution, and delegated agents.",NEXT_STEP,NEXT_STEP,EXAMPLE,proposes_next_test,proposes_next_test,gives_example,tool-use security; permission boundary; agent memory,RouteMap segment,0.000000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0068,fresh_benchmark_steps.md,"Build noisy benchmark rows that contain definitions, caveats, and examples in a single paragraph.",NEXT_STEP,CLAIM,NEXT_STEP,proposes_next_test,asserts,proposes_next_test,benchmark; gold labels; mismatch review,benchmark,0.333333,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0069,fresh_audit_steps.md,The next audit-trail test should measure whether reviewers can reconstruct the release decision.,NEXT_STEP,NEXT_STEP,NEXT_STEP,proposes_next_test,proposes_next_test,proposes_next_test,audit trail; human review; model release governance,human review; audit,0.250000,ACTIVE,ACTIVE,YES,YES
HELDOUT2_S0070,fresh_support_steps.md,Create answer-support cases where the cited passage is relevant but the relation path is wrong.,NEXT_STEP,LIMITATION,DEFINE,proposes_next_test,warns_about,defines,answer support; route segment; evidence selection,RouteMap segment,0.000000,ACTIVE,LIMITED,YES,YES
HELDOUT2_S0071,fresh_hospital_examples.md,"In a hospital triage review, consent evidence and safety evaluation notes can point to different routes.",EXAMPLE,CLAIM,EXAMPLE,gives_example,asserts,gives_example,privacy; consent boundary; AI safety evaluation,privacy; evaluation,0.250000,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0072,fresh_release_examples.md,Suppose a release board blocks launch because the audit trail lacks reviewer rationale.,EXAMPLE,CLAIM,METHOD,gives_example,asserts,recommends,model release governance; audit trail; human review,human review; audit,0.250000,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0073,fresh_chatbot_examples.md,"When a support chatbot requests a refund-tool call, the permission boundary may depend on account history.",EXAMPLE,CLAIM,EXAMPLE,gives_example,asserts,gives_example,tool-use security; permission boundary; privacy,permission boundary,0.333333,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0074,fresh_memory_examples.md,One coding task may need last week's migration note rather than the newest design comment.,EXAMPLE,CLAIM,EXAMPLE,gives_example,asserts,gives_example,agent memory; source context; route provenance,RouteMap segment,0.000000,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0075,fresh_trace_examples.md,"For instance, a cited paragraph can mention privacy while failing to support the answer's consent claim.",EXAMPLE,EXAMPLE,EXAMPLE,gives_example,gives_example,gives_example,privacy; answer support; evidence selection,privacy,0.333333,DESCRIPTIVE,DESCRIPTIVE,YES,YES
HELDOUT2_S0076,fresh_tool_examples.md,A plugin that reads calendars and sends email illustrates why tool-use security needs separate route checks.,EXAMPLE,CLAIM,BACKGROUND,gives_example,asserts,sets_context,tool-use security; permission boundary; route segment,RouteMap segment,0.000000,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0077,fresh_incident_examples.md,"During an incident, an operator might trace a harmful answer through retrieval logs and a stale memory entry.",EXAMPLE,CLAIM,EXAMPLE,gives_example,asserts,gives_example,incident response; retrieval trace; agent memory,retrieval,0.000000,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0078,fresh_benchmark_examples.md,A synthetic benchmark row could look procedural while actually describing a concrete reviewer scenario.,EXAMPLE,CLAIM,EXAMPLE,gives_example,asserts,gives_example,benchmark; human review; route segment,benchmark; human review,0.666667,DESCRIPTIVE,ACTIVE,YES,YES
HELDOUT2_S0079,fresh_audit_examples.md,An auditor comparing two release packets may follow evidence selection differences before reading conclusions.,EXAMPLE,EXAMPLE,EXAMPLE,gives_example,gives_example,gives_example,audit trail; evidence selection; model release governance,human review; retrieval,0.000000,DESCRIPTIVE,DESCRIPTIVE,YES,YES
HELDOUT2_S0080,fresh_answer_examples.md,A final answer that cites policy context but omits the controlling route segment shows a support failure.,EXAMPLE,CLAIM,METHOD,gives_example,asserts,recommends,answer support; policy context; route segment,source context; RouteMap segment,0.000000,DESCRIPTIVE,ACTIVE,YES,YES
