doc_id,segment_id,title,segment_index,text,sample_role,gold_role,gold_entities,gold_operative_status,gold_relation,gold_answer_relevant,notes,pred_role_v2_noleak
DOC0010,DOC0010_S0001,10_long_context_agent_memory_notes.md,0,# Long-Context Agent Memory — Seed Document,CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0010,DOC0010_S0002,10_long_context_agent_memory_notes.md,1,"## Source Metadata - Primary URL: local://long-context-agent-memory - Benchmark note: original RouteMap-oriented route-note document, not a copied source page.",CLAIM,BACKGROUND,,,,,Corrected metadata/title row from CLAIM to BACKGROUND,BACKGROUND
DOC0010,DOC0010_S0004,10_long_context_agent_memory_notes.md,3,"Agent memory routing is the process of storing and retrieving information according to task role, entity, dependency, and state transition.",CLAIM,DEFINE,,,,,Heading matched semantic role; corrected sample_role from CLAIM to DEFINE,METHOD
DOC0010,DOC0010_S0005,10_long_context_agent_memory_notes.md,4,A memory system should not treat every stored passage as equally relevant; it should prioritise passages that occupy the right route in the task.,CLAIM,CLAIM,,,,,Kept sample_role,CLAIM
DOC0010,DOC0010_S0009,10_long_context_agent_memory_notes.md,8,A practical implementation should combine route retrieval with neural embeddings and keyword fallback.,CLAIM,NEXT_STEP,,,,,Heading matched semantic role; corrected sample_role from CLAIM to NEXT_STEP,NEXT_STEP
DOC0010,DOC0010_S0010,10_long_context_agent_memory_notes.md,9,"A coding agent may need the route from request handler to permission check to database write, not just files containing the word permission.",CLAIM,EXAMPLE,,,,,Heading matched semantic role; corrected sample_role from CLAIM to EXAMPLE,CLAIM
DOC0001,DOC0001_S0006,01_nist_ai_rmf_route_notes.md,5,"The framework can be operationalised by mapping the AI system context, measuring risks and impacts, managing mitigations, and governing the process with accountability structures.",METHOD,METHOD,,,,,Kept sample_role,METHOD
DOC0001,DOC0001_S0008,01_nist_ai_rmf_route_notes.md,7,"A RouteMap annotation should classify NIST-style material as strong METHOD and GOVERNANCE content because the framework defines roles, lifecycle steps, controls, and limitations.",METHOD,RESULT,,,,,Heading matched semantic role; corrected sample_role from METHOD to RESULT,METHOD
DOC0001,DOC0001_S0009,01_nist_ai_rmf_route_notes.md,8,"For a RouteMap benchmark, use this document to test whether the system can distinguish definitions of risk from methods for managing risk and limitations around measurement.",METHOD,NEXT_STEP,,,,,Heading matched semantic role; corrected sample_role from METHOD to NEXT_STEP,METHOD
DOC0001,DOC0001_S0010,01_nist_ai_rmf_route_notes.md,9,"A passage that explains mapping system context should usually be labelled METHOD, while a passage explaining why risk measurement is difficult should usually be labelled LIMITATION.",METHOD,EXAMPLE,,,,,Heading matched semantic role; corrected sample_role from METHOD to EXAMPLE,LIMITATION
DOC0002,DOC0002_S0005,02_ncsc_secure_ai_development_route_notes.md,4,"The lifecycle can be routed through secure design, secure development, secure deployment, and secure operation and maintenance.",METHOD,METHOD,,,,,Kept sample_role,METHOD
DOC0003,DOC0003_S0006,03_owasp_llm_top10_route_notes.md,5,"A practical security review should identify prompt injection risks, insecure output handling, data exposure risks, tool or plugin risks, supply chain issues, and overreliance on generated content.",METHOD,METHOD,,,,,Kept sample_role,LIMITATION
DOC0003,DOC0003_S0009,03_owasp_llm_top10_route_notes.md,8,"For RouteMap, this source is useful for testing whether the extractor identifies risk definitions, mitigation methods, and concrete examples.",METHOD,NEXT_STEP,,,,,Heading matched semantic role; corrected sample_role from METHOD to NEXT_STEP,EXAMPLE
DOC0003,DOC0003_S0010,03_owasp_llm_top10_route_notes.md,9,"This document should create labels across DEFINE, METHOD, CLAIM, LIMITATION, and EXAMPLE.",METHOD,RESULT,,,,,Heading matched semantic role; corrected sample_role from METHOD to RESULT,EXAMPLE
DOC0004,DOC0004_S0006,04_ico_ai_data_protection_route_notes.md,5,"A compliant AI workflow should consider lawful basis, fairness, transparency, data minimisation, security, accountability, and data protection impact assessment where appropriate.",METHOD,METHOD,,,,,Kept sample_role,METHOD
DOC0004,DOC0004_S0009,04_ico_ai_data_protection_route_notes.md,8,RouteMap should test whether privacy definitions are separated from compliance methods and limitations about fairness or explainability.,METHOD,NEXT_STEP,,,,,Heading matched semantic role; corrected sample_role from METHOD to NEXT_STEP,NEXT_STEP
DOC0005,DOC0005_S0006,05_google_saif_route_notes.md,5,"A SAIF-style review should map assets, identify AI-specific risks, harden infrastructure, monitor model behaviour, control access, and prepare response processes.",METHOD,METHOD,,,,,Kept sample_role,METHOD
DOC0005,DOC0005_S0010,05_google_saif_route_notes.md,9,"This document is useful for retrieval because the relevant concepts are security roles, threat routes, lifecycle methods, and mitigations.",METHOD,RESULT,,,,,Heading matched semantic role; corrected sample_role from METHOD to RESULT,METHOD
DOC0006,DOC0006_S0006,06_microsoft_responsible_ai_standard_route_notes.md,5,"A responsible AI workflow can include impact assessment, risk review, human oversight, testing, documentation, release controls, and monitoring.",METHOD,METHOD,,,,,Kept sample_role,METHOD
DOC0006,DOC0006_S0007,06_microsoft_responsible_ai_standard_route_notes.md,6,This document should produce RouteMap labels where principle statements are CLAIMs and product-development requirements are METHODs.,METHOD,RESULT,,,,,Heading matched semantic role; corrected sample_role from METHOD to RESULT,RESULT
DOC0006,DOC0006_S0009,06_microsoft_responsible_ai_standard_route_notes.md,8,"A fairness review should be labelled METHOD when it describes an assessment step, but LIMITATION when it describes unresolved fairness uncertainty.",METHOD,EXAMPLE,,,,,Heading matched semantic role; corrected sample_role from METHOD to EXAMPLE,METHOD
DOC0007,DOC0007_S0005,07_cisa_ai_roadmap_route_notes.md,4,"A roadmap-style workflow should identify mission use cases, evaluate risk, coordinate stakeholders, build internal capability, and support secure adoption.",METHOD,METHOD,,,,,Kept sample_role,METHOD
DOC0007,DOC0007_S0007,07_cisa_ai_roadmap_route_notes.md,6,"This document is useful because it contains strategic CLAIMs, METHOD-like actions, and LIMITATION passages about adoption constraints.",METHOD,RESULT,,,,,Heading matched semantic role; corrected sample_role from METHOD to RESULT,RESULT
DOC0007,DOC0007_S0008,07_cisa_ai_roadmap_route_notes.md,7,RouteMap should test whether strategic goals can be separated from concrete methods and risk limitations.,METHOD,NEXT_STEP,,,,,Heading matched semantic role; corrected sample_role from METHOD to NEXT_STEP,NEXT_STEP
DOC0008,DOC0008_S0006,08_eu_ai_act_risk_management_route_notes.md,5,"A provider should identify known and foreseeable risks, estimate and evaluate those risks, implement mitigation measures, and test whether the controls are effective.",METHOD,METHOD,,,,,Kept sample_role,METHOD
DOC0008,DOC0008_S0009,08_eu_ai_act_risk_management_route_notes.md,8,"RouteMap should test whether legal obligations, methods, and limitations are retrieved as linked but distinct passages.",METHOD,NEXT_STEP,,,,,Heading matched semantic role; corrected sample_role from METHOD to NEXT_STEP,NEXT_STEP
DOC0008,DOC0008_S0010,08_eu_ai_act_risk_management_route_notes.md,9,"This document is especially useful for multi-source QA because the final answer may need definition, method, and limitation passages together.",METHOD,RESULT,,,,,Heading matched semantic role; corrected sample_role from METHOD to RESULT,LIMITATION
DOC0009,DOC0009_S0003,09_route_extraction_benchmark_design_notes.md,2,"A RouteMap benchmark needs documents that contain definitions, methods, claims, examples, limitations, results, and next steps.",METHOD,BACKGROUND,,,,,Heading matched semantic role; corrected sample_role from METHOD to BACKGROUND,NEXT_STEP
DOC0009,DOC0009_S0005,09_route_extraction_benchmark_design_notes.md,4,"A human annotator should label each passage by role, entity, operative status, and relation before model evaluation.",METHOD,METHOD,,,,,Kept sample_role,CLAIM
DOC0009,DOC0009_S0010,09_route_extraction_benchmark_design_notes.md,9,"A question asking for a compliance process may require a DEFINE passage, a METHOD passage, and a LIMITATION passage.",METHOD,EXAMPLE,,,,,Heading matched semantic role; corrected sample_role from METHOD to EXAMPLE,METHOD
DOC0010,DOC0010_S0006,10_long_context_agent_memory_notes.md,5,"A route-aware memory system can store compact identifiers for document scope, entity, role, relation, and source pointer.",METHOD,METHOD,,,,,Kept sample_role,CLAIM
DOC0002,DOC0002_S0010,02_ncsc_secure_ai_development_route_notes.md,9,This document is suitable for dependency-chain retrieval because the relevant guidance is distributed across multiple lifecycle phases.,RESULT,RESULT,,,,,Kept sample_role,METHOD
DOC0004,DOC0004_S0010,04_ico_ai_data_protection_route_notes.md,9,"This document is useful because legal definitions, process obligations, risks, and examples appear close together.",RESULT,RESULT,,,,,Kept sample_role,EXAMPLE
DOC0009,DOC0009_S0004,09_route_extraction_benchmark_design_notes.md,3,"A route label describes the job a passage performs in a document, such as defining a term, stating a claim, reporting a result, or identifying a limitation.",RESULT,DEFINE,,,,,Heading matched semantic role; corrected sample_role from RESULT to DEFINE,RESULT
DOC0009,DOC0009_S0007,09_route_extraction_benchmark_design_notes.md,6,"Previous sandbox tests showed strong gains on synthetic and silver-label real-document retrieval, but human-gold validation is still required.",RESULT,RESULT,,,,,Kept sample_role,CLAIM
DOC0010,DOC0010_S0007,10_long_context_agent_memory_notes.md,6,A compact route index can reduce storage and comparison costs while preserving links to the raw source text.,RESULT,RESULT,,,,,Kept sample_role,CLAIM
DOC0001,DOC0001_S0007,01_nist_ai_rmf_route_notes.md,6,"Risk measurement for AI systems remains difficult because harms can be contextual, delayed, distributed across actors, or difficult to quantify before deployment.",LIMITATION,LIMITATION,,,,,Kept sample_role,LIMITATION
DOC0002,DOC0002_S0003,02_ncsc_secure_ai_development_route_notes.md,2,The NCSC guidance treats AI security as a lifecycle problem rather than a one-time deployment checklist.,LIMITATION,BACKGROUND,,,,,Heading matched semantic role; corrected sample_role from LIMITATION to BACKGROUND,METHOD
DOC0002,DOC0002_S0008,02_ncsc_secure_ai_development_route_notes.md,7,The guidance gives general mitigations but does not by itself prove that a specific model or deployment is safe; implementation evidence is still required.,LIMITATION,LIMITATION,,,,,Kept sample_role,METHOD
DOC0003,DOC0003_S0008,03_owasp_llm_top10_route_notes.md,7,"A top-ten list is useful for prioritisation but it is not a complete threat model for every product, sector, or deployment context.",LIMITATION,LIMITATION,,,,,Kept sample_role,CLAIM
DOC0004,DOC0004_S0007,04_ico_ai_data_protection_route_notes.md,6,"Technical accuracy alone does not settle whether an AI system is fair, lawful, or transparent under data protection law.",LIMITATION,LIMITATION,,,,,Kept sample_role,LIMITATION
DOC0005,DOC0005_S0005,05_google_saif_route_notes.md,4,"Security for AI needs to be designed into the system rather than added after deployment because model behaviour, data pipelines, and tool integrations can all create new attack surfaces.",LIMITATION,CLAIM,,,,,Heading matched semantic role; corrected sample_role from LIMITATION to CLAIM,CLAIM
DOC0005,DOC0005_S0008,05_google_saif_route_notes.md,7,"A framework can guide security work, but it does not replace implementation evidence, red-team testing, or production monitoring.",LIMITATION,LIMITATION,,,,,Kept sample_role,METHOD
DOC0006,DOC0006_S0008,06_microsoft_responsible_ai_standard_route_notes.md,7,"A company standard can improve consistency, but external validation and context-specific risk analysis are still needed.",LIMITATION,LIMITATION,,,,,Kept sample_role,LIMITATION
DOC0007,DOC0007_S0006,07_cisa_ai_roadmap_route_notes.md,5,"A roadmap sets direction, but it does not by itself validate individual systems or resolve all operational tradeoffs.",LIMITATION,LIMITATION,,,,,Kept sample_role,LIMITATION
DOC0008,DOC0008_S0007,08_eu_ai_act_risk_management_route_notes.md,6,Compliance with a risk management process does not mean all risks are eliminated; residual risk and context of use still matter.,LIMITATION,LIMITATION,,,,,Kept sample_role,METHOD
DOC0009,DOC0009_S0006,09_route_extraction_benchmark_design_notes.md,5,Route-based retrieval should be most useful when the answer depends on structural roles rather than simple keyword overlap.,LIMITATION,CLAIM,,,,,Heading matched semantic role; corrected sample_role from LIMITATION to CLAIM,CLAIM
DOC0009,DOC0009_S0008,09_route_extraction_benchmark_design_notes.md,7,A benchmark built only from route-friendly documents may overestimate performance; future corpora should include ambiguous and adversarial passages.,LIMITATION,LIMITATION,,,,,Kept sample_role,NEXT_STEP
DOC0010,DOC0010_S0008,10_long_context_agent_memory_notes.md,7,"Route compression can lose detail if the role or entity extraction is wrong, so fallback retrieval and source inspection are still needed.",LIMITATION,LIMITATION,,,,,Kept sample_role,CLAIM
DOC0001,DOC0001_S0003,01_nist_ai_rmf_route_notes.md,2,"NIST developed the AI Risk Management Framework to help organisations manage risks to individuals, organisations, and society from AI systems. It is intended as a voluntary framework that can be used across sectors and technologies.",BACKGROUND,BACKGROUND,,,,,Kept sample_role,LIMITATION
DOC0003,DOC0003_S0003,03_owasp_llm_top10_route_notes.md,2,OWASP maintains a security project focused on common risks in large language model applications.,BACKGROUND,BACKGROUND,,,,,Kept sample_role,LIMITATION
DOC0004,DOC0004_S0003,04_ico_ai_data_protection_route_notes.md,2,The ICO guidance explains how data protection principles apply when organisations build or use AI systems involving personal data.,BACKGROUND,BACKGROUND,,,,,Kept sample_role,CLAIM
DOC0005,DOC0005_S0003,05_google_saif_route_notes.md,2,"Google describes SAIF as a framework for securing AI systems and helping organisations handle model risk, security, and privacy concerns.",BACKGROUND,BACKGROUND,,,,,Kept sample_role,LIMITATION
DOC0006,DOC0006_S0003,06_microsoft_responsible_ai_standard_route_notes.md,2,"Microsoft describes responsible AI as a set of principles and practices for designing, building, testing, and deploying AI systems responsibly.",BACKGROUND,BACKGROUND,,,,,Kept sample_role,CLAIM
DOC0007,DOC0007_S0002,07_cisa_ai_roadmap_route_notes.md,1,"CISA's AI roadmap describes how the agency approaches AI in relation to cybersecurity, critical infrastructure, and national risk management.",BACKGROUND,BACKGROUND,,,,,Kept sample_role,LIMITATION
DOC0008,DOC0008_S0003,08_eu_ai_act_risk_management_route_notes.md,2,"The EU AI Act creates a regulatory framework for AI systems, including lifecycle obligations for high-risk AI systems.",BACKGROUND,BACKGROUND,,,,,Kept sample_role,METHOD
DOC0010,DOC0010_S0003,10_long_context_agent_memory_notes.md,2,Long-context systems can fail when relevant information is present but not structurally connected to the question.,BACKGROUND,BACKGROUND,,,,,Kept sample_role,CLAIM
