segment_id,title,text,gold_role,pred_role,role_failed,gold_relation,pred_relation,relation_failed,gold_operative_status,pred_operative_status,operative_status_failed,gold_answer_relevant,pred_answer_relevant,answer_relevant_failed,gold_entities,pred_entities,entity_jaccard,entity_failed,failure_pattern,notes
HELDOUT2_S0020,fresh_audit_claims.md,An audit trail without answer support is evidence of activity rather than evidence of reliability.,CLAIM,LIMITATION,1,asserts,warns_about,1,ACTIVE,LIMITED,1,YES,YES,0,audit trail; answer support; evaluation,answer support; audit,0.250,1,role+operative_status+relation+entity,Thesis
HELDOUT2_S0021,fresh_route_terms.md,"Route provenance: the documented lineage connecting source context, selected evidence, and answer support.",DEFINE,CLAIM,1,defines,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,route provenance; source context; evidence selection; answer support,answer support; source context; route provenance,0.750,1,role+operative_status+relation+entity,Definition
HELDOUT2_S0022,fresh_trace_terms.md,Retrieval trace names the visible sequence from question intent through evidence selection to final response.,DEFINE,CLAIM,1,defines,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,retrieval trace; evidence selection; answer support,retrieval trace; retrieval,0.250,1,role+operative_status+relation+entity,Definition
HELDOUT2_S0023,fresh_consent_terms.md,Consent boundary covers the point at which a permission grant stops applying to a new use.,DEFINE,CLAIM,1,defines,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,consent boundary; permission boundary; privacy,privacy; permission boundary,0.667,1,role+operative_status+relation+entity,Definition
HELDOUT2_S0024,fresh_release_terms.md,Model release governance denotes the approval practice linking evaluation findings to launch decisions.,DEFINE,CLAIM,1,defines,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,model release governance; evaluation; risk management,governance; evaluation,0.250,1,role+operative_status+relation+entity,Definition
HELDOUT2_S0025,fresh_memory_terms.md,Agent memory routing describes choosing stored context by dependency rather than by freshness alone.,DEFINE,CLAIM,1,defines,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,agent memory; route extraction; source context,agent memory,0.333,1,role+operative_status+relation+entity,Definition
HELDOUT2_S0026,fresh_segment_terms.md,A route segment label marks the job a passage performs inside a larger retrieval chain.,DEFINE,DEFINE,0,defines,defines,0,DESCRIPTIVE,DESCRIPTIVE,0,YES,YES,0,route segment; route extraction; RouteMap,retrieval; RouteMap segment,0.000,1,entity,Definition
HELDOUT2_S0027,fresh_support_terms.md,Answer support refers to evidence that directly justifies a response rather than merely sharing keywords.,DEFINE,DEFINE,0,defines,defines,0,DESCRIPTIVE,DESCRIPTIVE,0,YES,YES,0,answer support; evidence selection; retrieval trace,answer support,0.333,1,entity,Definition
HELDOUT2_S0028,fresh_audit_terms.md,"Audit trail, in this setting, names records that let reviewers reconstruct a release or retrieval decision.",DEFINE,CLAIM,1,defines,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,audit trail; human review; model release governance,human review; retrieval; audit,0.200,1,role+operative_status+relation+entity,Definition
HELDOUT2_S0029,fresh_control_terms.md,"Control surface labels the places where safeguards can change model, tool, or data behaviour.",DEFINE,CLAIM,1,defines,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,controls; tool-use security; permission boundary,controls,0.333,1,role+operative_status+relation+entity,Definition
HELDOUT2_S0030,fresh_review_terms.md,Human-review checkpoint names a decision point where automated evidence must be inspected before action.,DEFINE,CLAIM,1,defines,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,human review; evidence selection; controls,RouteMap segment,0.000,1,role+operative_status+relation+entity,Definition
HELDOUT2_S0031,fresh_eval_methods.md,"Compare each generated answer against its retrieval trace, then flag unsupported assertions for review.",METHOD,CLAIM,1,recommends,asserts,1,ACTIVE,ACTIVE,0,YES,YES,0,answer support; retrieval trace; human review,retrieval trace; retrieval,0.250,1,role+relation+entity,Procedure
HELDOUT2_S0032,fresh_release_methods.md,"Before launch, collect release evidence, unresolved limitations, and reviewer sign-off in one packet.",METHOD,CLAIM,1,recommends,asserts,1,ACTIVE,ACTIVE,0,YES,YES,0,model release governance; evidence selection; human review,release evidence; human review,0.250,1,role+relation+entity,Procedure
HELDOUT2_S0033,fresh_privacy_methods.md,Map consent records to permission checks before selecting evidence for a privacy-sensitive answer.,METHOD,METHOD,0,maps_to,recommends,1,ACTIVE,ACTIVE,0,YES,YES,0,consent boundary; permission boundary; evidence selection,privacy; permission boundary,0.250,1,relation+entity,Procedure
HELDOUT2_S0034,fresh_memory_methods.md,"Rank memory candidates by route dependency, source age, and whether the task needs hidden state.",METHOD,CLAIM,1,recommends,asserts,1,ACTIVE,ACTIVE,0,YES,YES,0,agent memory; route provenance; source context,RouteMap segment,0.000,1,role+relation+entity,Procedure
HELDOUT2_S0035,fresh_tool_methods.md,"Log tool calls with permission scope, selected route segment, and the reason the action was allowed.",METHOD,CLAIM,1,requires,asserts,1,ACTIVE,ACTIVE,0,YES,YES,0,tool-use security; permission boundary; route segment,permission boundary; RouteMap segment,0.250,1,role+relation+entity,Procedure
HELDOUT2_S0036,fresh_incident_methods.md,"During an incident review, connect symptoms to retrieval traces and then to the control that failed.",METHOD,CLAIM,1,maps_to,asserts,1,ACTIVE,ACTIVE,0,YES,YES,0,incident response; retrieval trace; controls,controls; retrieval,0.250,1,role+relation+entity,Procedure
HELDOUT2_S0037,fresh_benchmark_methods.md,"Sample benchmark rows from policy context, operational procedures, examples, and caveats in equal measure.",METHOD,METHOD,0,recommends,recommends,0,ACTIVE,ACTIVE,0,YES,YES,0,benchmark; policy context; route segment,benchmark; source context,0.250,1,entity,Procedure
HELDOUT2_S0038,fresh_human_review_methods.md,Route uncertain answers to human review when evidence selection conflicts with the final answer.,METHOD,CLAIM,1,recommends,asserts,1,ACTIVE,ACTIVE,0,YES,YES,0,human review; evidence selection; answer support,human review; retrieval,0.250,1,role+relation+entity,Procedure
HELDOUT2_S0039,fresh_audit_methods.md,Store audit trail entries beside answer support so later reviewers can reproduce the decision.,METHOD,CLAIM,1,recommends,asserts,1,ACTIVE,ACTIVE,0,YES,YES,0,audit trail; answer support; human review,human review; answer support; audit,0.500,1,role+relation+entity,Procedure
HELDOUT2_S0040,fresh_annotation_methods.md,"Label the passage role first, record relation evidence second, and adjudicate entity boundaries last.",METHOD,CLAIM,1,recommends,asserts,1,ACTIVE,ACTIVE,0,YES,YES,0,route segment; evidence selection; human review,RouteMap segment,0.000,1,role+relation+entity,Procedure
HELDOUT2_S0041,fresh_trace_results.md,The evaluation run recovered more answer-support passages after route provenance was kept with the snippets.,RESULT,METHOD,1,supports_retrieval,recommends,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,evaluation; route provenance; answer support,route provenance; RouteMap segment; evaluation,0.500,1,role+operative_status+relation+entity,Observed outcome
HELDOUT2_S0042,fresh_release_results.md,Release reviewers resolved blocked decisions faster when caveats appeared beside the evidence packet.,RESULT,CLAIM,1,reports_usefulness,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,model release governance; evidence selection; human review,human review,0.333,1,role+operative_status+relation+entity,Observed outcome
HELDOUT2_S0043,fresh_privacy_results.md,The consent-boundary cases produced fewer false positives once permission checks were separated from general privacy text.,RESULT,METHOD,1,reports_usefulness,recommends,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,consent boundary; permission boundary; privacy,privacy; permission boundary,0.667,1,role+operative_status+relation+entity,Observed outcome
HELDOUT2_S0044,fresh_memory_results.md,Memory routing returned older but more relevant context for tasks with hidden state dependencies.,RESULT,CLAIM,1,supports_retrieval,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,agent memory; source context; route provenance,agent memory,0.333,1,role+operative_status+relation+entity,Observed outcome
HELDOUT2_S0045,fresh_tool_results.md,Tool-use security review found that missing permission logs explained most rejected actions.,RESULT,RESULT,0,reports_usefulness,reports_usefulness,0,DESCRIPTIVE,DESCRIPTIVE,0,YES,YES,0,tool-use security; permission boundary; human review,secure AI development; permission boundary,0.250,1,entity,Observed outcome
HELDOUT2_S0046,fresh_benchmark_results.md,A mixed benchmark split exposed brittle behaviour on examples that looked like procedures.,RESULT,METHOD,1,reports_usefulness,recommends,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,benchmark; route segment; evaluation,benchmark,0.333,1,role+operative_status+relation+entity,Observed outcome
HELDOUT2_S0047,fresh_human_review_results.md,Human reviewers agreed more often when the retrieval trace displayed rejected evidence as well as accepted evidence.,RESULT,CLAIM,1,reports_usefulness,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,human review; retrieval trace; evidence selection,human review; retrieval trace; retrieval,0.500,1,role+operative_status+relation+entity,Observed outcome
HELDOUT2_S0048,fresh_audit_results.md,Audit trail inspection showed that answer support was present in seven of nine release decisions.,RESULT,RESULT,0,reports_usefulness,reports_usefulness,0,DESCRIPTIVE,DESCRIPTIVE,0,YES,YES,0,audit trail; answer support; model release governance,answer support; audit,0.250,1,entity,Observed outcome
HELDOUT2_S0049,fresh_selection_results.md,Evidence selection improved after source context was grouped by route segment instead of document order.,RESULT,CLAIM,1,supports_retrieval,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,evidence selection; source context; route segment,retrieval; source context; RouteMap segment,0.200,1,role+operative_status+relation+entity,Observed outcome
HELDOUT2_S0050,fresh_error_results.md,The mismatch review revealed that policy-context rows were often confused with broad claims.,RESULT,CLAIM,1,reports_usefulness,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,mismatch review; policy context; claims,mismatch review,0.333,1,role+operative_status+relation+entity,Observed outcome
HELDOUT2_S0051,fresh_eval_limits.md,Future benchmark rounds may still overstate generalisation if they reuse the same policy vocabulary.,LIMITATION,NEXT_STEP,1,warns_about,proposes_next_test,1,LIMITED,ACTIVE,1,YES,YES,0,benchmark; policy context; evaluation,benchmark,0.333,1,role+operative_status+relation+entity,Caveat
HELDOUT2_S0052,fresh_release_limits.md,A complete release packet does not prove that the deployed model will behave safely after integration.,LIMITATION,LIMITATION,0,limits,limits,0,NEGATED,NEGATED,0,YES,YES,0,model release governance; AI safety evaluation; risk management,RouteMap segment,0.000,1,entity,Caveat
HELDOUT2_S0053,fresh_consent_limits.md,Consent records can be too stale to justify a fresh tool action even when the interface looks authorized.,LIMITATION,CLAIM,1,limits,asserts,1,NEGATED,ACTIVE,1,YES,YES,0,consent boundary; permission boundary; privacy,privacy,0.333,1,role+operative_status+relation+entity,Caveat
HELDOUT2_S0054,fresh_trace_limits.md,Retrieval traces may miss reasoning steps that occur after evidence enters the prompt.,LIMITATION,LIMITATION,0,warns_about,warns_about,0,LIMITED,LIMITED,0,YES,YES,0,retrieval trace; answer support; route segment,retrieval,0.000,1,entity,Caveat
HELDOUT2_S0055,fresh_memory_limits.md,Agent memory can preserve obsolete source context unless review processes remove or downgrade it.,LIMITATION,LIMITATION,0,warns_about,warns_about,0,LIMITED,LIMITED,0,YES,YES,0,agent memory; source context; human review,source context; agent memory,0.667,1,entity,Caveat
HELDOUT2_S0056,fresh_tool_limits.md,Permission checks are not enough when the tool output can leak private data through a later route.,LIMITATION,METHOD,1,limits,recommends,1,NEGATED,ACTIVE,1,YES,YES,0,permission boundary; tool-use security; privacy,privacy; permission boundary,0.667,1,role+operative_status+relation+entity,Caveat
HELDOUT2_S0057,fresh_review_limits.md,Human review is constrained when audit trails omit rejected evidence and reviewer rationale.,LIMITATION,CLAIM,1,warns_about,asserts,1,LIMITED,ACTIVE,1,YES,YES,0,human review; audit trail; evidence selection,human review; audit,0.250,1,role+operative_status+relation+entity,Caveat
HELDOUT2_S0058,fresh_benchmark_limits.md,"A route benchmark remains incomplete without operational incidents, adversarial examples, and noisy documentation.",LIMITATION,LIMITATION,0,warns_about,warns_about,0,LIMITED,LIMITED,0,YES,YES,0,benchmark; incident response; route segment,benchmark; documentation,0.250,1,entity,Caveat
HELDOUT2_S0059,fresh_policy_limits.md,Policy context can warn about risk without specifying the control step needed for a particular system.,LIMITATION,LIMITATION,0,warns_about,warns_about,0,LIMITED,LIMITED,0,YES,YES,0,policy context; controls; risk management,controls; source context,0.250,1,entity,Caveat
HELDOUT2_S0060,fresh_support_limits.md,Answer support is fragile if relation labels are right but entity boundaries drift across passages.,LIMITATION,CLAIM,1,warns_about,asserts,1,LIMITED,ACTIVE,1,YES,YES,0,answer support; route segment; evidence selection,answer support; RouteMap segment,0.250,1,role+operative_status+relation+entity,Caveat
HELDOUT2_S0061,fresh_eval_steps.md,"Next, assemble a second fresh split from incident reports and release-board minutes.",NEXT_STEP,CLAIM,1,proposes_next_test,asserts,1,ACTIVE,ACTIVE,0,YES,YES,0,benchmark; incident response; model release governance,monitoring,0.000,1,role+relation+entity,Future work
HELDOUT2_S0062,fresh_release_steps.md,Future evaluation should compare model release governance rows with ordinary project-management notes.,NEXT_STEP,NEXT_STEP,0,proposes_next_test,proposes_next_test,0,ACTIVE,ACTIVE,0,YES,YES,0,evaluation; model release governance; source context,governance; evaluation,0.250,1,entity,Future work
HELDOUT2_S0063,fresh_privacy_steps.md,Add consent-boundary examples that mix permission checks with unrelated privacy background.,NEXT_STEP,METHOD,1,proposes_next_test,recommends,1,ACTIVE,ACTIVE,0,YES,YES,0,consent boundary; permission boundary; privacy,privacy; permission boundary,0.667,1,role+relation+entity,Future work
HELDOUT2_S0064,fresh_trace_steps.md,The next retrieval test should hide titles and require the extractor to infer route provenance from text alone.,NEXT_STEP,NEXT_STEP,0,proposes_next_test,proposes_next_test,0,ACTIVE,ACTIVE,0,YES,YES,0,retrieval trace; route provenance; route extraction,retrieval; route provenance,0.250,1,entity,Future work
HELDOUT2_S0065,fresh_memory_steps.md,Run an agent-memory benchmark where old context competes with newer but less relevant evidence.,NEXT_STEP,CLAIM,1,proposes_next_test,asserts,1,ACTIVE,ACTIVE,0,YES,YES,0,agent memory; evidence selection; benchmark,benchmark,0.333,1,role+relation+entity,Future work
HELDOUT2_S0066,fresh_tool_steps.md,"A follow-up tool-use security set should include plugins, command execution, and delegated agents.",NEXT_STEP,NEXT_STEP,0,proposes_next_test,proposes_next_test,0,ACTIVE,ACTIVE,0,YES,YES,0,tool-use security; permission boundary; agent memory,RouteMap segment,0.000,1,entity,Future work
HELDOUT2_S0067,fresh_review_steps.md,Evaluate whether human review changes final answers when rejected evidence is shown.,NEXT_STEP,CLAIM,1,proposes_next_test,asserts,1,ACTIVE,ACTIVE,0,YES,YES,0,human review; evidence selection; answer support,human review,0.333,1,role+relation+entity,Future work
HELDOUT2_S0068,fresh_benchmark_steps.md,"Build noisy benchmark rows that contain definitions, caveats, and examples in a single paragraph.",NEXT_STEP,CLAIM,1,proposes_next_test,asserts,1,ACTIVE,ACTIVE,0,YES,YES,0,benchmark; gold labels; mismatch review,benchmark,0.333,1,role+relation+entity,Future work
HELDOUT2_S0069,fresh_audit_steps.md,The next audit-trail test should measure whether reviewers can reconstruct the release decision.,NEXT_STEP,NEXT_STEP,0,proposes_next_test,proposes_next_test,0,ACTIVE,ACTIVE,0,YES,YES,0,audit trail; human review; model release governance,human review; audit,0.250,1,entity,Future work
HELDOUT2_S0070,fresh_support_steps.md,Create answer-support cases where the cited passage is relevant but the relation path is wrong.,NEXT_STEP,LIMITATION,1,proposes_next_test,warns_about,1,ACTIVE,LIMITED,1,YES,YES,0,answer support; route segment; evidence selection,RouteMap segment,0.000,1,role+operative_status+relation+entity,Future work
HELDOUT2_S0071,fresh_hospital_examples.md,"In a hospital triage review, consent evidence and safety evaluation notes can point to different routes.",EXAMPLE,CLAIM,1,gives_example,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,privacy; consent boundary; AI safety evaluation,privacy; evaluation,0.250,1,role+operative_status+relation+entity,Concrete scenario
HELDOUT2_S0072,fresh_release_examples.md,Suppose a release board blocks launch because the audit trail lacks reviewer rationale.,EXAMPLE,CLAIM,1,gives_example,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,model release governance; audit trail; human review,human review; audit,0.250,1,role+operative_status+relation+entity,Concrete scenario
HELDOUT2_S0073,fresh_chatbot_examples.md,"When a support chatbot requests a refund-tool call, the permission boundary may depend on account history.",EXAMPLE,CLAIM,1,gives_example,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,tool-use security; permission boundary; privacy,permission boundary,0.333,1,role+operative_status+relation+entity,Concrete scenario
HELDOUT2_S0074,fresh_memory_examples.md,One coding task may need last week's migration note rather than the newest design comment.,EXAMPLE,CLAIM,1,gives_example,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,agent memory; source context; route provenance,RouteMap segment,0.000,1,role+operative_status+relation+entity,Concrete scenario
HELDOUT2_S0075,fresh_trace_examples.md,"For instance, a cited paragraph can mention privacy while failing to support the answer's consent claim.",EXAMPLE,EXAMPLE,0,gives_example,gives_example,0,DESCRIPTIVE,DESCRIPTIVE,0,YES,YES,0,privacy; answer support; evidence selection,privacy,0.333,1,entity,Concrete scenario
HELDOUT2_S0076,fresh_tool_examples.md,A plugin that reads calendars and sends email illustrates why tool-use security needs separate route checks.,EXAMPLE,CLAIM,1,gives_example,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,tool-use security; permission boundary; route segment,RouteMap segment,0.000,1,role+operative_status+relation+entity,Concrete scenario
HELDOUT2_S0077,fresh_incident_examples.md,"During an incident, an operator might trace a harmful answer through retrieval logs and a stale memory entry.",EXAMPLE,CLAIM,1,gives_example,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,incident response; retrieval trace; agent memory,retrieval,0.000,1,role+operative_status+relation+entity,Concrete scenario
HELDOUT2_S0078,fresh_benchmark_examples.md,A synthetic benchmark row could look procedural while actually describing a concrete reviewer scenario.,EXAMPLE,CLAIM,1,gives_example,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,benchmark; human review; route segment,benchmark; human review,0.667,1,role+operative_status+relation+entity,Concrete scenario
HELDOUT2_S0079,fresh_audit_examples.md,An auditor comparing two release packets may follow evidence selection differences before reading conclusions.,EXAMPLE,EXAMPLE,0,gives_example,gives_example,0,DESCRIPTIVE,DESCRIPTIVE,0,YES,YES,0,audit trail; evidence selection; model release governance,human review; retrieval,0.000,1,entity,Concrete scenario
HELDOUT2_S0080,fresh_answer_examples.md,A final answer that cites policy context but omits the controlling route segment shows a support failure.,EXAMPLE,CLAIM,1,gives_example,asserts,1,DESCRIPTIVE,ACTIVE,1,YES,YES,0,answer support; policy context; route segment,source context; RouteMap segment,0.000,1,role+operative_status+relation+entity,Concrete scenario
