segment_id,title,text,gold_entities,pred_entities_current,pred_entities_ontology_v1,current_jaccard,ontology_v1_jaccard,category,current_missing,ontology_missing,current_extra,ontology_extra,zero_overlap_current,zero_overlap_ontology_v1
HELDOUT2_S0015,fresh_memory_claims.md,Agent memory can amplify stale assumptions when route provenance is absent from recall.,agent memory; route provenance; source context,agent memory; evaluation; route provenance,agent memory; route provenance,0.500000,0.666667,ontology_v1_wins,source context,source context,evaluation,,NO,NO
HELDOUT2_S0016,fresh_controls_claims.md,Controls that never travel with retrieved evidence rarely change practical review behaviour.,controls; evidence selection; human review,controls; retrieval,controls; retrieval,0.250000,0.250000,tie,evidence selection; human review,evidence selection; human review,retrieval,retrieval,NO,NO
HELDOUT2_S0017,fresh_benchmark_claims.md,Benchmark design is weaker when easy source context outnumbers adversarial route segments.,benchmark; RouteMap segment; source context,benchmark; RouteMap segment; source context,benchmark; RouteMap; RouteMap segment; source context,1.000000,0.750000,current_extractor_wins,,,,RouteMap,NO,NO
HELDOUT2_S0018,fresh_human_review_claims.md,Human review adds value only if reviewers can inspect the evidence selection path.,evidence selection; human review; retrieval trace,human review; retrieval,evidence selection; human review,0.250000,0.666667,ontology_v1_wins,evidence selection; retrieval trace,retrieval trace,retrieval,,NO,NO
HELDOUT2_S0019,fresh_tool_claims.md,Tool-use security depends on permission boundaries being checked at the moment of action.,controls; permission boundary; tool-use security,permission boundary,LLM application security; permission boundary; tool-use security,0.333333,0.500000,ontology_v1_wins,controls; tool-use security,controls,,LLM application security,NO,NO
HELDOUT2_S0020,fresh_audit_claims.md,An audit trail without answer support is evidence of activity rather than evidence of reliability.,answer support; audit trail; evaluation,answer support; audit,answer support; audit trail,0.250000,0.666667,ontology_v1_wins,audit trail; evaluation,evaluation,audit,,NO,NO
HELDOUT2_S0021,fresh_route_terms.md,"Route provenance: the documented lineage connecting source context, selected evidence, and answer support.",answer support; evidence selection; route provenance; source context,answer support; route provenance; source context,answer support; evidence selection; route provenance; source context,0.750000,1.000000,ontology_v1_wins,evidence selection,,,,NO,NO
HELDOUT2_S0022,fresh_trace_terms.md,Retrieval trace names the visible sequence from question intent through evidence selection to final response.,answer support; evidence selection; retrieval trace,retrieval; retrieval trace,evidence selection; retrieval; retrieval trace,0.250000,0.500000,ontology_v1_wins,answer support; evidence selection,answer support,retrieval,retrieval,NO,NO
HELDOUT2_S0023,fresh_consent_terms.md,Consent boundary covers the point at which a permission grant stops applying to a new use.,consent boundary; permission boundary; privacy,permission boundary; privacy,consent boundary; permission boundary,0.666667,0.666667,tie,consent boundary,privacy,,,NO,NO
HELDOUT2_S0024,fresh_release_terms.md,Model release governance denotes the approval practice linking evaluation findings to launch decisions.,evaluation; model release governance; risk management,evaluation; governance,evaluation; governance; model release governance,0.250000,0.500000,ontology_v1_wins,model release governance; risk management,risk management,governance,governance,NO,NO
HELDOUT2_S0025,fresh_memory_terms.md,Agent memory routing describes choosing stored context by dependency rather than by freshness alone.,agent memory; route extraction; source context,agent memory,agent memory,0.333333,0.333333,tie,route extraction; source context,route extraction; source context,,,NO,NO
HELDOUT2_S0026,fresh_segment_terms.md,A route segment label marks the job a passage performs inside a larger retrieval chain.,route extraction; RouteMap; RouteMap segment,retrieval; RouteMap segment,retrieval; RouteMap; RouteMap segment,0.250000,0.500000,ontology_v1_wins,route extraction; RouteMap,route extraction,retrieval,retrieval,NO,NO
HELDOUT2_S0027,fresh_support_terms.md,Answer support refers to evidence that directly justifies a response rather than merely sharing keywords.,answer support; evidence selection; retrieval trace,answer support,answer support,0.333333,0.333333,tie,evidence selection; retrieval trace,evidence selection; retrieval trace,,,NO,NO
HELDOUT2_S0028,fresh_audit_terms.md,"Audit trail, in this setting, names records that let reviewers reconstruct a release or retrieval decision.",audit trail; human review; model release governance,human review; retrieval; audit,audit trail; human review; retrieval,0.200000,0.500000,ontology_v1_wins,audit trail; model release governance,model release governance,retrieval; audit,retrieval,NO,NO
HELDOUT2_S0029,fresh_control_terms.md,"Control surface labels the places where safeguards can change model, tool, or data behaviour.",controls; permission boundary; tool-use security,controls,controls,0.333333,0.333333,tie,permission boundary; tool-use security,permission boundary; tool-use security,,,NO,NO
HELDOUT2_S0030,fresh_review_terms.md,Human-review checkpoint names a decision point where automated evidence must be inspected before action.,controls; evidence selection; human review,RouteMap segment,human review,0.000000,0.333333,ontology_v1_wins,controls; evidence selection; human review,controls; evidence selection,RouteMap segment,,YES,NO
HELDOUT2_S0031,fresh_eval_methods.md,"Compare each generated answer against its retrieval trace, then flag unsupported assertions for review.",answer support; human review; retrieval trace,retrieval; retrieval trace,evaluation; retrieval; retrieval trace,0.250000,0.200000,current_extractor_wins,answer support; human review,answer support; human review,retrieval,evaluation; retrieval,NO,NO
HELDOUT2_S0032,fresh_release_methods.md,"Before launch, collect release evidence, unresolved limitations, and reviewer sign-off in one packet.",evidence selection; human review; model release governance,human review; release evidence,human review,0.250000,0.333333,ontology_v1_wins,evidence selection; model release governance,evidence selection; model release governance,release evidence,,NO,NO
HELDOUT2_S0033,fresh_privacy_methods.md,Map consent records to permission checks before selecting evidence for a privacy-sensitive answer.,consent boundary; evidence selection; permission boundary,permission boundary; privacy,consent boundary; permission boundary; privacy,0.250000,0.500000,ontology_v1_wins,consent boundary; evidence selection,evidence selection,privacy,privacy,NO,NO
HELDOUT2_S0034,fresh_memory_methods.md,"Rank memory candidates by route dependency, source age, and whether the task needs hidden state.",agent memory; route provenance; source context,RouteMap segment,,0.000000,0.000000,both_zero_overlap,agent memory; route provenance; source context,agent memory; route provenance; source context,RouteMap segment,,YES,YES
HELDOUT2_S0035,fresh_tool_methods.md,"Log tool calls with permission scope, selected route segment, and the reason the action was allowed.",permission boundary; RouteMap segment; tool-use security,permission boundary; RouteMap segment,permission boundary; RouteMap; RouteMap segment,0.666667,0.500000,current_extractor_wins,tool-use security,tool-use security,,RouteMap,NO,NO
HELDOUT2_S0036,fresh_incident_methods.md,"During an incident review, connect symptoms to retrieval traces and then to the control that failed.",controls; incident response; retrieval trace,controls; retrieval,controls; retrieval; retrieval trace,0.250000,0.500000,ontology_v1_wins,incident response; retrieval trace,incident response,retrieval,retrieval,NO,NO
HELDOUT2_S0037,fresh_benchmark_methods.md,"Sample benchmark rows from policy context, operational procedures, examples, and caveats in equal measure.",benchmark; policy context; RouteMap segment,benchmark; source context,benchmark; policy context,0.250000,0.666667,ontology_v1_wins,policy context; RouteMap segment,RouteMap segment,source context,,NO,NO
HELDOUT2_S0038,fresh_human_review_methods.md,Route uncertain answers to human review when evidence selection conflicts with the final answer.,answer support; evidence selection; human review,human review; retrieval,evidence selection; human review,0.250000,0.666667,ontology_v1_wins,answer support; evidence selection,answer support,retrieval,,NO,NO
HELDOUT2_S0039,fresh_audit_methods.md,Store audit trail entries beside answer support so later reviewers can reproduce the decision.,answer support; audit trail; human review,answer support; human review; audit,answer support; audit trail; human review,0.500000,1.000000,ontology_v1_wins,audit trail,,audit,,NO,NO
HELDOUT2_S0040,fresh_annotation_methods.md,"Label the passage role first, record relation evidence second, and adjudicate entity boundaries last.",evidence selection; human review; RouteMap segment,RouteMap segment,RouteMap; RouteMap segment,0.333333,0.250000,current_extractor_wins,evidence selection; human review,evidence selection; human review,,RouteMap,NO,NO
HELDOUT2_S0041,fresh_trace_results.md,The evaluation run recovered more answer-support passages after route provenance was kept with the snippets.,answer support; evaluation; route provenance,evaluation; route provenance; RouteMap segment,answer support; evaluation; route provenance; RouteMap; RouteMap segment,0.500000,0.600000,ontology_v1_wins,answer support,,RouteMap segment,RouteMap; RouteMap segment,NO,NO
HELDOUT2_S0042,fresh_release_results.md,Release reviewers resolved blocked decisions faster when caveats appeared beside the evidence packet.,evidence selection; human review; model release governance,human review,human review,0.333333,0.333333,tie,evidence selection; model release governance,evidence selection; model release governance,,,NO,NO
HELDOUT2_S0043,fresh_privacy_results.md,The consent-boundary cases produced fewer false positives once permission checks were separated from general privacy text.,consent boundary; permission boundary; privacy,permission boundary; privacy,consent boundary; permission boundary; privacy,0.666667,1.000000,ontology_v1_wins,consent boundary,,,,NO,NO
HELDOUT2_S0044,fresh_memory_results.md,Memory routing returned older but more relevant context for tasks with hidden state dependencies.,agent memory; route provenance; source context,agent memory,agent memory,0.333333,0.333333,tie,route provenance; source context,route provenance; source context,,,NO,NO
HELDOUT2_S0045,fresh_tool_results.md,Tool-use security review found that missing permission logs explained most rejected actions.,human review; permission boundary; tool-use security,permission boundary; secure AI development,LLM application security; permission boundary; secure AI development; tool-use security,0.250000,0.400000,ontology_v1_wins,human review; tool-use security,human review,secure AI development,LLM application security; secure AI development,NO,NO
HELDOUT2_S0046,fresh_benchmark_results.md,A mixed benchmark split exposed brittle behaviour on examples that looked like procedures.,benchmark; evaluation; RouteMap segment,benchmark,benchmark,0.333333,0.333333,tie,evaluation; RouteMap segment,evaluation; RouteMap segment,,,NO,NO
HELDOUT2_S0047,fresh_human_review_results.md,Human reviewers agreed more often when the retrieval trace displayed rejected evidence as well as accepted evidence.,evidence selection; human review; retrieval trace,human review; retrieval; retrieval trace,human review; retrieval; retrieval trace,0.500000,0.500000,tie,evidence selection,evidence selection,retrieval,retrieval,NO,NO
HELDOUT2_S0048,fresh_audit_results.md,Audit trail inspection showed that answer support was present in seven of nine release decisions.,answer support; audit trail; model release governance,answer support; audit,answer support; audit trail,0.250000,0.666667,ontology_v1_wins,audit trail; model release governance,model release governance,audit,,NO,NO
HELDOUT2_S0049,fresh_selection_results.md,Evidence selection improved after source context was grouped by route segment instead of document order.,evidence selection; RouteMap segment; source context,retrieval; RouteMap segment; source context,evidence selection; RouteMap; RouteMap segment; source context,0.500000,0.750000,ontology_v1_wins,evidence selection,,retrieval,RouteMap,NO,NO
HELDOUT2_S0050,fresh_error_results.md,The mismatch review revealed that policy-context rows were often confused with broad claims.,mismatch review; policy context; claims,mismatch review,mismatch review; policy context,0.333333,0.666667,ontology_v1_wins,policy context; claims,claims,,,NO,NO
HELDOUT2_S0051,fresh_eval_limits.md,Future benchmark rounds may still overstate generalisation if they reuse the same policy vocabulary.,benchmark; evaluation; policy context,benchmark,benchmark; evaluation,0.333333,0.666667,ontology_v1_wins,evaluation; policy context,policy context,,,NO,NO
HELDOUT2_S0052,fresh_release_limits.md,A complete release packet does not prove that the deployed model will behave safely after integration.,AI safety evaluation; model release governance; risk management,RouteMap segment,,0.000000,0.000000,both_zero_overlap,AI safety evaluation; model release governance; risk management,AI safety evaluation; model release governance; risk management,RouteMap segment,,YES,YES
HELDOUT2_S0053,fresh_consent_limits.md,Consent records can be too stale to justify a fresh tool action even when the interface looks authorized.,consent boundary; permission boundary; privacy,privacy,consent boundary,0.333333,0.333333,tie,consent boundary; permission boundary,permission boundary; privacy,,,NO,NO
HELDOUT2_S0054,fresh_trace_limits.md,Retrieval traces may miss reasoning steps that occur after evidence enters the prompt.,answer support; retrieval trace; RouteMap segment,retrieval,retrieval; retrieval trace,0.000000,0.250000,ontology_v1_wins,answer support; retrieval trace; RouteMap segment,answer support; RouteMap segment,retrieval,retrieval,YES,NO
HELDOUT2_S0055,fresh_memory_limits.md,Agent memory can preserve obsolete source context unless review processes remove or downgrade it.,agent memory; human review; source context,agent memory; source context,agent memory; source context,0.666667,0.666667,tie,human review,human review,,,NO,NO
HELDOUT2_S0056,fresh_tool_limits.md,Permission checks are not enough when the tool output can leak private data through a later route.,permission boundary; privacy; tool-use security,permission boundary; privacy,permission boundary; privacy,0.666667,0.666667,tie,tool-use security,tool-use security,,,NO,NO
HELDOUT2_S0057,fresh_review_limits.md,Human review is constrained when audit trails omit rejected evidence and reviewer rationale.,audit trail; evidence selection; human review,human review; audit,audit trail; human review,0.250000,0.666667,ontology_v1_wins,audit trail; evidence selection,evidence selection,audit,,NO,NO
HELDOUT2_S0058,fresh_benchmark_limits.md,"A route benchmark remains incomplete without operational incidents, adversarial examples, and noisy documentation.",benchmark; incident response; RouteMap segment,benchmark; documentation,benchmark,0.250000,0.333333,ontology_v1_wins,incident response; RouteMap segment,incident response; RouteMap segment,documentation,,NO,NO
HELDOUT2_S0059,fresh_policy_limits.md,Policy context can warn about risk without specifying the control step needed for a particular system.,controls; policy context; risk management,controls; source context,controls; policy context,0.250000,0.666667,ontology_v1_wins,policy context; risk management,risk management,source context,,NO,NO
HELDOUT2_S0060,fresh_support_limits.md,Answer support is fragile if relation labels are right but entity boundaries drift across passages.,answer support; evidence selection; RouteMap segment,answer support; RouteMap segment,answer support; RouteMap; RouteMap segment,0.666667,0.500000,current_extractor_wins,evidence selection,evidence selection,,RouteMap,NO,NO
HELDOUT2_S0061,fresh_eval_steps.md,"Next, assemble a second fresh split from incident reports and release-board minutes.",benchmark; incident response; model release governance,monitoring,evaluation; governance,0.000000,0.000000,both_zero_overlap,benchmark; incident response; model release governance,benchmark; incident response; model release governance,monitoring,evaluation; governance,YES,YES
HELDOUT2_S0062,fresh_release_steps.md,Future evaluation should compare model release governance rows with ordinary project-management notes.,evaluation; model release governance; source context,evaluation; governance,evaluation; governance; model release governance,0.250000,0.500000,ontology_v1_wins,model release governance; source context,source context,governance,governance,NO,NO
HELDOUT2_S0063,fresh_privacy_steps.md,Add consent-boundary examples that mix permission checks with unrelated privacy background.,consent boundary; permission boundary; privacy,permission boundary; privacy,consent boundary; permission boundary; privacy,0.666667,1.000000,ontology_v1_wins,consent boundary,,,,NO,NO
HELDOUT2_S0064,fresh_trace_steps.md,The next retrieval test should hide titles and require the extractor to infer route provenance from text alone.,retrieval trace; route extraction; route provenance,retrieval; route provenance,retrieval; route provenance,0.250000,0.250000,tie,retrieval trace; route extraction,retrieval trace; route extraction,retrieval,retrieval,NO,NO
HELDOUT2_S0065,fresh_memory_steps.md,Run an agent-memory benchmark where old context competes with newer but less relevant evidence.,agent memory; benchmark; evidence selection,benchmark,agent memory; benchmark,0.333333,0.666667,ontology_v1_wins,agent memory; evidence selection,evidence selection,,,NO,NO
HELDOUT2_S0066,fresh_tool_steps.md,"A follow-up tool-use security set should include plugins, command execution, and delegated agents.",agent memory; permission boundary; tool-use security,RouteMap segment,LLM application security; tool-use security,0.000000,0.250000,ontology_v1_wins,agent memory; permission boundary; tool-use security,agent memory; permission boundary,RouteMap segment,LLM application security,YES,NO
HELDOUT2_S0068,fresh_benchmark_steps.md,"Build noisy benchmark rows that contain definitions, caveats, and examples in a single paragraph.",benchmark; gold labels; mismatch review,benchmark,benchmark,0.333333,0.333333,tie,gold labels; mismatch review,gold labels; mismatch review,,,NO,NO
HELDOUT2_S0069,fresh_audit_steps.md,The next audit-trail test should measure whether reviewers can reconstruct the release decision.,audit trail; human review; model release governance,human review; audit,audit trail; human review,0.250000,0.666667,ontology_v1_wins,audit trail; model release governance,model release governance,audit,,NO,NO
HELDOUT2_S0070,fresh_support_steps.md,Create answer-support cases where the cited passage is relevant but the relation path is wrong.,answer support; evidence selection; RouteMap segment,RouteMap segment,answer support; RouteMap; RouteMap segment,0.333333,0.500000,ontology_v1_wins,answer support; evidence selection,evidence selection,,RouteMap,NO,NO
HELDOUT2_S0071,fresh_hospital_examples.md,"In a hospital triage review, consent evidence and safety evaluation notes can point to different routes.",AI safety evaluation; consent boundary; privacy,evaluation; privacy,AI safety evaluation; consent boundary; evaluation,0.250000,0.500000,ontology_v1_wins,AI safety evaluation; consent boundary,privacy,evaluation,evaluation,NO,NO
HELDOUT2_S0072,fresh_release_examples.md,Suppose a release board blocks launch because the audit trail lacks reviewer rationale.,audit trail; human review; model release governance,human review; audit,audit trail; governance; human review,0.250000,0.500000,ontology_v1_wins,audit trail; model release governance,model release governance,audit,governance,NO,NO
HELDOUT2_S0073,fresh_chatbot_examples.md,"When a support chatbot requests a refund-tool call, the permission boundary may depend on account history.",permission boundary; privacy; tool-use security,permission boundary,permission boundary,0.333333,0.333333,tie,privacy; tool-use security,privacy; tool-use security,,,NO,NO
HELDOUT2_S0074,fresh_memory_examples.md,One coding task may need last week's migration note rather than the newest design comment.,agent memory; route provenance; source context,RouteMap segment,,0.000000,0.000000,both_zero_overlap,agent memory; route provenance; source context,agent memory; route provenance; source context,RouteMap segment,,YES,YES
HELDOUT2_S0075,fresh_trace_examples.md,"For instance, a cited paragraph can mention privacy while failing to support the answer's consent claim.",answer support; evidence selection; privacy,privacy,consent boundary; privacy,0.333333,0.250000,current_extractor_wins,answer support; evidence selection,answer support; evidence selection,,consent boundary,NO,NO
HELDOUT2_S0076,fresh_tool_examples.md,A plugin that reads calendars and sends email illustrates why tool-use security needs separate route checks.,permission boundary; RouteMap segment; tool-use security,RouteMap segment,LLM application security; tool-use security,0.333333,0.250000,current_extractor_wins,permission boundary; tool-use security,permission boundary; RouteMap segment,,LLM application security,NO,NO
HELDOUT2_S0077,fresh_incident_examples.md,"During an incident, an operator might trace a harmful answer through retrieval logs and a stale memory entry.",agent memory; incident response; retrieval trace,retrieval,retrieval,0.000000,0.000000,both_zero_overlap,agent memory; incident response; retrieval trace,agent memory; incident response; retrieval trace,retrieval,retrieval,YES,YES
HELDOUT2_S0078,fresh_benchmark_examples.md,A synthetic benchmark row could look procedural while actually describing a concrete reviewer scenario.,benchmark; human review; RouteMap segment,benchmark; human review,benchmark; human review,0.666667,0.666667,tie,RouteMap segment,RouteMap segment,,,NO,NO
HELDOUT2_S0079,fresh_audit_examples.md,An auditor comparing two release packets may follow evidence selection differences before reading conclusions.,audit trail; evidence selection; model release governance,human review; retrieval,evidence selection; human review,0.000000,0.250000,ontology_v1_wins,audit trail; evidence selection; model release governance,audit trail; model release governance,human review; retrieval,human review,YES,NO
HELDOUT2_S0080,fresh_answer_examples.md,A final answer that cites policy context but omits the controlling route segment shows a support failure.,answer support; policy context; RouteMap segment,RouteMap segment; source context,policy context; RouteMap; RouteMap segment,0.250000,0.500000,ontology_v1_wins,answer support; policy context,answer support,source context,RouteMap,NO,NO
