segment_id,title,text,gold_role,pred_role,gold_entities,pred_entities,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,notes
HELDOUT2_S0052,fresh_release_limits.md,A complete release packet does not prove that the deployed model will behave safely after integration.,LIMITATION,LIMITATION,model release governance; AI safety evaluation; risk management,RouteMap segment,NEGATED,NEGATED,limits,limits,YES,YES,Caveat
HELDOUT2_S0053,fresh_consent_limits.md,Consent records can be too stale to justify a fresh tool action even when the interface looks authorized.,LIMITATION,CLAIM,consent boundary; permission boundary; privacy,privacy,NEGATED,ACTIVE,limits,asserts,YES,YES,Caveat
HELDOUT2_S0054,fresh_trace_limits.md,Retrieval traces may miss reasoning steps that occur after evidence enters the prompt.,LIMITATION,LIMITATION,retrieval trace; answer support; route segment,retrieval,LIMITED,LIMITED,warns_about,warns_about,YES,YES,Caveat
HELDOUT2_S0055,fresh_memory_limits.md,Agent memory can preserve obsolete source context unless review processes remove or downgrade it.,LIMITATION,LIMITATION,agent memory; source context; human review,source context; agent memory,LIMITED,LIMITED,warns_about,warns_about,YES,YES,Caveat
HELDOUT2_S0056,fresh_tool_limits.md,Permission checks are not enough when the tool output can leak private data through a later route.,LIMITATION,METHOD,permission boundary; tool-use security; privacy,privacy; permission boundary,NEGATED,ACTIVE,limits,recommends,YES,YES,Caveat
HELDOUT2_S0057,fresh_review_limits.md,Human review is constrained when audit trails omit rejected evidence and reviewer rationale.,LIMITATION,CLAIM,human review; audit trail; evidence selection,human review; audit,LIMITED,ACTIVE,warns_about,asserts,YES,YES,Caveat
HELDOUT2_S0058,fresh_benchmark_limits.md,"A route benchmark remains incomplete without operational incidents, adversarial examples, and noisy documentation.",LIMITATION,LIMITATION,benchmark; incident response; route segment,benchmark; documentation,LIMITED,LIMITED,warns_about,warns_about,YES,YES,Caveat
HELDOUT2_S0059,fresh_policy_limits.md,Policy context can warn about risk without specifying the control step needed for a particular system.,LIMITATION,LIMITATION,policy context; controls; risk management,controls; source context,LIMITED,LIMITED,warns_about,warns_about,YES,YES,Caveat
HELDOUT2_S0060,fresh_support_limits.md,Answer support is fragile if relation labels are right but entity boundaries drift across passages.,LIMITATION,CLAIM,answer support; route segment; evidence selection,answer support; RouteMap segment,LIMITED,ACTIVE,warns_about,asserts,YES,YES,Caveat
HELDOUT2_S0061,fresh_eval_steps.md,"Next, assemble a second fresh split from incident reports and release-board minutes.",NEXT_STEP,CLAIM,benchmark; incident response; model release governance,monitoring,ACTIVE,ACTIVE,proposes_next_test,asserts,YES,YES,Future work
HELDOUT2_S0062,fresh_release_steps.md,Future evaluation should compare model release governance rows with ordinary project-management notes.,NEXT_STEP,NEXT_STEP,evaluation; model release governance; source context,governance; evaluation,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,Future work
HELDOUT2_S0063,fresh_privacy_steps.md,Add consent-boundary examples that mix permission checks with unrelated privacy background.,NEXT_STEP,METHOD,consent boundary; permission boundary; privacy,privacy; permission boundary,ACTIVE,ACTIVE,proposes_next_test,recommends,YES,YES,Future work
HELDOUT2_S0064,fresh_trace_steps.md,The next retrieval test should hide titles and require the extractor to infer route provenance from text alone.,NEXT_STEP,NEXT_STEP,retrieval trace; route provenance; route extraction,retrieval; route provenance,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,Future work
HELDOUT2_S0065,fresh_memory_steps.md,Run an agent-memory benchmark where old context competes with newer but less relevant evidence.,NEXT_STEP,CLAIM,agent memory; evidence selection; benchmark,benchmark,ACTIVE,ACTIVE,proposes_next_test,asserts,YES,YES,Future work
HELDOUT2_S0066,fresh_tool_steps.md,"A follow-up tool-use security set should include plugins, command execution, and delegated agents.",NEXT_STEP,NEXT_STEP,tool-use security; permission boundary; agent memory,RouteMap segment,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,Future work
HELDOUT2_S0067,fresh_review_steps.md,Evaluate whether human review changes final answers when rejected evidence is shown.,NEXT_STEP,CLAIM,human review; evidence selection; answer support,human review,ACTIVE,ACTIVE,proposes_next_test,asserts,YES,YES,Future work
HELDOUT2_S0068,fresh_benchmark_steps.md,"Build noisy benchmark rows that contain definitions, caveats, and examples in a single paragraph.",NEXT_STEP,CLAIM,benchmark; gold labels; mismatch review,benchmark,ACTIVE,ACTIVE,proposes_next_test,asserts,YES,YES,Future work
HELDOUT2_S0069,fresh_audit_steps.md,The next audit-trail test should measure whether reviewers can reconstruct the release decision.,NEXT_STEP,NEXT_STEP,audit trail; human review; model release governance,human review; audit,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,Future work
HELDOUT2_S0070,fresh_support_steps.md,Create answer-support cases where the cited passage is relevant but the relation path is wrong.,NEXT_STEP,LIMITATION,answer support; route segment; evidence selection,RouteMap segment,ACTIVE,LIMITED,proposes_next_test,warns_about,YES,YES,Future work
HELDOUT2_S0071,fresh_hospital_examples.md,"In a hospital triage review, consent evidence and safety evaluation notes can point to different routes.",EXAMPLE,CLAIM,privacy; consent boundary; AI safety evaluation,privacy; evaluation,DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,Concrete scenario
HELDOUT2_S0072,fresh_release_examples.md,Suppose a release board blocks launch because the audit trail lacks reviewer rationale.,EXAMPLE,CLAIM,model release governance; audit trail; human review,human review; audit,DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,Concrete scenario
HELDOUT2_S0073,fresh_chatbot_examples.md,"When a support chatbot requests a refund-tool call, the permission boundary may depend on account history.",EXAMPLE,CLAIM,tool-use security; permission boundary; privacy,permission boundary,DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,Concrete scenario
HELDOUT2_S0074,fresh_memory_examples.md,One coding task may need last week's migration note rather than the newest design comment.,EXAMPLE,CLAIM,agent memory; source context; route provenance,RouteMap segment,DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,Concrete scenario
HELDOUT2_S0075,fresh_trace_examples.md,"For instance, a cited paragraph can mention privacy while failing to support the answer's consent claim.",EXAMPLE,EXAMPLE,privacy; answer support; evidence selection,privacy,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,Concrete scenario
HELDOUT2_S0076,fresh_tool_examples.md,A plugin that reads calendars and sends email illustrates why tool-use security needs separate route checks.,EXAMPLE,CLAIM,tool-use security; permission boundary; route segment,RouteMap segment,DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,Concrete scenario
HELDOUT2_S0077,fresh_incident_examples.md,"During an incident, an operator might trace a harmful answer through retrieval logs and a stale memory entry.",EXAMPLE,CLAIM,incident response; retrieval trace; agent memory,retrieval,DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,Concrete scenario
HELDOUT2_S0078,fresh_benchmark_examples.md,A synthetic benchmark row could look procedural while actually describing a concrete reviewer scenario.,EXAMPLE,CLAIM,benchmark; human review; route segment,benchmark; human review,DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,Concrete scenario
HELDOUT2_S0079,fresh_audit_examples.md,An auditor comparing two release packets may follow evidence selection differences before reading conclusions.,EXAMPLE,EXAMPLE,audit trail; evidence selection; model release governance,human review; retrieval,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,Concrete scenario
HELDOUT2_S0080,fresh_answer_examples.md,A final answer that cites policy context but omits the controlling route segment shows a support failure.,EXAMPLE,CLAIM,answer support; policy context; route segment,source context; RouteMap segment,DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,Concrete scenario
