segment_id,title,text,gold_role,pred_role,notes
HELDOUT2_S0043,fresh_privacy_results.md,The consent-boundary cases produced fewer false positives once permission checks were separated from general privacy text.,RESULT,NEXT_STEP,Observed outcome
HELDOUT2_S0044,fresh_memory_results.md,Memory routing returned older but more relevant context for tasks with hidden state dependencies.,RESULT,CLAIM,Observed outcome
HELDOUT2_S0045,fresh_tool_results.md,Tool-use security review found that missing permission logs explained most rejected actions.,RESULT,METHOD,Observed outcome
HELDOUT2_S0047,fresh_human_review_results.md,Human reviewers agreed more often when the retrieval trace displayed rejected evidence as well as accepted evidence.,RESULT,METHOD,Observed outcome
HELDOUT2_S0048,fresh_audit_results.md,Audit trail inspection showed that answer support was present in seven of nine release decisions.,RESULT,CLAIM,Observed outcome
HELDOUT2_S0049,fresh_selection_results.md,Evidence selection improved after source context was grouped by route segment instead of document order.,RESULT,BACKGROUND,Observed outcome
HELDOUT2_S0054,fresh_trace_limits.md,Retrieval traces may miss reasoning steps that occur after evidence enters the prompt.,LIMITATION,EXAMPLE,Caveat
HELDOUT2_S0055,fresh_memory_limits.md,Agent memory can preserve obsolete source context unless review processes remove or downgrade it.,LIMITATION,CLAIM,Caveat
HELDOUT2_S0056,fresh_tool_limits.md,Permission checks are not enough when the tool output can leak private data through a later route.,LIMITATION,METHOD,Caveat
HELDOUT2_S0057,fresh_review_limits.md,Human review is constrained when audit trails omit rejected evidence and reviewer rationale.,LIMITATION,METHOD,Caveat
HELDOUT2_S0062,fresh_release_steps.md,Future evaluation should compare model release governance rows with ordinary project-management notes.,NEXT_STEP,BACKGROUND,Future work
HELDOUT2_S0065,fresh_memory_steps.md,Run an agent-memory benchmark where old context competes with newer but less relevant evidence.,NEXT_STEP,CLAIM,Future work
HELDOUT2_S0066,fresh_tool_steps.md,"A follow-up tool-use security set should include plugins, command execution, and delegated agents.",NEXT_STEP,METHOD,Future work
HELDOUT2_S0067,fresh_review_steps.md,Evaluate whether human review changes final answers when rejected evidence is shown.,NEXT_STEP,METHOD,Future work
HELDOUT2_S0070,fresh_support_steps.md,Create answer-support cases where the cited passage is relevant but the relation path is wrong.,NEXT_STEP,DEFINE,Future work
HELDOUT2_S0072,fresh_release_examples.md,Suppose a release board blocks launch because the audit trail lacks reviewer rationale.,EXAMPLE,METHOD,Concrete scenario
HELDOUT2_S0075,fresh_trace_examples.md,"For instance, a cited paragraph can mention privacy while failing to support the answer's consent claim.",EXAMPLE,NEXT_STEP,Concrete scenario
HELDOUT2_S0076,fresh_tool_examples.md,A plugin that reads calendars and sends email illustrates why tool-use security needs separate route checks.,EXAMPLE,METHOD,Concrete scenario
HELDOUT2_S0080,fresh_answer_examples.md,A final answer that cites policy context but omits the controlling route segment shows a support failure.,EXAMPLE,DEFINE,Concrete scenario
