setting,model,metric_type,label,accuracy,f1,count
A_existing_train_dev,simple_centroid_tfidf_like,per_role_f1,RESULT,,0.933333,8
A_existing_train_dev,simple_centroid_tfidf_like,per_role_f1,LIMITATION,,0.000000,0
A_existing_train_dev,simple_centroid_tfidf_like,per_role_f1,NEXT_STEP,,0.000000,0
A_existing_train_dev,simple_centroid_tfidf_like,per_role_f1,EXAMPLE,,0.500000,4
B_plus_boundary_train,word_unigram_nb,overall,ALL,0.950000,,40
B_plus_boundary_train,word_unigram_nb,boundary_pair,BACKGROUND_vs_CLAIM,1.000000,,5
B_plus_boundary_train,word_unigram_nb,boundary_pair,BACKGROUND_vs_EXAMPLE,1.000000,,5
B_plus_boundary_train,word_unigram_nb,boundary_pair,BACKGROUND_vs_RESULT,1.000000,,5
B_plus_boundary_train,word_unigram_nb,boundary_pair,CLAIM_vs_DEFINE,0.600000,,5
B_plus_boundary_train,word_unigram_nb,boundary_pair,CLAIM_vs_METHOD,1.000000,,5
B_plus_boundary_train,word_unigram_nb,boundary_pair,METHOD_vs_EXAMPLE,1.000000,,5
B_plus_boundary_train,word_unigram_nb,boundary_pair,RESULT_vs_CLAIM,1.000000,,5
B_plus_boundary_train,word_unigram_nb,boundary_pair,RESULT_vs_METHOD,1.000000,,5
B_plus_boundary_train,word_unigram_nb,per_role_f1,BACKGROUND,,0.947368,9
B_plus_boundary_train,word_unigram_nb,per_role_f1,CLAIM,,1.000000,10
B_plus_boundary_train,word_unigram_nb,per_role_f1,DEFINE,,0.000000,2
B_plus_boundary_train,word_unigram_nb,per_role_f1,METHOD,,1.000000,7
B_plus_boundary_train,word_unigram_nb,per_role_f1,RESULT,,0.941176,8
B_plus_boundary_train,word_unigram_nb,per_role_f1,LIMITATION,,0.000000,0
B_plus_boundary_train,word_unigram_nb,per_role_f1,NEXT_STEP,,0.000000,0
B_plus_boundary_train,word_unigram_nb,per_role_f1,EXAMPLE,,1.000000,4
B_plus_boundary_train,word_unigram_bigram_nb,overall,ALL,0.950000,,40
B_plus_boundary_train,word_unigram_bigram_nb,boundary_pair,BACKGROUND_vs_CLAIM,1.000000,,5
B_plus_boundary_train,word_unigram_bigram_nb,boundary_pair,BACKGROUND_vs_EXAMPLE,1.000000,,5
B_plus_boundary_train,word_unigram_bigram_nb,boundary_pair,BACKGROUND_vs_RESULT,1.000000,,5
B_plus_boundary_train,word_unigram_bigram_nb,boundary_pair,CLAIM_vs_DEFINE,0.600000,,5
B_plus_boundary_train,word_unigram_bigram_nb,boundary_pair,CLAIM_vs_METHOD,1.000000,,5
B_plus_boundary_train,word_unigram_bigram_nb,boundary_pair,METHOD_vs_EXAMPLE,1.000000,,5
B_plus_boundary_train,word_unigram_bigram_nb,boundary_pair,RESULT_vs_CLAIM,1.000000,,5
B_plus_boundary_train,word_unigram_bigram_nb,boundary_pair,RESULT_vs_METHOD,1.000000,,5
B_plus_boundary_train,word_unigram_bigram_nb,per_role_f1,BACKGROUND,,0.947368,9
B_plus_boundary_train,word_unigram_bigram_nb,per_role_f1,CLAIM,,1.000000,10
B_plus_boundary_train,word_unigram_bigram_nb,per_role_f1,DEFINE,,0.000000,2
B_plus_boundary_train,word_unigram_bigram_nb,per_role_f1,METHOD,,1.000000,7
B_plus_boundary_train,word_unigram_bigram_nb,per_role_f1,RESULT,,0.941176,8
B_plus_boundary_train,word_unigram_bigram_nb,per_role_f1,LIMITATION,,0.000000,0
B_plus_boundary_train,word_unigram_bigram_nb,per_role_f1,NEXT_STEP,,0.000000,0
B_plus_boundary_train,word_unigram_bigram_nb,per_role_f1,EXAMPLE,,1.000000,4
B_plus_boundary_train,char_3_5gram_nb,overall,ALL,0.950000,,40
B_plus_boundary_train,char_3_5gram_nb,boundary_pair,BACKGROUND_vs_CLAIM,1.000000,,5
B_plus_boundary_train,char_3_5gram_nb,boundary_pair,BACKGROUND_vs_EXAMPLE,1.000000,,5
B_plus_boundary_train,char_3_5gram_nb,boundary_pair,BACKGROUND_vs_RESULT,1.000000,,5
B_plus_boundary_train,char_3_5gram_nb,boundary_pair,CLAIM_vs_DEFINE,0.600000,,5
B_plus_boundary_train,char_3_5gram_nb,boundary_pair,CLAIM_vs_METHOD,1.000000,,5
B_plus_boundary_train,char_3_5gram_nb,boundary_pair,METHOD_vs_EXAMPLE,1.000000,,5
B_plus_boundary_train,char_3_5gram_nb,boundary_pair,RESULT_vs_CLAIM,1.000000,,5
B_plus_boundary_train,char_3_5gram_nb,boundary_pair,RESULT_vs_METHOD,1.000000,,5
B_plus_boundary_train,char_3_5gram_nb,per_role_f1,BACKGROUND,,1.000000,9
B_plus_boundary_train,char_3_5gram_nb,per_role_f1,CLAIM,,1.000000,10
B_plus_boundary_train,char_3_5gram_nb,per_role_f1,DEFINE,,0.000000,2
B_plus_boundary_train,char_3_5gram_nb,per_role_f1,METHOD,,1.000000,7
B_plus_boundary_train,char_3_5gram_nb,per_role_f1,RESULT,,0.888889,8
B_plus_boundary_train,char_3_5gram_nb,per_role_f1,LIMITATION,,0.000000,0
B_plus_boundary_train,char_3_5gram_nb,per_role_f1,NEXT_STEP,,0.000000,0
B_plus_boundary_train,char_3_5gram_nb,per_role_f1,EXAMPLE,,1.000000,4
B_plus_boundary_train,simple_centroid_tfidf_like,overall,ALL,0.950000,,40
B_plus_boundary_train,simple_centroid_tfidf_like,boundary_pair,BACKGROUND_vs_CLAIM,1.000000,,5
B_plus_boundary_train,simple_centroid_tfidf_like,boundary_pair,BACKGROUND_vs_EXAMPLE,1.000000,,5
B_plus_boundary_train,simple_centroid_tfidf_like,boundary_pair,BACKGROUND_vs_RESULT,1.000000,,5
B_plus_boundary_train,simple_centroid_tfidf_like,boundary_pair,CLAIM_vs_DEFINE,0.600000,,5
B_plus_boundary_train,simple_centroid_tfidf_like,boundary_pair,CLAIM_vs_METHOD,1.000000,,5
B_plus_boundary_train,simple_centroid_tfidf_like,boundary_pair,METHOD_vs_EXAMPLE,1.000000,,5
B_plus_boundary_train,simple_centroid_tfidf_like,boundary_pair,RESULT_vs_CLAIM,1.000000,,5
B_plus_boundary_train,simple_centroid_tfidf_like,boundary_pair,RESULT_vs_METHOD,1.000000,,5
B_plus_boundary_train,simple_centroid_tfidf_like,per_role_f1,BACKGROUND,,0.947368,9
B_plus_boundary_train,simple_centroid_tfidf_like,per_role_f1,CLAIM,,1.000000,10
B_plus_boundary_train,simple_centroid_tfidf_like,per_role_f1,DEFINE,,0.000000,2
B_plus_boundary_train,simple_centroid_tfidf_like,per_role_f1,METHOD,,1.000000,7
B_plus_boundary_train,simple_centroid_tfidf_like,per_role_f1,RESULT,,1.000000,8
B_plus_boundary_train,simple_centroid_tfidf_like,per_role_f1,LIMITATION,,0.000000,0
B_plus_boundary_train,simple_centroid_tfidf_like,per_role_f1,NEXT_STEP,,0.000000,0
B_plus_boundary_train,simple_centroid_tfidf_like,per_role_f1,EXAMPLE,,0.888889,4
