segment_id,title,text,original_gold_role,adjudicated_role,pred_role,adjudication_status,rubric_issue,adjudication_reason
HELDOUT2_S0035,fresh_tool_methods.md,"Log tool calls with permission scope, selected route segment, and the reason the action was allowed.",METHOD,METHOD,EXAMPLE,ACCEPT_GOLD,METHOD_EXAMPLE_BOUNDARY,Log tool calls describes a reusable security procedure.
HELDOUT2_S0036,fresh_incident_methods.md,"During an incident review, connect symptoms to retrieval traces and then to the control that failed.",METHOD,METHOD,EXAMPLE,ACCEPT_GOLD,METHOD_EXAMPLE_BOUNDARY,Connect symptoms to traces and controls describes incident-review procedure.
HELDOUT2_S0037,fresh_benchmark_methods.md,"Sample benchmark rows from policy context, operational procedures, examples, and caveats in equal measure.",METHOD,METHOD,RESULT,ACCEPT_GOLD,NONE,Sample benchmark rows describes dataset construction procedure.
HELDOUT2_S0039,fresh_audit_methods.md,Store audit trail entries beside answer support so later reviewers can reproduce the decision.,METHOD,METHOD,DEFINE,ACCEPT_GOLD,NONE,Imperative store describes a reusable audit procedure.
HELDOUT2_S0042,fresh_release_results.md,Release reviewers resolved blocked decisions faster when caveats appeared beside the evidence packet.,RESULT,RESULT,CLAIM,ACCEPT_GOLD,RESULT_CLAIM_BOUNDARY,Resolved faster reports an observed review outcome.
HELDOUT2_S0043,fresh_privacy_results.md,The consent-boundary cases produced fewer false positives once permission checks were separated from general privacy text.,RESULT,RESULT,NEXT_STEP,ACCEPT_GOLD,RESULT_CLAIM_BOUNDARY,Produced fewer false positives reports an observed test outcome.
HELDOUT2_S0044,fresh_memory_results.md,Memory routing returned older but more relevant context for tasks with hidden state dependencies.,RESULT,RESULT,CLAIM,ACCEPT_GOLD,RESULT_CLAIM_BOUNDARY,Returned older but relevant context reports observed memory-routing behaviour.
HELDOUT2_S0045,fresh_tool_results.md,Tool-use security review found that missing permission logs explained most rejected actions.,RESULT,RESULT,METHOD,ACCEPT_GOLD,RESULT_CLAIM_BOUNDARY,Review found an explanation for rejected actions.
HELDOUT2_S0047,fresh_human_review_results.md,Human reviewers agreed more often when the retrieval trace displayed rejected evidence as well as accepted evidence.,RESULT,RESULT,METHOD,ACCEPT_GOLD,RESULT_CLAIM_BOUNDARY,Human reviewers agreed more often reports an observed review outcome.
HELDOUT2_S0048,fresh_audit_results.md,Audit trail inspection showed that answer support was present in seven of nine release decisions.,RESULT,RESULT,CLAIM,ACCEPT_GOLD,RESULT_CLAIM_BOUNDARY,Inspection showed presence reports an observed audit outcome.
HELDOUT2_S0049,fresh_selection_results.md,Evidence selection improved after source context was grouped by route segment instead of document order.,RESULT,RESULT,BACKGROUND,ACCEPT_GOLD,RESULT_CLAIM_BOUNDARY,Improved after grouping reports an observed evidence-selection outcome.
HELDOUT2_S0054,fresh_trace_limits.md,Retrieval traces may miss reasoning steps that occur after evidence enters the prompt.,LIMITATION,LIMITATION,EXAMPLE,ACCEPT_GOLD,NONE,May miss reasoning steps states a caveat about retrieval traces.
HELDOUT2_S0055,fresh_memory_limits.md,Agent memory can preserve obsolete source context unless review processes remove or downgrade it.,LIMITATION,LIMITATION,CLAIM,ACCEPT_GOLD,NONE,Can preserve obsolete context unless reviewed states a failure mode.
HELDOUT2_S0056,fresh_tool_limits.md,Permission checks are not enough when the tool output can leak private data through a later route.,LIMITATION,LIMITATION,METHOD,ACCEPT_GOLD,NONE,Not enough states insufficiency of permission checks.
HELDOUT2_S0057,fresh_review_limits.md,Human review is constrained when audit trails omit rejected evidence and reviewer rationale.,LIMITATION,LIMITATION,METHOD,ACCEPT_GOLD,NONE,Constrained signals a caveat about human review evidence.
HELDOUT2_S0062,fresh_release_steps.md,Future evaluation should compare model release governance rows with ordinary project-management notes.,NEXT_STEP,NEXT_STEP,BACKGROUND,ACCEPT_GOLD,NEXT_STEP_METHOD_BOUNDARY,Future evaluation proposes a comparison test.
HELDOUT2_S0065,fresh_memory_steps.md,Run an agent-memory benchmark where old context competes with newer but less relevant evidence.,NEXT_STEP,NEXT_STEP,CLAIM,ACCEPT_GOLD,NEXT_STEP_METHOD_BOUNDARY,Run a benchmark proposes a future evaluation action.
HELDOUT2_S0066,fresh_tool_steps.md,"A follow-up tool-use security set should include plugins, command execution, and delegated agents.",NEXT_STEP,NEXT_STEP,METHOD,ACCEPT_GOLD,NEXT_STEP_METHOD_BOUNDARY,Follow-up set should include cases proposes future benchmark content.
HELDOUT2_S0070,fresh_support_steps.md,Create answer-support cases where the cited passage is relevant but the relation path is wrong.,NEXT_STEP,NEXT_STEP,DEFINE,ACCEPT_GOLD,NEXT_STEP_METHOD_BOUNDARY,Create cases proposes future answer-support test data.
HELDOUT2_S0072,fresh_release_examples.md,Suppose a release board blocks launch because the audit trail lacks reviewer rationale.,EXAMPLE,EXAMPLE,METHOD,ACCEPT_GOLD,METHOD_EXAMPLE_BOUNDARY,Suppose introduces a concrete release-board scenario.
HELDOUT2_S0075,fresh_trace_examples.md,"For instance, a cited paragraph can mention privacy while failing to support the answer's consent claim.",EXAMPLE,EXAMPLE,NEXT_STEP,ACCEPT_GOLD,METHOD_EXAMPLE_BOUNDARY,For instance introduces a concrete cited-paragraph scenario.
HELDOUT2_S0076,fresh_tool_examples.md,A plugin that reads calendars and sends email illustrates why tool-use security needs separate route checks.,EXAMPLE,EXAMPLE,METHOD,ACCEPT_GOLD,METHOD_EXAMPLE_BOUNDARY,Plugin case illustrates a concrete tool-use security scenario.
HELDOUT2_S0080,fresh_answer_examples.md,A final answer that cites policy context but omits the controlling route segment shows a support failure.,EXAMPLE,EXAMPLE,DEFINE,ACCEPT_GOLD,MULTIWAY_AMBIGUOUS,Final-answer case is a concrete support-failure scenario.
