segment_id,title,text,gold_role,pred_role,gold_entities,pred_entities,gold_operative_status,pred_operative_status,gold_relation,pred_relation,gold_answer_relevant,pred_answer_relevant,notes
HELDOUT_S0030,heldout_context_definitions.md,Context collapse describes the loss of task-relevant structure when many passages are merged into one prompt.,DEFINE,CLAIM,RouteMap segment,RouteMap segment,DESCRIPTIVE,ACTIVE,defines,asserts,YES,YES,Defines a term
HELDOUT_S0031,heldout_annotation_methods.md,"Start by mapping the user question to candidate roles, then retrieve passages that fill each role before composing the answer.",METHOD,CLAIM,RouteMap segment,RouteMap segment,ACTIVE,ACTIVE,maps_to,asserts,YES,YES,Procedure
HELDOUT_S0032,heldout_security_methods.md,"The security reviewer should identify tool permissions, untrusted inputs, output handling, and logging gaps before approval.",METHOD,METHOD,permission boundary; human review; LLM application security,tool risk,ACTIVE,ACTIVE,recommends,recommends,YES,YES,Procedure
HELDOUT_S0033,heldout_testing_methods.md,"Run canary prompts against the retrieval stack, inspect the selected segments, and record any unsupported answer claims.",METHOD,CLAIM,retrieval; evaluation,retrieval,ACTIVE,ACTIVE,recommends,asserts,YES,YES,Procedure
HELDOUT_S0034,heldout_eval_methods.md,"For each query, retrieve candidates with both route labels and keyword fallback, then compare the ranked evidence sets.",METHOD,CLAIM,evaluation,RouteMap,ACTIVE,ACTIVE,maps_to,asserts,YES,YES,Procedure
HELDOUT_S0035,heldout_deployment_methods.md,"A deployment workflow should consider model version, data source freshness, human escalation, and rollback criteria.",METHOD,METHOD,human review; source context,model behavior; data,ACTIVE,ACTIVE,recommends,recommends,YES,YES,Procedure
HELDOUT_S0036,heldout_review_methods.md,Operators compare the generated answer with source segments and flag any claim that lacks a supporting route.,METHOD,CLAIM,source context,RouteMap segment,ACTIVE,ACTIVE,maps_to,asserts,YES,YES,Procedure
HELDOUT_S0037,heldout_two_pass_methods.md,"Use a two-pass review: first assign passage roles, then verify whether the answer used the right role sequence.",METHOD,CLAIM,RouteMap segment,RouteMap segment,ACTIVE,ACTIVE,recommends,asserts,YES,YES,Procedure
HELDOUT_S0038,heldout_procedure_methods.md,"The procedure records the query, route candidates, accepted evidence, rejected evidence, and reviewer rationale.",METHOD,METHOD,human review,RouteMap segment,ACTIVE,ACTIVE,maps_to,recommends,YES,YES,Procedure
HELDOUT_S0039,heldout_annotation_methods.md,"During annotation, a reviewer marks the main role first and adds relation notes only after the role label is stable.",METHOD,CLAIM,human review,RouteMap segment,ACTIVE,ACTIVE,recommends,asserts,YES,YES,Procedure
HELDOUT_S0040,heldout_monitoring_methods.md,"A monitoring routine samples live answers, checks source drift, and opens review tickets for unsupported routes.",METHOD,CLAIM,monitoring; source context,monitoring,ACTIVE,ACTIVE,maps_to,asserts,YES,YES,Procedure
HELDOUT_S0041,heldout_pilot_results.md,The pilot run found that route labels recovered five answer-relevant passages missed by keyword search.,RESULT,CLAIM,RouteMap segment,RouteMap,DESCRIPTIVE,ACTIVE,supports_retrieval,asserts,YES,YES,Reported finding
HELDOUT_S0042,heldout_split_results.md,The held-out split produced a balanced confusion table with most errors concentrated in claim versus method.,RESULT,CLAIM,RouteMap segment,RouteMap segment,DESCRIPTIVE,ACTIVE,reports_usefulness,asserts,YES,YES,Reported finding
HELDOUT_S0043,heldout_annotation_results.md,The annotation pass yielded ten examples per role and exposed disagreement around benchmark setup rows.,RESULT,CLAIM,benchmark,benchmark,DESCRIPTIVE,ACTIVE,reports_usefulness,asserts,YES,YES,Reported finding
HELDOUT_S0044,heldout_index_results.md,A route index reduced review time in the sandbox because assessors could jump directly to supporting passages.,RESULT,CLAIM,RouteMap segment,RouteMap segment,DESCRIPTIVE,ACTIVE,reports_usefulness,asserts,YES,YES,Reported finding
HELDOUT_S0045,heldout_classifier_results.md,The classifier matched all title rows but missed several definition rows that lacked obvious trigger words.,RESULT,CLAIM,RouteMap segment,RouteMap segment,DESCRIPTIVE,ACTIVE,reports_usefulness,asserts,YES,YES,Reported finding
HELDOUT_S0046,heldout_review_results.md,Human review showed that privacy examples were easier to identify than abstract governance claims.,RESULT,CLAIM,privacy; governance; human review,data protection; governance,DESCRIPTIVE,ACTIVE,reports_usefulness,asserts,YES,YES,Reported finding
HELDOUT_S0047,heldout_document_results.md,"This document is useful for retrieval because it separates source context, process advice, and caveats.",RESULT,RESULT,retrieval; source context; evaluation,retrieval,DESCRIPTIVE,DESCRIPTIVE,supports_retrieval,supports_retrieval,YES,YES,Reported usefulness
HELDOUT_S0048,heldout_error_results.md,The held-out sample exposed overreliance on the word process as a method cue.,RESULT,CLAIM,RouteMap segment,RouteMap segment,DESCRIPTIVE,ACTIVE,reports_usefulness,asserts,YES,YES,Reported finding
HELDOUT_S0049,heldout_log_results.md,Evaluation logs showed higher recall when route edges were kept with the selected text.,RESULT,CLAIM,evaluation,RouteMap segment,DESCRIPTIVE,ACTIVE,supports_retrieval,asserts,YES,YES,Reported finding
HELDOUT_S0050,heldout_report_results.md,The retrieval report marked the no-leak condition as a harder test than the heading-aware condition.,RESULT,CLAIM,retrieval; evaluation,retrieval,DESCRIPTIVE,ACTIVE,supports_retrieval,asserts,YES,YES,Reported finding
HELDOUT_S0051,heldout_safety_limitations.md,The audit method does not by itself prove that a deployed model is safe under new user behavior.,LIMITATION,LIMITATION,audit,model behavior,NEGATED,NEGATED,limits,limits,YES,YES,Caveat/constraint
HELDOUT_S0052,heldout_domain_limitations.md,A benchmark built from one policy domain can overstate performance on operational incident reports.,LIMITATION,CLAIM,benchmark,benchmark,LIMITED,ACTIVE,warns_about,asserts,YES,YES,Caveat/constraint
HELDOUT_S0053,heldout_privacy_limitations.md,"Consent signals may be absent, stale, or too broad to justify a specific downstream model use.",LIMITATION,CLAIM,privacy; permission boundary,data protection; model behavior,NEGATED,ACTIVE,limits,asserts,YES,YES,Caveat/constraint
HELDOUT_S0054,heldout_measurement_limitations.md,"Risk labels remain difficult when harms are delayed, distributed across actors, or visible only after deployment.",LIMITATION,CLAIM,RouteMap segment,AI risk; measurement,LIMITED,ACTIVE,warns_about,asserts,YES,YES,Caveat/constraint
HELDOUT_S0055,heldout_synthetic_limitations.md,Synthetic passages can hide retrieval weaknesses because their structure is cleaner than production documentation.,LIMITATION,CLAIM,retrieval; documentation; evaluation,retrieval,LIMITED,ACTIVE,warns_about,asserts,YES,YES,Caveat/constraint
HELDOUT_S0056,heldout_monitoring_limitations.md,"Model monitoring does not replace adversarial testing, source inspection, or incident response planning.",LIMITATION,LIMITATION,incident response; monitoring; source context,monitoring; model behavior,NEGATED,NEGATED,limits,limits,YES,YES,Caveat/constraint
HELDOUT_S0057,heldout_threat_limitations.md,"A top-ten risk list is not a complete threat model for every sector, product, or deployment path.",LIMITATION,LIMITATION,RouteMap segment,AI risk; model behavior,NEGATED,NEGATED,limits,limits,YES,YES,Caveat/constraint
HELDOUT_S0058,heldout_sample_limitations.md,Small gold sets leave uncertainty about whether the classifier learned roles or memorized document style.,LIMITATION,CLAIM,RouteMap segment,RouteMap segment,LIMITED,ACTIVE,warns_about,asserts,YES,YES,Caveat/constraint
HELDOUT_S0060,heldout_judging_limitations.md,The evaluator cannot judge whether an answer is socially acceptable when the gold file only records retrieval relevance.,LIMITATION,CLAIM,retrieval; evaluation,retrieval,NEGATED,NEGATED,limits,asserts,YES,YES,Caveat/constraint
HELDOUT_S0061,heldout_future_eval_steps.md,"Future work should add passages from incident reports, procurement checklists, and model release notes.",NEXT_STEP,NEXT_STEP,evaluation,model behavior,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,Future evaluation action
HELDOUT_S0064,heldout_review_steps.md,Reviewers should next compare v3 errors with human disagreement rather than only counting exact matches.,NEXT_STEP,CLAIM,human review,RouteMap segment,ACTIVE,ACTIVE,proposes_next_test,asserts,YES,YES,Recommended follow-up
HELDOUT_S0065,heldout_system_steps.md,"A practical implementation should combine route labels, embeddings, lexical search, and explicit abstention.",NEXT_STEP,NEXT_STEP,RouteMap segment,RouteMap,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,Future implementation action
HELDOUT_S0066,heldout_adversarial_steps.md,Add adversarial passages that mention risk and process while serving as claims or background context.,NEXT_STEP,CLAIM,RouteMap segment,AI risk,ACTIVE,ACTIVE,proposes_next_test,asserts,YES,YES,Future evaluation action
HELDOUT_S0067,heldout_metric_steps.md,The next evaluation should measure whether role errors change final answer correctness.,NEXT_STEP,CLAIM,evaluation,RouteMap segment,ACTIVE,ACTIVE,proposes_next_test,asserts,YES,YES,Future evaluation action
HELDOUT_S0068,heldout_privacy_steps.md,Future work should separate privacy definitions from examples involving consent failures.,NEXT_STEP,NEXT_STEP,privacy; permission boundary,data protection,ACTIVE,ACTIVE,proposes_next_test,proposes_next_test,YES,YES,Future evaluation action
HELDOUT_S0069,heldout_split_steps.md,Build a second held-out split with documents from domains that were not used during rule design.,NEXT_STEP,CLAIM,RouteMap segment,RouteMap segment,ACTIVE,ACTIVE,proposes_next_test,asserts,YES,YES,Future evaluation action
HELDOUT_S0070,heldout_adjudication_steps.md,Re-run the classifier after labels are adjudicated and archive both the old and new mismatch files.,NEXT_STEP,CLAIM,RouteMap segment,RouteMap segment,ACTIVE,ACTIVE,proposes_next_test,asserts,YES,YES,Recommended follow-up
HELDOUT_S0071,heldout_healthcare_examples.md,"A hospital model that ranks patients for follow-up illustrates how privacy, safety, and triage evidence can overlap.",EXAMPLE,CLAIM,privacy,data protection; model behavior,DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,Concrete scenario
HELDOUT_S0073,heldout_finance_examples.md,A model that predicts loan churn from transaction history gives a concrete privacy and fairness review case.,EXAMPLE,EXAMPLE,privacy,data protection; fairness; model behavior,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,Concrete scenario
HELDOUT_S0074,heldout_coding_examples.md,"A coding agent may retrieve a permission check, a route handler, and a migration before editing an authorization path.",EXAMPLE,EXAMPLE,permission boundary,RouteMap segment,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,Concrete scenario
HELDOUT_S0075,heldout_poisoning_examples.md,A data poisoning scenario could insert false safety claims into a retrieval corpus before model evaluation.,EXAMPLE,EXAMPLE,retrieval; evaluation,retrieval; model behavior; data,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,Concrete scenario
HELDOUT_S0076,heldout_reviewer_examples.md,A reviewer asking which controls failed can require one limitation passage and one incident timeline passage.,EXAMPLE,CLAIM,controls; human review,RouteMap segment,DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,Concrete scenario
HELDOUT_S0078,heldout_hiring_examples.md,"A model used to screen job applicants may need separate routes for bias evidence, appeal process, and audit logs.",EXAMPLE,EXAMPLE,audit,model behavior,DESCRIPTIVE,DESCRIPTIVE,gives_example,gives_example,YES,YES,Concrete scenario
HELDOUT_S0079,heldout_privacy_examples.md,"A privacy officer checking a chatbot transcript might trace user consent, retained context, and deletion obligations.",EXAMPLE,CLAIM,privacy; permission boundary,data protection,DESCRIPTIVE,ACTIVE,gives_example,asserts,YES,YES,Concrete scenario
