segment_id,title,text,original_gold_role,adjudicated_role,pred_role,adjudication_status,rubric_issue,adjudication_reason
HELDOUT2_S0030,fresh_review_terms.md,Human-review checkpoint names a decision point where automated evidence must be inspected before action.,DEFINE,DEFINE,CLAIM,ACCEPT_GOLD,CLAIM_DEFINE_BOUNDARY,Names a decision point and gives term identity.
HELDOUT2_S0032,fresh_release_methods.md,"Before launch, collect release evidence, unresolved limitations, and reviewer sign-off in one packet.",METHOD,METHOD,CLAIM,ACCEPT_GOLD,METHOD_EXAMPLE_BOUNDARY,Before launch collect describes an approval procedure.
HELDOUT2_S0034,fresh_memory_methods.md,"Rank memory candidates by route dependency, source age, and whether the task needs hidden state.",METHOD,METHOD,CLAIM,ACCEPT_GOLD,NONE,Rank memory candidates describes a reusable procedure.
HELDOUT2_S0035,fresh_tool_methods.md,"Log tool calls with permission scope, selected route segment, and the reason the action was allowed.",METHOD,METHOD,CLAIM,ACCEPT_GOLD,METHOD_EXAMPLE_BOUNDARY,Log tool calls describes a reusable security procedure.
HELDOUT2_S0036,fresh_incident_methods.md,"During an incident review, connect symptoms to retrieval traces and then to the control that failed.",METHOD,METHOD,CLAIM,ACCEPT_GOLD,METHOD_EXAMPLE_BOUNDARY,Connect symptoms to traces and controls describes incident-review procedure.
HELDOUT2_S0038,fresh_human_review_methods.md,Route uncertain answers to human review when evidence selection conflicts with the final answer.,METHOD,METHOD,CLAIM,ACCEPT_GOLD,NEXT_STEP_METHOD_BOUNDARY,Route uncertain answers describes a reusable review procedure.
HELDOUT2_S0039,fresh_audit_methods.md,Store audit trail entries beside answer support so later reviewers can reproduce the decision.,METHOD,METHOD,CLAIM,ACCEPT_GOLD,NONE,Imperative store describes a reusable audit procedure.
HELDOUT2_S0041,fresh_trace_results.md,The evaluation run recovered more answer-support passages after route provenance was kept with the snippets.,RESULT,RESULT,METHOD,ACCEPT_GOLD,RESULT_CLAIM_BOUNDARY,Recovered more passages reports evaluation-run output.
HELDOUT2_S0042,fresh_release_results.md,Release reviewers resolved blocked decisions faster when caveats appeared beside the evidence packet.,RESULT,RESULT,CLAIM,ACCEPT_GOLD,RESULT_CLAIM_BOUNDARY,Resolved faster reports an observed review outcome.
HELDOUT2_S0043,fresh_privacy_results.md,The consent-boundary cases produced fewer false positives once permission checks were separated from general privacy text.,RESULT,RESULT,METHOD,ACCEPT_GOLD,RESULT_CLAIM_BOUNDARY,Produced fewer false positives reports an observed test outcome.
HELDOUT2_S0044,fresh_memory_results.md,Memory routing returned older but more relevant context for tasks with hidden state dependencies.,RESULT,RESULT,CLAIM,ACCEPT_GOLD,RESULT_CLAIM_BOUNDARY,Returned older but relevant context reports observed memory-routing behaviour.
HELDOUT2_S0046,fresh_benchmark_results.md,A mixed benchmark split exposed brittle behaviour on examples that looked like procedures.,RESULT,RESULT,METHOD,ACCEPT_GOLD,RESULT_CLAIM_BOUNDARY,Exposed brittle behaviour reports benchmark outcome.
HELDOUT2_S0047,fresh_human_review_results.md,Human reviewers agreed more often when the retrieval trace displayed rejected evidence as well as accepted evidence.,RESULT,RESULT,METHOD,ACCEPT_GOLD,RESULT_CLAIM_BOUNDARY,Human reviewers agreed more often reports an observed review outcome.
HELDOUT2_S0049,fresh_selection_results.md,Evidence selection improved after source context was grouped by route segment instead of document order.,RESULT,RESULT,CLAIM,ACCEPT_GOLD,RESULT_CLAIM_BOUNDARY,Improved after grouping reports an observed evidence-selection outcome.
HELDOUT2_S0051,fresh_eval_limits.md,Future benchmark rounds may still overstate generalisation if they reuse the same policy vocabulary.,LIMITATION,LIMITATION,NEXT_STEP,ACCEPT_GOLD,NONE,May overstate generalisation states a caveat despite future wording.
HELDOUT2_S0053,fresh_consent_limits.md,Consent records can be too stale to justify a fresh tool action even when the interface looks authorized.,LIMITATION,LIMITATION,CLAIM,ACCEPT_GOLD,NONE,Too stale to justify action is an insufficiency caveat.
HELDOUT2_S0056,fresh_tool_limits.md,Permission checks are not enough when the tool output can leak private data through a later route.,LIMITATION,LIMITATION,METHOD,ACCEPT_GOLD,NONE,Not enough states insufficiency of permission checks.
HELDOUT2_S0057,fresh_review_limits.md,Human review is constrained when audit trails omit rejected evidence and reviewer rationale.,LIMITATION,LIMITATION,METHOD,ACCEPT_GOLD,NONE,Constrained signals a caveat about human review evidence.
HELDOUT2_S0060,fresh_support_limits.md,Answer support is fragile if relation labels are right but entity boundaries drift across passages.,LIMITATION,LIMITATION,CLAIM,ACCEPT_GOLD,NONE,Fragile if labels drift states a boundary/failure mode.
HELDOUT2_S0063,fresh_privacy_steps.md,Add consent-boundary examples that mix permission checks with unrelated privacy background.,NEXT_STEP,NEXT_STEP,METHOD,ACCEPT_GOLD,NEXT_STEP_METHOD_BOUNDARY,Add examples proposes future test data.
HELDOUT2_S0065,fresh_memory_steps.md,Run an agent-memory benchmark where old context competes with newer but less relevant evidence.,NEXT_STEP,NEXT_STEP,CLAIM,ACCEPT_GOLD,NEXT_STEP_METHOD_BOUNDARY,Run a benchmark proposes a future evaluation action.
HELDOUT2_S0068,fresh_benchmark_steps.md,"Build noisy benchmark rows that contain definitions, caveats, and examples in a single paragraph.",NEXT_STEP,NEXT_STEP,CLAIM,ACCEPT_GOLD,NEXT_STEP_METHOD_BOUNDARY,Build noisy benchmark rows proposes future benchmark construction.
HELDOUT2_S0070,fresh_support_steps.md,Create answer-support cases where the cited passage is relevant but the relation path is wrong.,NEXT_STEP,NEXT_STEP,LIMITATION,ACCEPT_GOLD,NEXT_STEP_METHOD_BOUNDARY,Create cases proposes future answer-support test data.
HELDOUT2_S0072,fresh_release_examples.md,Suppose a release board blocks launch because the audit trail lacks reviewer rationale.,EXAMPLE,EXAMPLE,CLAIM,ACCEPT_GOLD,METHOD_EXAMPLE_BOUNDARY,Suppose introduces a concrete release-board scenario.
HELDOUT2_S0073,fresh_chatbot_examples.md,"When a support chatbot requests a refund-tool call, the permission boundary may depend on account history.",EXAMPLE,EXAMPLE,CLAIM,ACCEPT_GOLD,METHOD_EXAMPLE_BOUNDARY,Support-chatbot case is a concrete permission-boundary scenario.
HELDOUT2_S0074,fresh_memory_examples.md,One coding task may need last week's migration note rather than the newest design comment.,EXAMPLE,EXAMPLE,CLAIM,ACCEPT_GOLD,METHOD_EXAMPLE_BOUNDARY,Coding task is a concrete memory-selection scenario.
HELDOUT2_S0076,fresh_tool_examples.md,A plugin that reads calendars and sends email illustrates why tool-use security needs separate route checks.,EXAMPLE,EXAMPLE,CLAIM,ACCEPT_GOLD,METHOD_EXAMPLE_BOUNDARY,Plugin case illustrates a concrete tool-use security scenario.
HELDOUT2_S0077,fresh_incident_examples.md,"During an incident, an operator might trace a harmful answer through retrieval logs and a stale memory entry.",EXAMPLE,EXAMPLE,CLAIM,ACCEPT_GOLD,METHOD_EXAMPLE_BOUNDARY,Incident operator tracing logs is a concrete scenario.
HELDOUT2_S0080,fresh_answer_examples.md,A final answer that cites policy context but omits the controlling route segment shows a support failure.,EXAMPLE,EXAMPLE,CLAIM,ACCEPT_GOLD,MULTIWAY_AMBIGUOUS,Final-answer case is a concrete support-failure scenario.
