segment_id,gold_role,combined_role,D_role,R6_role,combined_role_correct,D_role_correct,R6_role_correct,combined_coarse3_correct,D_coarse3_correct,R6_coarse3_correct,gold_entities,combined_entities,D_entities,R6_entities,combined_entity_jaccard,D_entity_jaccard,R6_entity_jaccard,combined_entity_exact,D_entity_exact,R6_entity_exact,gold_status,combined_status,D_status,R6_status,combined_status_correct,D_status_correct,R6_status_correct,gold_relation,combined_relation,D_relation,R6_relation,combined_relation_correct,D_relation_correct,R6_relation_correct,gold_answer,combined_answer,D_answer,R6_answer,combined_answer_correct,D_answer_correct,R6_answer_correct,combined_strict_correct,D_strict_correct,R6_strict_correct,combined_relaxed_1_correct,D_relaxed_1_correct,R6_relaxed_1_correct,combined_relaxed_2_correct,D_relaxed_2_correct,R6_relaxed_2_correct,combined_relaxed_3_correct,D_relaxed_3_correct,R6_relaxed_3_correct,outcome_bucket,strict_blockers_for_R6
EXPAND_S0103,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,mismatch review; answer support; source context,answer support; benchmark; mismatch review,answer support; benchmark; mismatch review,answer support; benchmark; mismatch review,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; answer; multiple
EXPAND_S0104,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,gold labels; risk management; source context,gold labels; policy context,gold labels; policy context,gold labels; policy context,0.250000,0.250000,0.250000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,MAYBE,MAYBE,MAYBE,MAYBE,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
EXPAND_S0114,BACKGROUND,METHOD,BACKGROUND,METHOD,NO,YES,NO,NO,YES,NO,route provenance; gold labels; source context,gold labels; human review; route provenance; RouteMap; RouteMap segment,gold labels; human review; route provenance; RouteMap; RouteMap segment,gold labels; human review; route provenance; RouteMap; RouteMap segment,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,sets_context,recommends,sets_context,recommends,NO,YES,NO,MAYBE,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_failure,role; entity; status; relation; answer; multiple
EXPAND_S0128,CLAIM,BACKGROUND,CLAIM,BACKGROUND,NO,YES,NO,NO,YES,NO,risk management; human review,risk management,risk management,risk management,0.500000,0.500000,0.500000,NO,NO,NO,ACTIVE,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,NO,YES,NO,asserts,sets_context,asserts,sets_context,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_failure,role; entity; status; relation; answer; multiple
EXPAND_S0129,CLAIM,LIMITATION,BACKGROUND,LIMITATION,NO,NO,NO,NO,NO,NO,source context; incident response; risk management,human review; incident response; RouteMap; source context,human review; incident response; RouteMap; source context,human review; incident response; RouteMap; source context,0.400000,0.400000,0.400000,NO,NO,NO,ACTIVE,LIMITED,DESCRIPTIVE,LIMITED,NO,NO,NO,asserts,limits,sets_context,limits,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,role; entity; status; relation; multiple
EXPAND_S0139,CLAIM,DEFINE,LIMITATION,DEFINE,NO,NO,NO,YES,NO,YES,permission boundary; answer support; risk management,answer support; permission boundary; RouteMap,answer support; permission boundary; RouteMap,answer support; permission boundary; RouteMap,0.500000,0.500000,0.500000,NO,NO,NO,ACTIVE,DESCRIPTIVE,LIMITED,DESCRIPTIVE,NO,NO,NO,asserts,defines,limits,defines,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,role; entity; status; relation; multiple
EXPAND_S0153,BACKGROUND,METHOD,BACKGROUND,METHOD,NO,YES,NO,NO,YES,NO,policy context; retrieval trace; source context,human review; policy context; retrieval; retrieval trace; RouteMap; RouteMap segment,human review; policy context; retrieval; retrieval trace; RouteMap; RouteMap segment,human review; policy context; retrieval; retrieval trace; RouteMap; RouteMap segment,0.285714,0.285714,0.285714,NO,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,sets_context,recommends,sets_context,recommends,NO,YES,NO,MAYBE,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_failure,role; entity; status; relation; answer; multiple
EXPAND_S0154,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,controls; route extraction; source context,benchmark; controls; route extraction; RouteMap,benchmark; controls; route extraction; RouteMap,benchmark; controls; route extraction; RouteMap,0.400000,0.400000,0.400000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; answer; multiple
EXPAND_S0164,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,privacy; human review; source context,policy context; privacy,policy context; privacy,policy context; privacy,0.250000,0.250000,0.250000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,MAYBE,MAYBE,MAYBE,MAYBE,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
EXPAND_S0178,EXAMPLE,CLAIM,BACKGROUND,CLAIM,NO,NO,NO,YES,NO,YES,audit trail; LLM application security,audit trail; LLM application security; retrieval; retrieval trace,audit trail; LLM application security; retrieval; retrieval trace,audit trail; LLM application security; retrieval; retrieval trace,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,NO,YES,NO,gives_example,asserts,sets_context,asserts,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,R6_preserves_combined_relaxed3,role; entity; status; relation; multiple
EXPAND_S0179,EXAMPLE,DEFINE,BACKGROUND,DEFINE,NO,NO,NO,YES,NO,YES,answer support; privacy,answer support; audit trail; privacy; RouteMap; RouteMap segment,answer support; audit trail; privacy; RouteMap; RouteMap segment,answer support; audit trail; privacy; RouteMap; RouteMap segment,0.400000,0.400000,0.400000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,defines,sets_context,defines,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_coarse_guard_saved_row,role; entity; relation; multiple
EXPAND_S0189,EXAMPLE,EXAMPLE,BACKGROUND,EXAMPLE,YES,NO,YES,YES,NO,YES,AI safety evaluation; retrieval trace,AI safety evaluation; evaluation; human review; model release governance; retrieval; retrieval trace,AI safety evaluation; evaluation; human review; model release governance; retrieval; retrieval trace,AI safety evaluation; evaluation; human review; model release governance; retrieval; retrieval trace,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,gives_example,sets_context,gives_example,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
EXPAND_S0203,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,incident response; risk management; source context,incident response; policy context,incident response; policy context,incident response; policy context,0.250000,0.250000,0.250000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,MAYBE,MAYBE,MAYBE,MAYBE,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
EXPAND_S0204,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,agent memory; gold labels; source context,agent memory; gold labels; human review; RouteMap; RouteMap segment,agent memory; gold labels; human review; RouteMap; RouteMap segment,agent memory; gold labels; human review; RouteMap; RouteMap segment,0.333333,0.333333,0.333333,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; answer; multiple
EXPAND_S0214,BACKGROUND,BACKGROUND,BACKGROUND,BACKGROUND,YES,YES,YES,YES,YES,YES,secure AI development; LLM application security; source context,benchmark; LLM application security; secure AI development,benchmark; LLM application security; secure AI development,benchmark; LLM application security; secure AI development,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,sets_context,sets_context,sets_context,sets_context,YES,YES,YES,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; answer; multiple
EXPAND_S0228,RESULT,RESULT,RESULT,RESULT,YES,YES,YES,YES,YES,YES,evidence selection; incident response; evaluation,evidence selection; evaluation; incident response,evidence selection; evaluation; incident response,evidence selection; evaluation; incident response,1.000000,1.000000,1.000000,YES,YES,YES,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,reports_usefulness,reports_usefulness,reports_usefulness,reports_usefulness,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,all_strict_correct,none
EXPAND_S0229,RESULT,RESULT,RESULT,RESULT,YES,YES,YES,YES,YES,YES,tool-use security; answer support; evaluation,answer support; LLM application security; mismatch review; tool-use security,answer support; LLM application security; mismatch review; tool-use security,answer support; LLM application security; mismatch review; tool-use security,0.400000,0.400000,0.400000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,reports_usefulness,reports_usefulness,reports_usefulness,reports_usefulness,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
EXPAND_S0239,RESULT,BACKGROUND,BACKGROUND,BACKGROUND,NO,NO,NO,NO,NO,NO,gold labels; risk management; evaluation,benchmark; gold labels; risk management,benchmark; gold labels; risk management,benchmark; gold labels; risk management,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,reports_usefulness,sets_context,sets_context,sets_context,NO,NO,NO,YES,MAYBE,MAYBE,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,role; entity; relation; answer; multiple
EXPAND_S0253,METHOD,CLAIM,METHOD,METHOD,NO,YES,YES,YES,YES,YES,evaluation; route extraction; controls,audit trail; evidence selection; evaluation; route extraction; RouteMap,audit trail; evidence selection; evaluation; route extraction; RouteMap,audit trail; evidence selection; evaluation; route extraction; RouteMap,0.333333,0.333333,0.333333,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,recommends,asserts,sets_context,asserts,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,entity; relation; multiple
EXPAND_S0254,METHOD,METHOD,BACKGROUND,METHOD,YES,NO,YES,YES,NO,YES,human review; controls,controls; human review; RouteMap,controls; human review; RouteMap,controls; human review; RouteMap,0.666667,0.666667,0.666667,NO,NO,NO,ACTIVE,ACTIVE,DESCRIPTIVE,ACTIVE,YES,NO,YES,recommends,recommends,sets_context,recommends,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,entity
EXPAND_S0264,METHOD,METHOD,METHOD,METHOD,YES,YES,YES,YES,YES,YES,source context; incident response; controls,human review; incident response; source context,human review; incident response; source context,human review; incident response; source context,0.500000,0.500000,0.500000,NO,NO,NO,ACTIVE,ACTIVE,ACTIVE,ACTIVE,YES,YES,YES,recommends,recommends,recommends,recommends,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,entity_blocks_R6,entity
EXPAND_S0278,EXAMPLE,EXAMPLE,BACKGROUND,EXAMPLE,YES,NO,YES,YES,NO,YES,route extraction; privacy,audit trail; privacy; route extraction; RouteMap; RouteMap segment,audit trail; privacy; route extraction; RouteMap; RouteMap segment,audit trail; privacy; route extraction; RouteMap; RouteMap segment,0.400000,0.400000,0.400000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,gives_example,sets_context,gives_example,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
EXPAND_S0279,EXAMPLE,EXAMPLE,BACKGROUND,EXAMPLE,YES,NO,YES,YES,NO,YES,benchmark; retrieval trace,benchmark; human review; model release governance; retrieval; retrieval trace,benchmark; human review; model release governance; retrieval; retrieval trace,benchmark; human review; model release governance; retrieval; retrieval trace,0.400000,0.400000,0.400000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,gives_example,sets_context,gives_example,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_role_repair_success,entity
EXPAND_S0289,EXAMPLE,BACKGROUND,BACKGROUND,BACKGROUND,NO,NO,NO,NO,NO,NO,controls; route extraction,controls; retrieval; retrieval trace; route extraction; RouteMap,controls; retrieval; retrieval trace; route extraction; RouteMap,controls; retrieval; retrieval trace; route extraction; RouteMap,0.400000,0.400000,0.400000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,gives_example,sets_context,sets_context,sets_context,NO,NO,NO,YES,MAYBE,MAYBE,MAYBE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,multi_field_blocks_R6,role; entity; relation; answer; multiple
EXPAND_S0303,RESULT,RESULT,BACKGROUND,RESULT,YES,NO,YES,YES,NO,YES,route provenance; gold labels; evaluation,evaluation; gold labels; route provenance,evaluation; gold labels; route provenance,evaluation; gold labels; route provenance,1.000000,1.000000,1.000000,YES,YES,YES,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,reports_usefulness,reports_usefulness,sets_context,reports_usefulness,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,none
EXPAND_S0304,RESULT,RESULT,RESULT,RESULT,YES,YES,YES,YES,YES,YES,RouteMap; LLM application security; evaluation,LLM application security; mismatch review; RouteMap,LLM application security; mismatch review; RouteMap,LLM application security; mismatch review; RouteMap,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,reports_usefulness,reports_usefulness,reports_usefulness,reports_usefulness,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,entity_blocks_R6,entity
EXPAND_S0314,RESULT,DEFINE,RESULT,RESULT,NO,YES,YES,YES,YES,YES,answer support; privacy; evaluation,answer support; benchmark; privacy,answer support; benchmark; privacy,answer support; benchmark; privacy,0.500000,0.500000,0.500000,NO,NO,NO,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,YES,YES,YES,reports_usefulness,defines,reports_usefulness,defines,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,R6_relaxed1_gain,entity; relation; multiple
EXPAND_S0328,METHOD,METHOD,METHOD,METHOD,YES,YES,YES,YES,YES,YES,permission boundary; answer support; controls,answer support; audit trail; evidence selection; permission boundary,answer support; audit trail; evidence selection; permission boundary,answer support; audit trail; evidence selection; permission boundary,0.400000,0.400000,0.400000,NO,NO,NO,ACTIVE,ACTIVE,ACTIVE,ACTIVE,YES,YES,YES,recommends,recommends,recommends,recommends,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,entity_blocks_R6,entity
EXPAND_S0329,METHOD,DEFINE,BACKGROUND,DEFINE,NO,NO,NO,YES,NO,YES,retrieval trace; risk management; controls,human review; retrieval; retrieval trace; risk management; RouteMap,human review; retrieval; retrieval trace; risk management; RouteMap,human review; retrieval; retrieval trace; risk management; RouteMap,0.333333,0.333333,0.333333,NO,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,NO,recommends,defines,sets_context,defines,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_coarse_guard_saved_row,role; entity; status; relation; multiple
EXPAND_S0339,METHOD,EXAMPLE,BACKGROUND,EXAMPLE,NO,NO,NO,YES,NO,YES,agent memory; gold labels; controls,agent memory; gold labels; human review,agent memory; gold labels; human review,agent memory; gold labels; human review,0.500000,0.500000,0.500000,NO,NO,NO,ACTIVE,DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE,NO,NO,NO,recommends,gives_example,sets_context,gives_example,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,R6_preserves_combined_relaxed3,role; entity; status; relation; multiple
EXPAND_S0353,CLAIM,EXAMPLE,LIMITATION,EXAMPLE,NO,NO,NO,YES,NO,YES,privacy; human review; risk management,privacy,privacy,privacy,0.333333,0.333333,0.333333,NO,NO,NO,ACTIVE,DESCRIPTIVE,NEGATED,DESCRIPTIVE,NO,NO,NO,asserts,gives_example,limits,gives_example,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,R6_coarse_guard_saved_row,role; entity; status; relation; multiple
