segment_id,gold_role,gold_coarse_5,gold_coarse_4,gold_coarse_3,gold_entities,gold_status,gold_relation,gold_answer,combined_v3_role,combined_v3_role_correct,combined_v3_coarse_5_correct,combined_v3_coarse_4_correct,combined_v3_coarse_3_correct,combined_v3_entities,combined_v3_entity_jaccard,combined_v3_entity_exact,combined_v3_status,combined_v3_status_correct,combined_v3_relation,combined_v3_relation_correct,combined_v3_answer,combined_v3_answer_correct,combined_v3_strict_correct,combined_v3_relaxed_1_correct,combined_v3_relaxed_2_correct,combined_v3_relaxed_3_correct,D_role,D_role_correct,D_coarse_5_correct,D_coarse_4_correct,D_coarse_3_correct,D_entities,D_entity_jaccard,D_entity_exact,D_status,D_status_correct,D_relation,D_relation_correct,D_answer,D_answer_correct,D_strict_correct,D_relaxed_1_correct,D_relaxed_2_correct,D_relaxed_3_correct,R6_role,R6_role_correct,R6_coarse_5_correct,R6_coarse_4_correct,R6_coarse_3_correct,R6_entities,R6_entity_jaccard,R6_entity_exact,R6_status,R6_status_correct,R6_relation,R6_relation_correct,R6_answer,R6_answer_correct,R6_strict_correct,R6_relaxed_1_correct,R6_relaxed_2_correct,R6_relaxed_3_correct,R6_strict_blockers,outcome_bucket
TB011,LIMITATION,CAVEAT,CAVEAT,CAVEAT,"[""cargo value"", ""commodity notes"", ""verified shipment record""]",ACTIVE,limits,YES,METHOD,NO,NO,NO,NO,,0.000000,NO,ACTIVE,YES,recommends,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,NO,,0.000000,NO,ACTIVE,YES,asserts,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,NO,,0.000000,NO,ACTIVE,YES,recommends,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB012,NEXT_STEP,ACTION,ACTION,SUBSTANTIVE,"[""exception"", ""dwell time"", ""forty-eight hours"", ""confirmed owner""]",ACTIVE,proposes_next_test,YES,NEXT_STEP,YES,YES,YES,YES,,0.000000,NO,ACTIVE,YES,proposes_next_test,YES,YES,YES,NO,NO,NO,NO,LIMITATION,NO,NO,NO,NO,,0.000000,NO,ACTIVE,YES,limits,NO,YES,YES,NO,NO,NO,NO,NEXT_STEP,YES,YES,YES,YES,,0.000000,NO,ACTIVE,YES,proposes_next_test,YES,YES,YES,NO,NO,NO,NO,entity,R6_role_repair_success
TB013,DEFINE,ASSERTION,CONTENT,SUBSTANTIVE,"[""ClinicPulse"", ""backlog monitor"", ""appointment delays"", ""pathway"", ""urgency"", ""clinician dependency"", ""patient-contact status""]",ACTIVE,supports_retrieval,YES,DEFINE,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,DEFINE,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,entity; status; relation; multiple,R6_role_repair_success
TB014,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,"[""clinic manager"", ""clinical review"", ""administrative booking"", ""patients""]",DESCRIPTIVE,sets_context,YES,EXAMPLE,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,gives_example,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,NO,,0.000000,NO,ACTIVE,NO,asserts,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,gives_example,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB015,METHOD,ACTION,ACTION,SUBSTANTIVE,"[""route map"", ""pathway name"", ""current wait age"", ""blocker type"", ""responsible role"", ""backlog note""]",ACTIVE,supports_retrieval,YES,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,role; entity; status; relation; answer; multiple,multi_field_blocks_R6
TB016,METHOD,ACTION,ACTION,SUBSTANTIVE,"[""urgent flag"", ""clinical risk wording"", ""days since referral""]",ACTIVE,maps_to,YES,CLAIM,NO,NO,NO,YES,,0.000000,NO,ACTIVE,YES,asserts,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,YES,,0.000000,NO,ACTIVE,YES,asserts,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB017,RESULT,ASSERTION,CONTENT,SUBSTANTIVE,"[""administrative blockers"", ""booking teams"", ""queue"", ""sample""]",DESCRIPTIVE,reports_usefulness,YES,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,sets_context,NO,YES,YES,NO,NO,NO,NO,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,entity,R6_role_repair_success
TB018,LIMITATION,CAVEAT,CAVEAT,CAVEAT,"[""patient identifiers"", ""model prompt"", ""synthetic IDs"", ""re-identification key"", ""evaluation folder""]",ACTIVE,limits,YES,LIMITATION,YES,YES,YES,YES,evaluation,0.000000,NO,NEGATED,NO,limits,YES,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,evaluation,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,LIMITATION,YES,YES,YES,YES,evaluation,0.000000,NO,NEGATED,NO,limits,YES,YES,YES,NO,NO,NO,NO,entity; status; multiple,R6_role_repair_success
TB019,DEFINE,ASSERTION,CONTENT,SUBSTANTIVE,"[""GridLens"", ""battery storage sites"", ""inverter faults"", ""thermal alerts"", ""state-of-charge anomalies"", ""technician dispatch""]",ACTIVE,supports_retrieval,YES,DEFINE,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,DEFINE,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,entity; status; relation; multiple,R6_role_repair_success
TB020,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,"[""maintenance team"", ""telemetry summaries"", ""engineer notes"", ""repeated faults""]",DESCRIPTIVE,sets_context,YES,BACKGROUND,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,sets_context,YES,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,sets_context,YES,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,sets_context,YES,MAYBE,NO,NO,NO,NO,NO,entity; answer; multiple,multi_field_blocks_R6
TB021,METHOD,ACTION,ACTION,SUBSTANTIVE,"[""asset"", ""symptom"", ""severity"", ""recurrence count"", ""safety implication"", ""recommended intervention""]",ACTIVE,supports_retrieval,YES,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,METHOD,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,role; entity; status; relation; answer; multiple,R6_role_repair_failure
TB022,LIMITATION,CAVEAT,CAVEAT,CAVEAT,"[""alert"", ""planned firmware test"", ""scheduled work"", ""operational incident""]",ACTIVE,limits,YES,NEXT_STEP,NO,NO,NO,NO,,0.000000,NO,ACTIVE,YES,proposes_next_test,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,NEXT_STEP,NO,NO,NO,NO,,0.000000,NO,ACTIVE,YES,proposes_next_test,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB023,RESULT,ASSERTION,CONTENT,SUBSTANTIVE,"[""dry run"", ""model"", ""inverter trips"", ""balancing events"", ""thermal warnings""]",DESCRIPTIVE,reports_usefulness,YES,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,RESULT,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,entity,entity_blocks_R6
TB024,NEXT_STEP,ACTION,ACTION,SUBSTANTIVE,"[""blind set"", ""engineer notes"", ""production alert rules""]",ACTIVE,proposes_next_test,YES,LIMITATION,NO,NO,NO,NO,,0.000000,NO,LIMITED,NO,limits,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,LIMITATION,NO,NO,NO,NO,,0.000000,NO,LIMITED,NO,limits,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,multi_field_blocks_R6
TB025,DEFINE,ASSERTION,CONTENT,SUBSTANTIVE,"[""TutorTrail"", ""tutoring notes"", ""learning routes"", ""concept gap"", ""practice need"", ""confidence issue"", ""assessment target"", ""parent follow-up""]",ACTIVE,supports_retrieval,YES,EXAMPLE,NO,NO,NO,YES,,0.000000,NO,DESCRIPTIVE,NO,gives_example,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,EXAMPLE,NO,NO,NO,YES,,0.000000,NO,DESCRIPTIVE,NO,gives_example,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,multi_field_blocks_R6
TB026,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,"[""tutors"", ""ability"", ""behaviour"", ""homework completion"", ""lesson plan""]",DESCRIPTIVE,sets_context,YES,DEFINE,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,defines,NO,YES,YES,NO,NO,NO,NO,LIMITATION,NO,NO,NO,NO,,0.000000,NO,LIMITED,NO,limits,NO,YES,YES,NO,NO,NO,NO,DEFINE,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,defines,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB027,METHOD,ACTION,ACTION,SUBSTANTIVE,"[""topic"", ""misconception"", ""evidence sentence"", ""exercise type"", ""conceptual issue"", ""fluency-based issue""]",ACTIVE,supports_retrieval,YES,CLAIM,NO,NO,NO,YES,,0.000000,NO,ACTIVE,YES,asserts,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,YES,,0.000000,NO,ACTIVE,YES,asserts,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB028,EXAMPLE,INSTANCE,ACTION,SUBSTANTIVE,"[""pupil"", ""linear equations"", ""wording"", ""transfer practice"", ""basic algebra""]",DESCRIPTIVE,gives_example,YES,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,YES,sets_context,NO,MAYBE,NO,NO,NO,NO,NO,role; entity; relation; answer; multiple,multi_field_blocks_R6
TB029,LIMITATION,CAVEAT,CAVEAT,CAVEAT,"[""special educational need"", ""frustration note"", ""tutor"", ""support plan""]",ACTIVE,limits,YES,DEFINE,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,DEFINE,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,multi_field_blocks_R6
TB030,NEXT_STEP,ACTION,ACTION,SUBSTANTIVE,"[""reviewer column"", ""senior tutors"", ""borderline cases"", ""gold set""]",ACTIVE,proposes_next_test,YES,METHOD,NO,YES,YES,YES,human review,0.000000,NO,ACTIVE,YES,recommends,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,YES,human review,0.000000,NO,ACTIVE,YES,asserts,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,YES,human review,0.000000,NO,ACTIVE,YES,recommends,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB031,DEFINE,ASSERTION,CONTENT,SUBSTANTIVE,"[""FraudSieve"", ""invoice-control router"", ""vendor identity changes"", ""bank-detail changes"", ""duplicate invoice patterns"", ""approval bypasses""]",ACTIVE,supports_retrieval,YES,DEFINE,YES,YES,YES,YES,controls,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,controls,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,DEFINE,YES,YES,YES,YES,controls,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,entity; status; relation; multiple,R6_role_repair_success
TB032,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,"[""finance reviewers"", ""alerts"", ""vendor"", ""invoice"", ""approver""]",DESCRIPTIVE,sets_context,YES,CLAIM,NO,NO,NO,NO,controls; human review,0.000000,NO,ACTIVE,NO,asserts,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,NO,controls; human review,0.000000,NO,ACTIVE,NO,asserts,NO,YES,YES,NO,NO,NO,NO,CLAIM,NO,NO,NO,NO,controls; human review,0.000000,NO,ACTIVE,NO,asserts,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,multi_field_blocks_R6
TB033,METHOD,ACTION,ACTION,SUBSTANTIVE,"[""payment risk"", ""evidence field"", ""control"", ""approval gate""]",ACTIVE,supports_retrieval,YES,CLAIM,NO,NO,NO,YES,controls,0.000000,NO,ACTIVE,YES,asserts,NO,YES,YES,NO,NO,NO,NO,RESULT,NO,NO,NO,YES,controls,0.000000,NO,DESCRIPTIVE,NO,reports_usefulness,NO,YES,YES,NO,NO,NO,NO,RESULT,NO,NO,NO,YES,controls,0.000000,NO,ACTIVE,YES,asserts,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB034,METHOD,ACTION,ACTION,SUBSTANTIVE,"[""duplicate check"", ""invoice number"", ""supplier name"", ""gross amount"", ""purchase-order reference""]",ACTIVE,maps_to,YES,LIMITATION,NO,NO,NO,NO,controls,0.000000,NO,LIMITED,NO,limits,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,controls,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,LIMITATION,NO,NO,NO,NO,controls,0.000000,NO,LIMITED,NO,limits,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,multi_field_blocks_R6
TB035,RESULT,ASSERTION,CONTENT,SUBSTANTIVE,"[""historic alerts"", ""precision"", ""duplicate invoices"", ""recall"", ""supplier names""]",DESCRIPTIVE,reports_usefulness,YES,RESULT,YES,YES,YES,YES,controls,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,controls,0.000000,NO,DESCRIPTIVE,YES,sets_context,NO,YES,YES,NO,NO,NO,NO,RESULT,YES,YES,YES,YES,controls,0.000000,NO,DESCRIPTIVE,YES,reports_usefulness,YES,YES,YES,NO,NO,NO,NO,entity,R6_role_repair_success
TB036,LIMITATION,CAVEAT,CAVEAT,CAVEAT,"[""tool"", ""payment"", ""case"", ""approver"", ""evidence""]",ACTIVE,limits,YES,EXAMPLE,NO,NO,NO,NO,controls,0.000000,NO,DESCRIPTIVE,NO,gives_example,NO,YES,YES,NO,NO,NO,NO,METHOD,NO,NO,NO,NO,controls,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,METHOD,NO,NO,NO,NO,controls,0.000000,NO,DESCRIPTIVE,NO,gives_example,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,multi_field_blocks_R6
TB037,DEFINE,ASSERTION,CONTENT,SUBSTANTIVE,"[""RiverWatch"", ""field notes"", ""water levels"", ""blocked culverts"", ""pump status"", ""road closures"", ""flood-response routes""]",ACTIVE,supports_retrieval,YES,METHOD,NO,NO,NO,YES,,0.000000,NO,ACTIVE,YES,recommends,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,METHOD,NO,NO,NO,YES,,0.000000,NO,ACTIVE,YES,recommends,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
TB038,BACKGROUND,CONTEXT,CONTEXT,CONTEXT,"[""duty officer"", ""photos"", ""resident calls"", ""sensor messages"", ""field deployment""]",DESCRIPTIVE,sets_context,YES,LIMITATION,NO,NO,NO,NO,,0.000000,NO,LIMITED,NO,limits,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,YES,YES,YES,YES,,0.000000,NO,DESCRIPTIVE,YES,sets_context,YES,YES,YES,NO,NO,NO,NO,LIMITATION,NO,NO,NO,NO,,0.000000,NO,LIMITED,NO,limits,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,R6_role_repair_failure
TB039,METHOD,ACTION,ACTION,SUBSTANTIVE,"[""location"", ""hazard type"", ""confidence"", ""immediate action"", ""agency notification""]",ACTIVE,supports_retrieval,YES,DEFINE,NO,NO,NO,YES,,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,DEFINE,NO,NO,NO,YES,,0.000000,NO,DESCRIPTIVE,NO,defines,NO,YES,YES,NO,NO,NO,NO,role; entity; status; relation; multiple,multi_field_blocks_R6
TB040,LIMITATION,CAVEAT,CAVEAT,CAVEAT,"[""standing water"", ""test basin"", ""scheduled drill"", ""public-road closure route""]",ACTIVE,limits,YES,NEXT_STEP,NO,NO,NO,NO,,0.000000,NO,ACTIVE,YES,proposes_next_test,NO,YES,YES,NO,NO,NO,NO,BACKGROUND,NO,NO,NO,NO,,0.000000,NO,DESCRIPTIVE,NO,sets_context,NO,YES,YES,NO,NO,NO,NO,NEXT_STEP,NO,NO,NO,NO,,0.000000,NO,ACTIVE,YES,proposes_next_test,NO,YES,YES,NO,NO,NO,NO,role; entity; relation; multiple,multi_field_blocks_R6
